Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida
Não Identificado,Portal NE10,01/01/2024,0 x 0,61,0,R$016 ,9.6
Não Identificado,Portal NE10,02/01/2024,0 x 0,65,1,R$008 ,4.8
Não Identificado,Portal NE10,03/01/2024,0 x 0,58,0,R$008 ,4.8
Não Identificado,Portal NE10,04/01/2024,0 x 0,48,0,R$010 ,6.0
Não Identificado,Portal NE10,05/01/2024,0 x 0,59,1,R$017 ,10.2
Não Identificado,Portal NE10,06/01/2024,0 x 0,50,0,R$007 ,4.2
Não Identificado,Portal NE10,07/01/2024,0 x 0,23,0,R$006 ,3.6
Não Identificado,Portal NE10,08/01/2024,0 x 0,53,0,R$011 ,6.6
Não Identificado,Portal NE10,09/01/2024,0 x 0,26,0,R$005 ,3.0
Não Identificado,Portal NE10,10/01/2024,0 x 0,27,0,R$004 ,2.4
Não Identificado,Portal NE10,11/01/2024,0 x 0,36,0,R$010 ,6.0
Não Identificado,Portal NE10,12/01/2024,0 x 0,48,0,R$010 ,6.0
Não Identificado,Portal NE10,13/01/2024,0 x 0,78,0,R$015 ,9.0
Não Identificado,Portal NE10,14/01/2024,0 x 0,52,0,R$007 ,4.2
Não Identificado,Portal NE10,15/01/2024,0 x 0,71,0,R$014 ,8.4
Não Identificado,Portal NE10,16/01/2024,0 x 0,86,0,R$016 ,9.6
Não Identificado,Portal NE10,17/01/2024,0 x 0,58,0,R$012 ,7.2
Não Identificado,Portal NE10,18/01/2024,0 x 0,21,0,R$006 ,3.6
Não Identificado,Portal NE10,19/01/2024,0 x 0,42,0,R$006 ,3.6
Não Identificado,Portal NE10,20/01/2024,0 x 0,75,0,R$010 ,6.0
Não Identificado,Portal NE10,21/01/2024,0 x 0,189,0,R$028 ,16.8
Não Identificado,Portal NE10,22/01/2024,0 x 0,143,0,R$019 ,11.4
Não Identificado,Portal NE10,23/01/2024,0 x 0,105,0,R$020 ,12.0
Não Identificado,Portal NE10,24/01/2024,0 x 0,178,0,R$029 ,17.4
Não Identificado,Portal NE10,25/01/2024,0 x 0,212,0,R$048 ,28.8
Não Identificado,Portal NE10,26/01/2024,0 x 0,93,0,R$039 ,23.4
Não Identificado,Portal NE10,27/01/2024,0 x 0,93,0,R$010 ,6.0
Não Identificado,Portal NE10,28/01/2024,0 x 0,105,0,R$020 ,12.0
Não Identificado,Portal NE10,29/01/2024,0 x 0,155,0,R$016 ,9.6
Não Identificado,Portal NE10,30/01/2024,0 x 0,249,0,R$028 ,16.8
Não Identificado,Portal NE10,31/01/2024,0 x 0,176,0,R$020 ,12.0
Não Identificado,Portal NE10,01/01/2024,0 x 0,219,0,R$029 ,17.4
Não Identificado,Portal NE10,02/01/2024,0 x 0,725,0,R$040 ,24.0
Não Identificado,Portal NE10,03/01/2024,0 x 0,956,1,R$060 ,36.0
Não Identificado,Portal NE10,04/01/2024,0 x 0,1031,1,R$055 ,33.0
Não Identificado,Portal NE10,05/01/2024,0 x 0,769,2,R$106 ,63.6
Não Identificado,Portal NE10,06/01/2024,0 x 0,580,4,R$113 ,67.8
Não Identificado,Portal NE10,07/01/2024,0 x 0,245,0,R$025 ,15.0
Não Identificado,Portal NE10,08/01/2024,0 x 0,1010,1,R$087 ,52.2
Não Identificado,Portal NE10,09/01/2024,0 x 0,4452,3,R$470 ,282.0
Não Identificado,Portal NE10,10/01/2024,0 x 0,970,2,R$137 ,82.2
Não Identificado,Portal NE10,11/01/2024,0 x 0,1223,1,R$129 ,77.4
Não Identificado,Portal NE10,12/01/2024,0 x 0,1069,7,R$122 ,73.2
Não Identificado,Portal NE10,13/01/2024,0 x 0,811,1,R$109 ,65.4
Não Identificado,Portal NE10,14/01/2024,0 x 0,296,0,R$041 ,24.6
Não Identificado,Portal NE10,15/01/2024,0 x 0,634,0,R$082 ,49.2
Não Identificado,Portal NE10,16/01/2024,0 x 0,710,3,R$092 ,55.2
Não Identificado,Portal NE10,17/01/2024,0 x 0,2716,6,R$289 ,173.4
Não Identificado,Portal NE10,18/01/2024,0 x 0,1129,4,R$153 ,91.8
Não Identificado,Portal NE10,19/01/2024,0 x 0,1637,10,R$286 ,171.6
Não Identificado,Portal NE10,20/01/2024,0 x 0,788,2,R$140 ,84.0
Não Identificado,Portal NE10,21/01/2024,0 x 0,707,2,R$166 ,99.6
Não Identificado,Portal NE10,22/01/2024,0 x 0,993,2,R$170 ,102.0
Não Identificado,Portal NE10,23/01/2024,0 x 0,872,1,R$174 ,104.4
Não Identificado,Portal NE10,24/01/2024,0 x 0,1139,1,R$287 ,172.2
Não Identificado,Portal NE10,25/01/2024,0 x 0,1053,1,R$159 ,95.4
Não Identificado,Portal NE10,26/01/2024,0 x 0,637,0,R$096 ,57.6
Não Identificado,Portal NE10,27/01/2024,0 x 0,513,0,R$047 ,28.2
Não Identificado,Portal NE10,28/01/2024,0 x 0,286,0,R$033 ,19.8
Não Identificado,Portal NE10,29/01/2024,0 x 0,597,1,R$089 ,53.4
Não Identificado,Portal NE10,30/01/2024,0 x 0,357,0,R$048 ,28.8
Não Identificado,Portal NE10,31/01/2024,0 x 0,458,0,R$114 ,68.4
Não Identificado,Portal NE10,01/01/2024,0 x 0,4,0,R$000 ,0.0
Não Identificado,Portal NE10,21/01/2024,0 x 0,1,0,R$001 ,0.6
Não Identificado,Portal NE10,24/01/2024,0 x 0,3,0,R$000 ,0.0
Não Identificado,Portal NE10,25/01/2024,0 x 0,2,0,R$000 ,0.0
Não Identificado,Portal NE10,29/01/2024,0 x 0,1,0,R$000 ,0.0
Não Identificado,Portal NE10,31/01/2024,0 x 0,2,0,R$001 ,0.6
Não Identificado,Portal NE10,09/01/2024,0 x 0,1,0,R$000 ,0.0
Não Identificado,Portal NE10,01/01/2024,0 x 0,488,0,R$115 ,69.0
Não Identificado,Portal NE10,02/01/2024,0 x 0,730,0,R$190 ,114.0
Não Identificado,Portal NE10,03/01/2024,0 x 0,558,0,R$129 ,77.4
Não Identificado,Portal NE10,04/01/2024,0 x 0,529,0,R$188 ,112.8
Não Identificado,Portal NE10,05/01/2024,0 x 0,549,0,R$221 ,132.6
Não Identificado,Portal NE10,06/01/2024,0 x 0,288,1,R$114 ,68.4
Não Identificado,Portal NE10,07/01/2024,0 x 0,322,0,R$072 ,43.2
Não Identificado,Portal NE10,08/01/2024,0 x 0,540,0,R$262 ,157.2
Não Identificado,Portal NE10,09/01/2024,0 x 0,394,0,R$177 ,106.2
Não Identificado,Portal NE10,10/01/2024,0 x 0,199,1,R$080 ,48.0
Não Identificado,Portal NE10,11/01/2024,0 x 0,215,0,R$130 ,78.0
Não Identificado,Portal NE10,12/01/2024,0 x 0,253,0,R$224 ,134.4
Não Identificado,Portal NE10,13/01/2024,0 x 0,140,0,R$060 ,36.0
Não Identificado,Portal NE10,14/01/2024,0 x 0,105,0,R$042 ,25.2
Não Identificado,Portal NE10,15/01/2024,0 x 0,266,0,R$331 ,198.6
Não Identificado,Portal NE10,16/01/2024,0 x 0,237,0,R$281 ,168.6
Não Identificado,Portal NE10,17/01/2024,0 x 0,245,0,R$251 ,150.6
Não Identificado,Portal NE10,18/01/2024,0 x 0,129,0,R$119 ,71.4
Não Identificado,Portal NE10,19/01/2024,0 x 0,162,0,R$116 ,69.6
Não Identificado,Portal NE10,20/01/2024,0 x 0,198,1,R$110 ,66.0
Não Identificado,Portal NE10,21/01/2024,0 x 0,223,0,R$107 ,64.2
Não Identificado,Portal NE10,22/01/2024,0 x 0,878,1,R$517 ,310.2
Não Identificado,Portal NE10,23/01/2024,0 x 0,759,0,R$372 ,223.2
Não Identificado,Portal NE10,24/01/2024,0 x 0,808,0,R$275 ,165.0
Não Identificado,Portal NE10,25/01/2024,0 x 0,1137,0,R$478 ,286.8
Não Identificado,Portal NE10,26/01/2024,0 x 0,485,0,R$253 ,151.8
Não Identificado,Portal NE10,27/01/2024,0 x 0,519,0,R$128 ,76.8
Não Identificado,Portal NE10,28/01/2024,0 x 0,561,0,R$139 ,83.4
Não Identificado,Portal NE10,29/01/2024,0 x 0,1246,1,R$375 ,225.0
Não Identificado,Portal NE10,30/01/2024,0 x 0,2173,0,R$400 ,240.0
Não Identificado,Portal NE10,31/01/2024,0 x 0,1673,0,R$352 ,211.2
Não Identificado,Portal NE10,01/01/2024,0 x 0,41,0,R$002 ,1.2
Não Identificado,Portal NE10,02/01/2024,0 x 0,54,0,R$003 ,1.8
Não Identificado,Portal NE10,03/01/2024,0 x 0,22,0,R$001 ,0.6
Não Identificado,Portal NE10,04/01/2024,0 x 0,45,0,R$001 ,0.6
Não Identificado,Portal NE10,05/01/2024,0 x 0,31,0,R$001 ,0.6
Não Identificado,Portal NE10,06/01/2024,0 x 0,21,0,R$001 ,0.6
Não Identificado,Portal NE10,07/01/2024,0 x 0,15,0,R$001 ,0.6
Não Identificado,Portal NE10,08/01/2024,0 x 0,95,0,R$005 ,3.0
Não Identificado,Portal NE10,09/01/2024,0 x 0,55,0,R$002 ,1.2
Não Identificado,Portal NE10,10/01/2024,0 x 0,86,0,R$005 ,3.0
Não Identificado,Portal NE10,11/01/2024,0 x 0,44,0,R$002 ,1.2
Não Identificado,Portal NE10,12/01/2024,0 x 0,29,0,R$002 ,1.2
Não Identificado,Portal NE10,13/01/2024,0 x 0,45,0,R$003 ,1.8
Não Identificado,Portal NE10,14/01/2024,0 x 0,8,0,R$000 ,0.0
Não Identificado,Portal NE10,15/01/2024,0 x 0,85,0,R$003 ,1.8
Não Identificado,Portal NE10,16/01/2024,0 x 0,35,0,R$002 ,1.2
Não Identificado,Portal NE10,17/01/2024,0 x 0,88,0,R$005 ,3.0
Não Identificado,Portal NE10,18/01/2024,0 x 0,113,0,R$006 ,3.6
Não Identificado,Portal NE10,19/01/2024,0 x 0,109,0,R$005 ,3.0
Não Identificado,Portal NE10,20/01/2024,0 x 0,34,0,R$002 ,1.2
Não Identificado,Portal NE10,21/01/2024,0 x 0,15,0,R$001 ,0.6
Não Identificado,Portal NE10,22/01/2024,0 x 0,157,0,R$008 ,4.8
Não Identificado,Portal NE10,23/01/2024,0 x 0,155,0,R$007 ,4.2
Não Identificado,Portal NE10,24/01/2024,0 x 0,92,0,R$004 ,2.4
Não Identificado,Portal NE10,25/01/2024,0 x 0,91,0,R$004 ,2.4
Não Identificado,Portal NE10,26/01/2024,0 x 0,136,0,R$006 ,3.6
Não Identificado,Portal NE10,27/01/2024,0 x 0,27,0,R$001 ,0.6
Não Identificado,Portal NE10,28/01/2024,0 x 0,18,0,R$001 ,0.6
Não Identificado,Portal NE10,29/01/2024,0 x 0,157,0,R$007 ,4.2
Não Identificado,Portal NE10,30/01/2024,0 x 0,117,0,R$006 ,3.6
Não Identificado,Portal NE10,31/01/2024,0 x 0,136,0,R$006 ,3.6
Não Identificado,Portal NE10,01/01/2024,0 x 0,195,1,R$031 ,18.6
Não Identificado,Portal NE10,02/01/2024,0 x 0,527,0,R$087 ,52.2
Não Identificado,Portal NE10,03/01/2024,0 x 0,461,0,R$077 ,46.2
Não Identificado,Portal NE10,04/01/2024,0 x 0,88,2,R$030 ,18.0
Não Identificado,Portal NE10,05/01/2024,0 x 0,65,0,R$037 ,22.2
Não Identificado,Portal NE10,06/01/2024,0 x 0,45,1,R$028 ,16.8
Não Identificado,Portal NE10,07/01/2024,0 x 0,67,0,R$036 ,21.6
Não Identificado,Portal NE10,08/01/2024,0 x 0,47,1,R$021 ,12.6
Não Identificado,Portal NE10,09/01/2024,0 x 0,48,0,R$030 ,18.0
Não Identificado,Portal NE10,10/01/2024,0 x 0,60,0,R$027 ,16.2
