Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$)
-,parceiros (10869286) » ne_10 (11238766),1/1/2024,0 x 0,-1,",10869286,11238766,",61,0,"R$0,16 "
-,parceiros (10869286) » ne_10 (11238766),1/2/2024,0 x 0,-1,",10869286,11238766,",65,1,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766),1/3/2024,0 x 0,-1,",10869286,11238766,",58,0,"R$0,08 "
-,parceiros (10869286) » ne_10 (11238766),1/4/2024,0 x 0,-1,",10869286,11238766,",48,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766),1/5/2024,0 x 0,-1,",10869286,11238766,",59,1,"R$0,17 "
-,parceiros (10869286) » ne_10 (11238766),1/6/2024,0 x 0,-1,",10869286,11238766,",50,0,"R$0,07 "
-,parceiros (10869286) » ne_10 (11238766),1/7/2024,0 x 0,-1,",10869286,11238766,",23,0,"R$0,06 "
-,parceiros (10869286) » ne_10 (11238766),1/8/2024,0 x 0,-1,",10869286,11238766,",53,0,"R$0,11 "
-,parceiros (10869286) » ne_10 (11238766),1/9/2024,0 x 0,-1,",10869286,11238766,",26,0,"R$0,05 "
-,parceiros (10869286) » ne_10 (11238766),1/10/2024,0 x 0,-1,",10869286,11238766,",27,0,"R$0,04 "
-,parceiros (10869286) » ne_10 (11238766),1/11/2024,0 x 0,-1,",10869286,11238766,",36,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766),1/12/2024,0 x 0,-1,",10869286,11238766,",48,0,"R$0,10 "
-,parceiros (10869286) » ne_10 (11238766),1/13/2024,0 x 0,-1,",10869286,11238766,",78,0,"R$0,15 "
-,parceiros (10869286) » ne_10 (11238766),1/14/2024,0 x 0,-1,",10869286,11238766,",54,0,"R$0,07 "
-,parceiros (10869286) » ne_10 (11238766),1/15/2024,0 x 0,-1,",10869286,11238766,",71,0,"R$0,14 "
-,parceiros (10869286) » ne_10 (11238766),1/16/2024,0 x 0,-1,",10869286,11238766,",89,0,"R$0,17 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/1/2024,0 x 0,-1,",10869286,11238766,22834406532,",219,0,"R$0,29 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/2/2024,0 x 0,-1,",10869286,11238766,22834406532,",725,0,"R$0,40 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/3/2024,0 x 0,-1,",10869286,11238766,22834406532,",956,1,"R$0,60 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/4/2024,0 x 0,-1,",10869286,11238766,22834406532,",1031,1,"R$0,55 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/5/2024,0 x 0,-1,",10869286,11238766,22834406532,",769,2,"R$1,06 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/6/2024,0 x 0,-1,",10869286,11238766,22834406532,",580,4,"R$1,13 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/7/2024,0 x 0,-1,",10869286,11238766,22834406532,",245,0,"R$0,25 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/8/2024,0 x 0,-1,",10869286,11238766,22834406532,",1010,1,"R$0,87 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/9/2024,0 x 0,-1,",10869286,11238766,22834406532,",4452,3,"R$4,70 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/10/2024,0 x 0,-1,",10869286,11238766,22834406532,",970,2,"R$1,37 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/11/2024,0 x 0,-1,",10869286,11238766,22834406532,",1224,1,"R$1,29 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/12/2024,0 x 0,-1,",10869286,11238766,22834406532,",1070,7,"R$1,22 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/13/2024,0 x 0,-1,",10869286,11238766,22834406532,",812,1,"R$1,09 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/14/2024,0 x 0,-1,",10869286,11238766,22834406532,",296,0,"R$0,41 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/15/2024,0 x 0,-1,",10869286,11238766,22834406532,",635,0,"R$0,82 "
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),1/16/2024,0 x 0,-1,",10869286,11238766,22834406532,",711,3,"R$0,92 "
-,parceiros (10869286) » ne_10 (11238766) » audio (22958379895),1/1/2024,0 x 0,-1,",10869286,11238766,22958379895,",4,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » educacao (22500047431) » in-article (22501462404),1/9/2024,0 x 0,-1,",10869286,11238766,22500047431,22501462404,",1,0,"R$0,00 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/1/2024,0 x 0,-1,",10869286,11238766,21723566961,",488,0,"R$1,15 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/2/2024,0 x 0,-1,",10869286,11238766,21723566961,",730,0,"R$1,90 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/3/2024,0 x 0,-1,",10869286,11238766,21723566961,",558,0,"R$1,29 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/4/2024,0 x 0,-1,",10869286,11238766,21723566961,",529,0,"R$1,88 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/5/2024,0 x 0,-1,",10869286,11238766,21723566961,",549,0,"R$2,21 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/6/2024,0 x 0,-1,",10869286,11238766,21723566961,",288,1,"R$1,14 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/7/2024,0 x 0,-1,",10869286,11238766,21723566961,",322,0,"R$0,72 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/8/2024,0 x 0,-1,",10869286,11238766,21723566961,",540,0,"R$2,62 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/9/2024,0 x 0,-1,",10869286,11238766,21723566961,",394,0,"R$1,77 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/10/2024,0 x 0,-1,",10869286,11238766,21723566961,",199,1,"R$0,80 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/11/2024,0 x 0,-1,",10869286,11238766,21723566961,",216,0,"R$1,32 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/12/2024,0 x 0,-1,",10869286,11238766,21723566961,",258,0,"R$2,34 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/13/2024,0 x 0,-1,",10869286,11238766,21723566961,",141,0,"R$0,61 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/14/2024,0 x 0,-1,",10869286,11238766,21723566961,",105,0,"R$0,42 "
-,parceiros (10869286) » ne_10 (11238766) » home (21723566961),1/15/2024,0 x 0,-1,",10869286,11238766,21723566961,",270,0,"R$3,37 "
