Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,61,0,"R$0,16 ","0,096","2,623"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,65,1,"R$0,08 ","0,048","1,2308"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,58,0,"R$0,08 ","0,048","1,3793"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,48,0,"R$0,10 ","0,06","2,0833"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,59,1,"R$0,17 ","0,102","2,8814"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,50,0,"R$0,07 ","0,042","1,4"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,23,0,"R$0,06 ","0,036","2,6087"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,53,0,"R$0,11 ","0,066","2,0755"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,26,0,"R$0,05 ","0,03","1,9231"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,27,0,"R$0,04 ","0,024","1,4815"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,36,0,"R$0,10 ","0,06","2,7778"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,48,0,"R$0,10 ","0,06","2,0833"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,78,0,"R$0,15 ","0,09","1,9231"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,54,0,"R$0,07 ","0,042","1,2963"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,71,0,"R$0,14 ","0,084","1,9718"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,89,0,"R$0,17 ","0,102","1,9101"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,58,0,"R$0,12 ","0,072","2,069"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,219,0,"R$0,29 ","0,174","1,3242"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,725,0,"R$0,40 ","0,24","0,5517"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,956,1,"R$0,60 ","0,36","0,6276"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,1031,1,"R$0,55 ","0,33","0,5335"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,769,2,"R$1,06 ","0,636","1,3784"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,580,4,"R$1,13 ","0,678","1,9483"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,245,0,"R$0,25 ","0,15","1,0204"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,1010,1,"R$0,87 ","0,522","0,8614"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,4452,3,"R$4,70 ","2,82","1,0557"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,970,2,"R$1,37 ","0,822","1,4124"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,1223,1,"R$1,29 ","0,774","1,0548"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,1070,7,"R$1,22 ","0,732","1,1402"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,812,1,"R$1,09 ","0,654","1,3424"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,296,0,"R$0,41 ","0,246","1,3851"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,635,0,"R$0,82 ","0,492","1,2913"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,711,3,"R$0,92 ","0,552","1,294"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,2720,6,"R$2,89 ","1,734","1,0625"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,488,0,"R$1,15 ","0,69","2,3566"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,730,0,"R$1,90 ","1,14","2,6027"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,558,0,"R$1,29 ","0,774","2,3118"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,529,0,"R$1,88 ","1,128","3,5539"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,549,0,"R$2,21 ","1,326","4,0255"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,288,1,"R$1,14 ","0,684","3,9583"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,322,0,"R$0,72 ","0,432","2,236"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,540,0,"R$2,62 ","1,572","4,8519"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,394,0,"R$1,77 ","1,062","4,4924"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,199,1,"R$0,80 ","0,48","4,0201"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,215,0,"R$1,30 ","0,78","6,0465"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,258,0,"R$2,34 ","1,404","9,0698"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,141,0,"R$0,61 ","0,366","4,3262"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,105,0,"R$0,42 ","0,252","4,0"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,270,0,"R$3,37 ","2,022","12,4815"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,241,0,"R$2,85 ","1,71","11,8257"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,251,0,"R$2,64 ","1,584","10,5179"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,41,0,"R$0,02 ","0,012","0,4878"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,54,0,"R$0,03 ","0,018","0,5556"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,22,0,"R$0,01 ","0,006","0,4545"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,45,0,"R$0,01 ","0,006","0,2222"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,31,0,"R$0,01 ","0,006","0,3226"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,21,0,"R$0,01 ","0,006","0,4762"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,15,0,"R$0,01 ","0,006","0,6667"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,95,0,"R$0,05 ","0,03","0,5263"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,55,0,"R$0,02 ","0,012","0,3636"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,86,0,"R$0,05 ","0,03","0,5814"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,44,0,"R$0,02 ","0,012","0,4545"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,29,0,"R$0,02 ","0,012","0,6897"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,45,0,"R$0,03 ","0,018","0,6667"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,8,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,85,0,"R$0,03 ","0,018","0,3529"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,35,0,"R$0,02 ","0,012","0,5714"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,88,0,"R$0,05 ","0,03","0,5682"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,195,1,"R$0,31 ","0,186","1,5897"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,527,0,"R$0,87 ","0,522","1,6509"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,461,0,"R$0,77 ","0,462","1,6703"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,88,2,"R$0,30 ","0,18","3,4091"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,65,0,"R$0,37 ","0,222","5,6923"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,45,1,"R$0,28 ","0,168","6,2222"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,67,0,"R$0,36 ","0,216","5,3731"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,47,1,"R$0,21 ","0,126","4,4681"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,48,0,"R$0,30 ","0,18","6,25"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,60,0,"R$0,27 ","0,162","4,5"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,55,0,"R$0,46 ","0,276","8,3636"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,176,1,"R$0,33 ","0,198","1,875"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,25,1,"R$0,15 ","0,09","6,0"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,38,0,"R$0,09 ","0,054","2,3684"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,469,0,"R$0,90 ","0,54","1,919"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,57,0,"R$0,35 ","0,21","6,1404"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,42,0,"R$0,38 ","0,228","9,0476"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,20,0,"R$0,08 ","0,048","4,0"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,49,0,"R$0,17 ","0,102","3,4694"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,43,0,"R$0,07 ","0,042","1,6279"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,33,0,"R$0,06 ","0,036","1,8182"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,50,0,"R$0,04 ","0,024","0,8"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,10,0,"R$0,02 ","0,012","2,0"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,5,0,"R$0,01 ","0,006","2,0"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,74,0,"R$0,10 ","0,06","1,3514"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,14,0,"R$0,05 ","0,03","3,5714"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,1,0,"R$0,01 ","0,006","10,0"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,5,0,"R$0,06 ","0,036","12,0"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,1,0,"R$0,02 ","0,012","20,0"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,4,0,"R$0,06 ","0,036","15,0"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,1,0,"R$0,01 ","0,006","10,0"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,70,0,"R$0,04 ","0,024","0,5714"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,130,3,"R$0,14 ","0,084","1,0769"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,240,6,"R$0,23 ","0,138","0,9583"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,305,1,"R$0,26 ","0,156","0,8525"
