Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/04/2024,300 x 250,2032,2,"R$19,10 ","11,46","R$9,40 ","53,60%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/04/2024,320 x 50,1479,3,"R$13,90 ","8,34","R$9,40 ","65,40%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,300 x 250,1426,4,"R$13,40 ","8,04","R$9,40 ","56,35%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,320 x 50,2133,5,"R$20,05 ","12,03","R$9,40 ","64,87%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,970 x 250,1,0,"R$0,01 ","0,006","R$9,40 ","0,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,300 x 250,1519,9,"R$14,28 ","8,568","R$9,40 ","60,42%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,320 x 50,2722,15,"R$25,59 ","15,354","R$9,40 ","60,11%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/04/2024,320 x 50,3205,8,"R$30,13 ","18,078","R$9,40 ","88,64%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/04/2024,728 x 90,778,0,"R$7,31 ","4,386","R$9,40 ","101,54%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,320 x 50,587,3,"R$5,52 ","3,312","R$9,40 ","72,23%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,728 x 90,738,0,"R$6,94 ","4,164","R$9,40 ","94,58%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,320 x 50,352,0,"R$3,31 ","1,986","R$9,40 ","88,35%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,728 x 90,1065,0,"R$10,01 ","6,006","R$9,40 ","93,43%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/04/2024,300 x 250,193,1,"R$1,81 ","1,086","R$9,40 ","58,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,300 x 250,42,0,"R$0,39 ","0,234","R$9,40 ","59,52%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,300 x 250,15,0,"R$0,14 ","0,084","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,320 x 50,3,1,"R$0,03 ","0,018","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/04/2024,320 x 50,5,0,"R$0,05 ","0,03","R$9,40 ","40,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,320 x 50,7,0,"R$0,07 ","0,042","R$9,40 ","14,29%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,320 x 50,7,0,"R$0,07 ","0,042","R$9,40 ","0,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/04/2024,728 x 90,1,0,"R$0,01 ","0,006","R$9,40 ","300,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,01/04/2024,300 x 250,2586,7,"R$24,31 ","14,586","R$9,40 ","64,37%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,01/04/2024,320 x 50,1118,1,"R$10,51 ","6,306","R$9,40 ","80,99%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,300 x 250,1733,3,"R$16,29 ","9,774","R$9,40 ","67,19%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,320 x 50,1941,5,"R$18,25 ","10,95","R$9,40 ","83,33%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,03/04/2024,300 x 250,2184,2,"R$20,53 ","12,318","R$9,40 ","69,37%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,03/04/2024,320 x 50,1231,2,"R$11,57 ","6,942","R$9,40 ","82,94%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,01/04/2024,320 x 50,346,0,"R$3,25 ","1,95","R$9,40 ","96,82%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,01/04/2024,728 x 90,193,0,"R$1,81 ","1,086","R$9,40 ","95,85%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,320 x 50,98,0,"R$0,92 ","0,552","R$9,40 ","94,90%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,728 x 90,22,0,"R$0,21 ","0,126","R$9,40 ","95,45%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,03/04/2024,320 x 50,138,0,"R$1,30 ","0,78","R$9,40 ","97,83%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,03/04/2024,728 x 90,70,0,"R$0,66 ","0,396","R$9,40 ","97,14%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,01/04/2024,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,03/04/2024,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","0,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,01/04/2024,320 x 50,164,0,"R$1,54 ","0,924","R$9,40 ","100,61%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,320 x 50,372,4,"R$3,50 ","2,1","R$9,40 ","98,66%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,03/04/2024,320 x 50,139,3,"R$1,31 ","0,786","R$9,40 ","101,44%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,01/04/2024,300 x 250,596,0,"R$2,23 ","1,338","R$3,74 ","61,58%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,01/04/2024,320 x 50,388,0,"R$1,45 ","0,87","R$3,74 ","74,74%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,300 x 250,295,0,"R$1,10 ","0,66","R$3,74 ","67,80%"
