Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Não Identificado,Portal NE10,01/02/2024,0 x 0,236,0,"R$0,25 ","0,15","1,0593"
Não Identificado,Portal NE10,02/02/2024,0 x 0,165,0,"R$0,16 ","0,096","0,9697"
Não Identificado,Portal NE10,03/02/2024,0 x 0,165,0,"R$0,16 ","0,096","0,9697"
Não Identificado,Portal NE10,04/02/2024,0 x 0,146,0,"R$0,20 ","0,12","1,3699"
Não Identificado,Portal NE10,05/02/2024,0 x 0,104,0,"R$0,09 ","0,054","0,8654"
Não Identificado,Portal NE10,01/02/2024,0 x 0,299,1,"R$0,24 ","0,144","0,8027"
Não Identificado,Portal NE10,02/02/2024,0 x 0,517,0,"R$0,65 ","0,39","1,2573"
Não Identificado,Portal NE10,03/02/2024,0 x 0,89,0,"R$0,19 ","0,114","2,1348"
Não Identificado,Portal NE10,04/02/2024,0 x 0,85,0,"R$0,06 ","0,036","0,7059"
Não Identificado,Portal NE10,05/02/2024,0 x 0,249,0,"R$0,26 ","0,156","1,0442"
Não Identificado,Portal NE10,02/02/2024,0 x 0,7,0,"R$0,00 ","0,0","0,0"
Não Identificado,Portal NE10,01/02/2024,0 x 0,1891,0,"R$2,97 ","1,782","1,5706"
Não Identificado,Portal NE10,02/02/2024,0 x 0,1450,0,"R$2,70 ","1,62","1,8621"
Não Identificado,Portal NE10,03/02/2024,0 x 0,497,0,"R$1,47 ","0,882","2,9577"
Não Identificado,Portal NE10,04/02/2024,0 x 0,551,0,"R$1,02 ","0,612","1,8512"
Não Identificado,Portal NE10,05/02/2024,0 x 0,1071,1,"R$2,57 ","1,542","2,3996"
Não Identificado,Portal NE10,01/02/2024,0 x 0,2626,2,"R$2,70 ","1,62","1,0282"
Não Identificado,Portal NE10,02/02/2024,0 x 0,1921,5,"R$2,14 ","1,284","1,114"
Não Identificado,Portal NE10,03/02/2024,0 x 0,147,2,"R$0,54 ","0,324","3,6735"
Não Identificado,Portal NE10,04/02/2024,0 x 0,374,0,"R$1,01 ","0,606","2,7005"
Não Identificado,Portal NE10,05/02/2024,0 x 0,2521,7,"R$2,84 ","1,704","1,1265"
Não Identificado,Portal NE10,01/02/2024,0 x 0,24,1,"R$0,27 ","0,162","11,25"
Não Identificado,Portal NE10,02/02/2024,0 x 0,89,0,"R$0,30 ","0,18","3,3708"
Não Identificado,Portal NE10,03/02/2024,0 x 0,66,2,"R$0,41 ","0,246","6,2121"
Não Identificado,Portal NE10,04/02/2024,0 x 0,71,0,"R$0,23 ","0,138","3,2394"
Não Identificado,Portal NE10,05/02/2024,0 x 0,146,0,"R$0,64 ","0,384","4,3836"
Não Identificado,Portal NE10,01/02/2024,0 x 0,99,0,"R$0,16 ","0,096","1,6162"
Não Identificado,Portal NE10,02/02/2024,0 x 0,128,0,"R$0,13 ","0,078","1,0156"
Não Identificado,Portal NE10,03/02/2024,0 x 0,5,0,"R$0,02 ","0,012","4,0"
Não Identificado,Portal NE10,04/02/2024,0 x 0,7,0,"R$0,01 ","0,006","1,4286"
Não Identificado,Portal NE10,05/02/2024,0 x 0,121,0,"R$0,20 ","0,12","1,6529"
Não Identificado,Portal NE10,01/02/2024,0 x 0,5,0,"R$0,02 ","0,012","4,0"
Não Identificado,Portal NE10,02/02/2024,0 x 0,14,0,"R$0,32 ","0,192","22,8571"
Não Identificado,Portal NE10,03/02/2024,0 x 0,13,0,"R$0,08 ","0,048","6,1538"
Não Identificado,Portal NE10,04/02/2024,0 x 0,12,0,"R$0,09 ","0,054","7,5"
Não Identificado,Portal NE10,05/02/2024,0 x 0,19,0,"R$0,04 ","0,024","2,1053"
Não Identificado,Interior,01/02/2024,0 x 0,45,0,"R$0,28 ","0,168","6,2222"
Não Identificado,Interior,02/02/2024,0 x 0,41,0,"R$0,24 ","0,144","5,8537"
Não Identificado,Interior,03/02/2024,0 x 0,67,1,"R$0,64 ","0,384","9,5522"
Não Identificado,Interior,04/02/2024,0 x 0,64,1,"R$0,74 ","0,444","11,5625"
Não Identificado,Interior,05/02/2024,0 x 0,55,0,"R$0,56 ","0,336","10,1818"
Não Identificado,Interior,03/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Interior,04/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Interior,01/02/2024,0 x 0,202,1,"R$0,49 ","0,294","2,4257"
Não Identificado,Interior,02/02/2024,0 x 0,86,0,"R$0,37 ","0,222","4,3023"
Não Identificado,Interior,03/02/2024,0 x 0,178,1,"R$0,43 ","0,258","2,4157"
Não Identificado,Interior,04/02/2024,0 x 0,333,1,"R$1,00 ","0,6","3,003"
Não Identificado,Interior,05/02/2024,0 x 0,457,1,"R$0,76 ","0,456","1,663"
Não Identificado,Interior,01/02/2024,0 x 0,3,0,"R$0,05 ","0,03","16,6667"
Não Identificado,Interior,02/02/2024,0 x 0,21,0,"R$0,04 ","0,024","1,9048"
Não Identificado,Interior,03/02/2024,0 x 0,36,1,"R$0,03 ","0,018","0,8333"
Não Identificado,Interior,04/02/2024,0 x 0,34,0,"R$0,07 ","0,042","2,0588"
Não Identificado,Interior,05/02/2024,0 x 0,61,1,"R$0,14 ","0,084","2,2951"
Não Identificado,Interior,01/02/2024,0 x 0,16,0,"R$0,01 ","0,006","0,625"
Não Identificado,Interior,02/02/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Não Identificado,Interior,03/02/2024,0 x 0,6,0,"R$0,00 ","0,0","0,0"
Não Identificado,Interior,04/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Interior,05/02/2024,0 x 0,12,0,"R$0,06 ","0,036","5,0"
Não Identificado,Interior,01/02/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Não Identificado,Interior,03/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Interior,04/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Não Identificado,Portal NE10,01/02/2024,0 x 0,5,0,"R$0,01 ","0,006","2,0"
Não Identificado,Portal NE10,02/02/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Não Identificado,Portal NE10,03/02/2024,0 x 0,4,0,"R$0,01 ","0,006","2,5"
Não Identificado,JC Online,01/02/2024,0 x 0,30273,2,"R$54,54 ","32,724","1,8016"
Não Identificado,JC Online,02/02/2024,0 x 0,25664,1,"R$51,56 ","30,936","2,009"
Não Identificado,JC Online,03/02/2024,0 x 0,26860,4,"R$51,94 ","31,164","1,9337"
Não Identificado,JC Online,04/02/2024,0 x 0,40414,8,"R$71,94 ","43,164","1,7801"
Não Identificado,JC Online,05/02/2024,0 x 0,15796,1,"R$37,08 ","22,248","2,3474"
Não Identificado,Jamildo,01/02/2024,0 x 0,43310,0,"R$67,24 ","40,344","1,5525"
Não Identificado,Jamildo,02/02/2024,0 x 0,39935,0,"R$76,99 ","46,194","1,9279"
Não Identificado,Jamildo,03/02/2024,0 x 0,41746,0,"R$71,45 ","42,87","1,7115"
Não Identificado,Jamildo,04/02/2024,0 x 0,81899,0,"R$130,17 ","78,102","1,5894"
