Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Não Identificado,Portal NE10,01/02/2024,0 x 0,236,0,"R$0,25 ","0,15","R$1,06 ","63,14%"
Não Identificado,Portal NE10,02/02/2024,0 x 0,165,0,"R$0,16 ","0,096","R$0,94 ","60,00%"
Não Identificado,Portal NE10,03/02/2024,0 x 0,163,0,"R$0,16 ","0,096","R$0,98 ","55,83%"
Não Identificado,Portal NE10,04/02/2024,0 x 0,145,0,"R$0,20 ","0,12","R$1,38 ","53,79%"
Não Identificado,Portal NE10,05/02/2024,0 x 0,101,0,"R$0,08 ","0,048","R$0,84 ","51,49%"
Não Identificado,Portal NE10,06/02/2024,0 x 0,103,0,"R$0,12 ","0,072","R$1,16 ","59,22%"
Não Identificado,Portal NE10,07/02/2024,0 x 0,129,0,"R$0,17 ","0,102","R$1,33 ","68,22%"
Não Identificado,Portal NE10,08/02/2024,0 x 0,46,0,"R$0,11 ","0,066","R$2,32 ","60,87%"
Não Identificado,Portal NE10,09/02/2024,0 x 0,93,0,"R$0,20 ","0,12","R$2,18 ","72,04%"
Não Identificado,Portal NE10,10/02/2024,0 x 0,75,0,"R$0,18 ","0,108","R$2,37 ","72,00%"
Não Identificado,Portal NE10,11/02/2024,0 x 0,47,0,"R$0,10 ","0,06","R$2,05 ","55,32%"
Não Identificado,Portal NE10,12/02/2024,0 x 0,77,0,"R$0,20 ","0,12","R$2,65 ","70,13%"
Não Identificado,Portal NE10,13/02/2024,0 x 0,53,0,"R$0,13 ","0,078","R$2,36 ","66,04%"
Não Identificado,Portal NE10,14/02/2024,0 x 0,42,0,"R$0,17 ","0,102","R$3,93 ","69,05%"
Não Identificado,Portal NE10,15/02/2024,0 x 0,121,0,"R$0,20 ","0,12","R$1,68 ","55,83%"
