Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,61,0,"R$0,16 ","0,096","2,623"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,65,1,"R$0,08 ","0,048","1,2308"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,58,0,"R$0,08 ","0,048","1,3793"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,48,0,"R$0,10 ","0,06","2,0833"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,59,1,"R$0,17 ","0,102","2,8814"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,50,0,"R$0,07 ","0,042","1,4"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,23,0,"R$0,06 ","0,036","2,6087"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,53,0,"R$0,11 ","0,066","2,0755"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,26,0,"R$0,05 ","0,03","1,9231"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,27,0,"R$0,04 ","0,024","1,4815"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,36,0,"R$0,10 ","0,06","2,7778"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,48,0,"R$0,10 ","0,06","2,0833"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,78,0,"R$0,15 ","0,09","1,9231"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,52,0,"R$0,07 ","0,042","1,3462"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,71,0,"R$0,14 ","0,084","1,9718"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,86,0,"R$0,16 ","0,096","1,8605"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,58,0,"R$0,12 ","0,072","2,069"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,21,0,"R$0,06 ","0,036","2,8571"
Áudio (0x0),Portal NE10,19/01/2024,0 x 0,42,0,"R$0,06 ","0,036","1,4286"
Áudio (0x0),Portal NE10,20/01/2024,0 x 0,75,0,"R$0,10 ","0,06","1,3333"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,189,0,"R$0,28 ","0,168","1,4815"
Áudio (0x0),Portal NE10,22/01/2024,0 x 0,143,0,"R$0,19 ","0,114","1,3287"
Áudio (0x0),Portal NE10,23/01/2024,0 x 0,108,0,"R$0,20 ","0,12","1,8519"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,183,0,"R$0,30 ","0,18","1,6393"
Áudio (0x0),Portal NE10,25/01/2024,0 x 0,212,0,"R$0,48 ","0,288","2,2642"
Áudio (0x0),Portal NE10,26/01/2024,0 x 0,93,0,"R$0,39 ","0,234","4,1935"
Áudio (0x0),Portal NE10,27/01/2024,0 x 0,93,0,"R$0,10 ","0,06","1,0753"
Áudio (0x0),Portal NE10,28/01/2024,0 x 0,105,0,"R$0,20 ","0,12","1,9048"
Áudio (0x0),Portal NE10,29/01/2024,0 x 0,155,0,"R$0,16 ","0,096","1,0323"
Áudio (0x0),Portal NE10,30/01/2024,0 x 0,249,0,"R$0,28 ","0,168","1,1245"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,219,0,"R$0,29 ","0,174","1,3242"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,725,0,"R$0,40 ","0,24","0,5517"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,956,1,"R$0,60 ","0,36","0,6276"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,1031,1,"R$0,55 ","0,33","0,5335"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,769,2,"R$1,06 ","0,636","1,3784"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,580,4,"R$1,13 ","0,678","1,9483"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,245,0,"R$0,25 ","0,15","1,0204"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,1010,1,"R$0,87 ","0,522","0,8614"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,4452,3,"R$4,70 ","2,82","1,0557"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,970,2,"R$1,37 ","0,822","1,4124"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,1223,1,"R$1,29 ","0,774","1,0548"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,1069,7,"R$1,22 ","0,732","1,1413"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,811,1,"R$1,09 ","0,654","1,344"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,296,0,"R$0,41 ","0,246","1,3851"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,634,0,"R$0,82 ","0,492","1,2934"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,710,3,"R$0,92 ","0,552","1,2958"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,2716,6,"R$2,89 ","1,734","1,0641"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,1129,4,"R$1,53 ","0,918","1,3552"
Áudio (0x0),Portal NE10,19/01/2024,0 x 0,1637,10,"R$2,86 ","1,716","1,7471"
Áudio (0x0),Portal NE10,20/01/2024,0 x 0,788,2,"R$1,40 ","0,84","1,7766"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,707,2,"R$1,66 ","0,996","2,3479"
Áudio (0x0),Portal NE10,22/01/2024,0 x 0,995,2,"R$1,70 ","1,02","1,7085"
Áudio (0x0),Portal NE10,23/01/2024,0 x 0,873,1,"R$1,74 ","1,044","1,9931"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,1140,1,"R$2,87 ","1,722","2,5175"
Áudio (0x0),Portal NE10,25/01/2024,0 x 0,1053,1,"R$1,59 ","0,954","1,51"
Áudio (0x0),Portal NE10,26/01/2024,0 x 0,637,0,"R$0,96 ","0,576","1,5071"
Áudio (0x0),Portal NE10,27/01/2024,0 x 0,513,0,"R$0,47 ","0,282","0,9162"
Áudio (0x0),Portal NE10,28/01/2024,0 x 0,286,0,"R$0,33 ","0,198","1,1538"
Áudio (0x0),Portal NE10,29/01/2024,0 x 0,597,1,"R$0,89 ","0,534","1,4908"
Áudio (0x0),Portal NE10,30/01/2024,0 x 0,357,0,"R$0,48 ","0,288","1,3445"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,1,0,"R$0,01 ","0,006","10,0"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,25/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,29/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,488,0,"R$1,15 ","0,69","2,3566"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,730,0,"R$1,90 ","1,14","2,6027"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,558,0,"R$1,29 ","0,774","2,3118"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,529,0,"R$1,88 ","1,128","3,5539"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,549,0,"R$2,21 ","1,326","4,0255"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,288,1,"R$1,14 ","0,684","3,9583"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,322,0,"R$0,72 ","0,432","2,236"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,540,0,"R$2,62 ","1,572","4,8519"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,394,0,"R$1,77 ","1,062","4,4924"
Áudio (0x0),Portal NE10,10/01/2024,0 x 0,199,1,"R$0,80 ","0,48","4,0201"
Áudio (0x0),Portal NE10,11/01/2024,0 x 0,215,0,"R$1,30 ","0,78","6,0465"
Áudio (0x0),Portal NE10,12/01/2024,0 x 0,253,0,"R$2,24 ","1,344","8,8538"
Áudio (0x0),Portal NE10,13/01/2024,0 x 0,140,0,"R$0,60 ","0,36","4,2857"
Áudio (0x0),Portal NE10,14/01/2024,0 x 0,105,0,"R$0,42 ","0,252","4,0"
Áudio (0x0),Portal NE10,15/01/2024,0 x 0,266,0,"R$3,31 ","1,986","12,4436"
Áudio (0x0),Portal NE10,16/01/2024,0 x 0,237,0,"R$2,81 ","1,686","11,8565"
Áudio (0x0),Portal NE10,17/01/2024,0 x 0,245,0,"R$2,51 ","1,506","10,2449"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,129,0,"R$1,19 ","0,714","9,2248"
Áudio (0x0),Portal NE10,19/01/2024,0 x 0,162,0,"R$1,16 ","0,696","7,1605"
Áudio (0x0),Portal NE10,20/01/2024,0 x 0,198,1,"R$1,10 ","0,66","5,5556"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,223,0,"R$1,07 ","0,642","4,7982"
Áudio (0x0),Portal NE10,22/01/2024,0 x 0,886,1,"R$5,24 ","3,144","5,9142"
Áudio (0x0),Portal NE10,23/01/2024,0 x 0,770,0,"R$3,78 ","2,268","4,9091"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,817,0,"R$2,80 ","1,68","3,4272"
Áudio (0x0),Portal NE10,25/01/2024,0 x 0,1137,0,"R$4,78 ","2,868","4,204"
Áudio (0x0),Portal NE10,26/01/2024,0 x 0,485,0,"R$2,53 ","1,518","5,2165"
Áudio (0x0),Portal NE10,27/01/2024,0 x 0,519,0,"R$1,28 ","0,768","2,4663"
Áudio (0x0),Portal NE10,28/01/2024,0 x 0,561,0,"R$1,39 ","0,834","2,4777"
Áudio (0x0),Portal NE10,29/01/2024,0 x 0,1246,1,"R$3,75 ","2,25","3,0096"
Áudio (0x0),Portal NE10,30/01/2024,0 x 0,2173,0,"R$4,00 ","2,4","1,8408"
Áudio (0x0),Portal NE10,01/01/2024,0 x 0,41,0,"R$0,02 ","0,012","0,4878"
Áudio (0x0),Portal NE10,02/01/2024,0 x 0,54,0,"R$0,03 ","0,018","0,5556"
Áudio (0x0),Portal NE10,03/01/2024,0 x 0,22,0,"R$0,01 ","0,006","0,4545"
Áudio (0x0),Portal NE10,04/01/2024,0 x 0,45,0,"R$0,01 ","0,006","0,2222"
Áudio (0x0),Portal NE10,05/01/2024,0 x 0,31,0,"R$0,01 ","0,006","0,3226"
Áudio (0x0),Portal NE10,06/01/2024,0 x 0,21,0,"R$0,01 ","0,006","0,4762"
Áudio (0x0),Portal NE10,07/01/2024,0 x 0,15,0,"R$0,01 ","0,006","0,6667"
Áudio (0x0),Portal NE10,08/01/2024,0 x 0,95,0,"R$0,05 ","0,03","0,5263"
Áudio (0x0),Portal NE10,09/01/2024,0 x 0,55,0,"R$0,02 ","0,012","0,3636"
