Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,01/07/2024,7,970 x 250,770,0,"6,85 ","4,11","R$8,89 ","72,73%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,02/07/2024,7,970 x 250,967,0,"8,60 ","5,16","R$8,89 ","68,25%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,01/07/2024,7,970 x 250,4646,4,"41,30 ","24,78","R$8,89 ","72,45%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,02/07/2024,7,970 x 250,8188,2,"72,79 ","43,674","R$8,89 ","68,25%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,01/07/2024,7,970 x 250,1,0,"0,01 ","0,006","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,01/07/2024,7,970 x 250,103,0,"0,92 ","0,552","R$8,89 ","74,76%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,01/07/2024,7,970 x 250,182,0,"1,62 ","0,972","R$8,89 ","74,73%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,02/07/2024,7,970 x 250,2,0,"0,02 ","0,012","R$8,89 ","50,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,02/07/2024,7,970 x 250,10855,0,"214,39 ","128,634","R$19,75 ","74,72%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,02/07/2024,7,970 x 250,4,0,"0,08 ","0,048","R$19,75 ","75,00%"
