Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,300 x 250,44,1,"0,41 ","0,246","R$9,40 ","54,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,320 x 50,35,1,"0,33 ","0,198","R$9,40 ","42,86%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,728 x 90,1,0,"0,01 ","0,006","R$9,40 ","0,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,04/06/2024,300 x 250,85,0,"0,80 ","0,48","R$9,40 ","80,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,04/06/2024,320 x 50,19,0,"0,18 ","0,108","R$9,40 ","47,37%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,300 x 250,31,0,"0,29 ","0,174","R$9,40 ","67,74%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,320 x 50,3,0,"0,03 ","0,018","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,300 x 250,36,0,"0,34 ","0,204","R$9,40 ","69,44%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,320 x 50,14,0,"0,13 ","0,078","R$9,40 ","35,71%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,300 x 250,45,0,"0,42 ","0,252","R$9,40 ","77,78%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,320 x 50,32,0,"0,30 ","0,18","R$9,40 ","106,25%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,300 x 250,90,0,"0,85 ","0,51","R$9,40 ","62,22%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,320 x 50,25,0,"0,24 ","0,144","R$9,40 ","76,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,300 x 250,34,0,"0,32 ","0,192","R$9,40 ","73,53%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,320 x 50,8,0,"0,08 ","0,048","R$9,40 ","37,50%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,320 x 50,12,0,"0,11 ","0,066","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,728 x 90,2,1,"0,02 ","0,012","R$9,40 ","50,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,04/06/2024,320 x 50,28,0,"0,26 ","0,156","R$9,40 ","78,57%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,04/06/2024,728 x 90,4,0,"0,04 ","0,024","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,320 x 50,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,728 x 90,3,0,"0,03 ","0,018","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,320 x 50,8,0,"0,08 ","0,048","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,728 x 90,3,0,"0,03 ","0,018","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,320 x 50,29,0,"0,27 ","0,162","R$9,40 ","96,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,728 x 90,8,0,"0,08 ","0,048","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,320 x 50,29,0,"0,27 ","0,162","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,728 x 90,3,0,"0,03 ","0,018","R$9,40 ","133,33%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,320 x 50,19,0,"0,18 ","0,108","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,728 x 90,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,300 x 250,29,0,"0,27 ","0,162","R$9,40 ","79,31%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,320 x 50,2,0,"0,02 ","0,012","R$9,40 ","50,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,728 x 90,12,0,"0,11 ","0,066","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,970 x 250,12,0,"0,11 ","0,066","R$9,40 ","50,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,04/06/2024,320 x 50,3,0,"0,03 ","0,018","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,300 x 250,8,0,"0,08 ","0,048","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,320 x 50,54,0,"0,51 ","0,306","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,320 x 50,8,0,"0,08 ","0,048","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,300 x 250,3,0,"0,03 ","0,018","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,320 x 50,5,0,"0,05 ","0,03","R$9,40 ","60,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,300 x 250,13,0,"0,12 ","0,072","R$9,40 ","76,92%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,320 x 50,18,0,"0,17 ","0,102","R$9,40 ","88,89%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,320 x 50,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,320 x 50,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,728 x 90,28,0,"0,26 ","0,156","R$9,40 ","96,43%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,04/06/2024,320 x 50,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,04/06/2024,728 x 90,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,320 x 50,9,0,"0,08 ","0,048","R$9,40 ","77,78%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,05/06/2024,728 x 90,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,728 x 90,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,320 x 50,12,0,"0,11 ","0,066","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,320 x 50,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,03/06/2024,300 x 250,7,0,"0,07 ","0,042","R$9,40 ","85,71%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,300 x 250,7,0,"0,07 ","0,042","R$9,40 ","42,86%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,300 x 250,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/06/2024,300 x 250,370,0,"3,48 ","2,088","R$9,40 ","60,54%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/06/2024,320 x 50,160,1,"1,50 ","0,9","R$9,40 ","88,75%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/06/2024,728 x 90,17,0,"0,16 ","0,096","R$9,40 ","147,06%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,01/06/2024,970 x 250,20,0,"0,19 ","0,114","R$9,40 ","125,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/06/2024,300 x 250,455,0,"4,28 ","2,568","R$9,40 ","69,89%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/06/2024,320 x 50,24,0,"0,23 ","0,138","R$9,40 ","87,50%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/06/2024,300 x 250,1772,6,"16,66 ","9,996","R$9,40 ","67,72%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/06/2024,320 x 50,84,0,"0,79 ","0,474","R$9,40 ","85,71%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/06/2024,728 x 90,11,0,"0,10 ","0,06","R$9,40 ","54,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,03/06/2024,970 x 250,14,0,"0,13 ","0,078","R$9,40 ","64,29%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,04/06/2024,300 x 250,595,2,"5,59 ","3,354","R$9,40 ","67,39%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,04/06/2024,320 x 50,38,0,"0,36 ","0,216","R$9,40 ","76,32%"
