Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,300 x 250,185,0,R$1.74 ,1.04,R$9.40 ,64.32%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,320 x 50,82,1,R$0.77 ,0.46,R$9.40 ,90.24%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,728 x 90,30,0,R$0.28 ,0.17,R$9.40 ,80.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,970 x 250,30,0,R$0.28 ,0.17,R$9.40 ,70.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/05/2024,300 x 250,7,0,R$0.07 ,0.04,R$9.40 ,71.43%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,300 x 250,3705,0,R$34.83 ,20.9,R$9.40 ,70.15%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,816,0,R$7.67 ,4.6,R$9.40 ,89.05%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,728 x 90,74,0,R$0.70 ,0.42,R$9.40 ,81.08%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,970 x 250,212,0,R$1.99 ,1.19,R$9.40 ,96.23%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,300 x 250,6304,0,R$59.26 ,35.56,R$9.40 ,66.53%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,3666,0,R$34.46 ,20.68,R$9.40 ,91.81%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,728 x 90,284,0,R$2.67 ,1.6,R$9.40 ,73.24%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,970 x 250,449,0,R$4.22 ,2.53,R$9.40 ,74.16%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,300 x 250,3899,0,R$36.65 ,21.99,R$9.40 ,62.37%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,320 x 50,2775,0,R$26.09 ,15.65,R$9.40 ,84.01%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,728 x 90,196,0,R$1.84 ,1.1,R$9.40 ,77.55%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,970 x 250,358,0,R$3.37 ,2.02,R$9.40 ,82.68%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,300 x 250,3166,0,R$29.76 ,17.86,R$9.40 ,67.20%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,320 x 50,1230,0,R$11.56 ,6.94,R$9.40 ,90.89%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,728 x 90,201,0,R$1.89 ,1.13,R$9.40 ,70.15%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,970 x 250,268,0,R$2.52 ,1.51,R$9.40 ,79.85%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,11/05/2024,300 x 250,3869,0,R$36.37 ,21.82,R$9.40 ,66.45%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,11/05/2024,320 x 50,1088,0,R$10.23 ,6.14,R$9.40 ,83.29%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,11/05/2024,728 x 90,122,0,R$1.15 ,0.69,R$9.40 ,93.44%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,11/05/2024,970 x 250,229,0,R$2.15 ,1.29,R$9.40 ,90.83%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,300 x 250,12982,0,R$122.03 ,73.22,R$9.40 ,50.01%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,320 x 50,9569,0,R$89.95 ,53.97,R$9.40 ,78.86%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,728 x 90,122,0,R$1.15 ,0.69,R$9.40 ,72.95%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,970 x 250,186,0,R$1.75 ,1.05,R$9.40 ,77.96%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,300 x 250,1220,0,R$11.47 ,6.88,R$9.40 ,63.27%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,320 x 50,591,0,R$5.56 ,3.34,R$9.40 ,91.69%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,728 x 90,100,0,R$0.94 ,0.56,R$9.40 ,90.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,970 x 250,130,0,R$1.22 ,0.73,R$9.40 ,86.92%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,300 x 250,9501,0,R$89.31 ,53.59,R$9.40 ,62.72%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,320 x 50,6000,0,R$56.40 ,33.84,R$9.40 ,96.25%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,728 x 90,417,0,R$3.92 ,2.35,R$9.40 ,64.75%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,970 x 250,592,0,R$5.56 ,3.34,R$9.40 ,70.95%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,300 x 250,8076,2,R$75.91 ,45.55,R$9.40 ,44.39%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,320 x 50,9668,0,R$90.88 ,54.53,R$9.40 ,97.43%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,728 x 90,27,0,R$0.25 ,0.15,R$9.40 ,122.22%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,970 x 250,45,0,R$0.42 ,0.25,R$9.40 ,120.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,320 x 50,27,0,R$0.25 ,0.15,R$9.40 ,92.59%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,728 x 90,91,0,R$0.86 ,0.52,R$9.40 ,95.60%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/05/2024,320 x 50,2,0,R$0.02 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/05/2024,728 x 90,9,0,R$0.08 ,0.05,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,4920,0,R$46.25 ,27.75,R$9.40 ,98.07%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,728 x 90,437,0,R$4.11 ,2.47,R$9.40 ,99.08%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,2597,0,R$24.41 ,14.65,R$9.40 ,97.42%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,728 x 90,1363,0,R$12.81 ,7.69,R$9.40 ,98.97%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,320 x 50,556,0,R$5.23 ,3.14,R$9.40 ,94.96%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,728 x 90,922,0,R$8.67 ,5.2,R$9.40 ,98.48%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,320 x 50,65,0,R$0.61 ,0.37,R$9.40 ,96.92%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,728 x 90,1085,0,R$10.20 ,6.12,R$9.40 ,98.99%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,11/05/2024,320 x 50,149,0,R$1.40 ,0.84,R$9.40 ,97.32%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,11/05/2024,728 x 90,831,0,R$7.81 ,4.69,R$9.40 ,101.93%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,320 x 50,501,0,R$4.71 ,2.83,R$9.40 ,95.81%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,728 x 90,1436,0,R$13.50 ,8.1,R$9.40 ,100.14%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,320 x 50,259,0,R$2.43 ,1.46,R$9.40 ,99.23%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,728 x 90,557,0,R$5.24 ,3.14,R$9.40 ,99.28%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,320 x 50,831,0,R$7.81 ,4.69,R$9.40 ,97.23%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,728 x 90,1168,0,R$10.98 ,6.59,R$9.40 ,97.43%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,320 x 50,1679,1,R$15.78 ,9.47,R$9.40 ,96.96%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,728 x 90,732,0,R$6.88 ,4.13,R$9.40 ,101.37%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/05/2024,300 x 250,1,0,R$0.01 ,0.01,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,300 x 250,247,0,R$2.32 ,1.39,R$9.40 ,81.38%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,300 x 250,55,0,R$0.52 ,0.31,R$9.40 ,58.18%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,300 x 250,202,0,R$1.90 ,1.14,R$9.40 ,90.10%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,300 x 250,20,0,R$0.19 ,0.11,R$9.40 ,65.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,11/05/2024,300 x 250,18,0,R$0.17 ,0.1,R$9.40 ,55.56%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,300 x 250,22,0,R$0.21 ,0.13,R$9.40 ,95.45%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,300 x 250,88,0,R$0.83 ,0.5,R$9.40 ,85.23%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,300 x 250,77,0,R$0.72 ,0.43,R$9.40 ,58.44%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,300 x 250,69,0,R$0.65 ,0.39,R$9.40 ,56.52%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » noticias (21823177011),08/05/2024,970 x 250,1,0,R$0.01 ,0.01,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,35,0,R$0.33 ,0.2,R$9.40 ,94.29%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,15,0,R$0.14 ,0.08,R$9.40 ,133.33%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,320 x 50,1,0,R$0.01 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,320 x 50,7,0,R$0.07 ,0.04,R$9.40 ,85.71%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,320 x 50,1,0,R$0.01 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,320 x 50,2,0,R$0.02 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,2,0,R$0.02 ,0.01,R$9.40 ,50.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,10,0,R$0.09 ,0.05,R$9.40 ,40.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,320 x 50,8,0,R$0.08 ,0.05,R$9.40 ,62.50%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,320 x 50,5,0,R$0.05 ,0.03,R$9.40 ,80.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,320 x 50,6,0,R$0.06 ,0.04,R$9.40 ,66.67%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,320 x 50,3,0,R$0.03 ,0.02,R$9.40 ,33.33%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,300 x 250,1,0,R$0.01 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,320 x 50,1,0,R$0.01 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,728 x 90,44,0,R$0.41 ,0.25,R$9.40 ,93.18%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,07/05/2024,970 x 250,31,0,R$0.29 ,0.17,R$9.40 ,74.19%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,300 x 250,51,0,R$0.48 ,0.29,R$9.40 ,33.33%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,320 x 50,2,0,R$0.02 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,728 x 90,157,0,R$1.48 ,0.89,R$9.40 ,74.52%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,970 x 250,97,0,R$0.91 ,0.55,R$9.40 ,75.26%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,300 x 250,11,0,R$0.10 ,0.06,R$9.40 ,72.73%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,728 x 90,29,0,R$0.27 ,0.16,R$9.40 ,55.17%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,09/05/2024,970 x 250,19,0,R$0.18 ,0.11,R$9.40 ,15.79%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,728 x 90,2,0,R$0.02 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,10/05/2024,970 x 250,1,0,R$0.01 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,300 x 250,2,0,R$0.02 ,0.01,R$9.40 ,50.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,728 x 90,1,0,R$0.01 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,12/05/2024,970 x 250,1,0,R$0.01 ,0.01,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,728 x 90,10,0,R$0.09 ,0.05,R$9.40 ,80.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,13/05/2024,970 x 250,4,0,R$0.04 ,0.02,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,320 x 50,2,0,R$0.02 ,0.01,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,728 x 90,5,0,R$0.05 ,0.03,R$9.40 ,80.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,14/05/2024,970 x 250,4,0,R$0.04 ,0.02,R$9.40 ,75.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,728 x 90,2,0,R$0.02 ,0.01,R$9.40 ,50.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,15/05/2024,970 x 250,1,0,R$0.01 ,0.01,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/05/2024,300 x 250,5,0,R$0.05 ,0.03,R$9.40 ,60.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/05/2024,320 x 50,1115,0,R$10.48 ,6.29,R$9.40 ,96.86%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/05/2024,728 x 90,481,0,R$4.52 ,2.71,R$9.40 ,98.13%
