Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Não Identificado,Portal NE10,01/03/2024,0 x 0,150,0,"R$0,26 ","0,156","R$1,75 ","60,40%"
Não Identificado,Portal NE10,02/03/2024,0 x 0,66,0,"R$0,08 ","0,048","R$1,24 ","66,67%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,133,0,"R$0,21 ","0,126","R$1,55 ","55,30%"
Não Identificado,Portal NE10,01/03/2024,0 x 0,450,0,"R$0,40 ","0,24","R$0,88 ","96,67%"
Não Identificado,Portal NE10,02/03/2024,0 x 0,233,0,"R$0,27 ","0,162","R$1,15 ","98,28%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,237,0,"R$0,13 ","0,078","R$0,56 ","95,36%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,33 ","100,00%"
Não Identificado,Portal NE10,01/03/2024,0 x 0,1487,0,"R$5,14 ","3,084","R$3,45 ","66,53%"
Não Identificado,Portal NE10,02/03/2024,0 x 0,836,0,"R$3,21 ","1,926","R$3,84 ","56,68%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,857,0,"R$3,46 ","2,076","R$4,03 ","66,16%"
Não Identificado,Portal NE10,01/03/2024,0 x 0,1652,8,"R$1,94 ","1,164","R$1,17 ","97,09%"
Não Identificado,Portal NE10,02/03/2024,0 x 0,584,2,"R$0,82 ","0,492","R$1,40 ","96,58%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,561,1,"R$0,76 ","0,456","R$1,36 ","96,08%"
Não Identificado,Portal NE10,01/03/2024,0 x 0,19,2,"R$0,18 ","0,108","R$9,47 ","100,00%"
Não Identificado,Portal NE10,02/03/2024,0 x 0,23,2,"R$0,04 ","0,024","R$1,70 ","86,96%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,20,0,"R$0,20 ","0,12","R$10,18 ","80,00%"
Não Identificado,Portal NE10,01/03/2024,0 x 0,26,0,"R$0,06 ","0,036","R$2,46 ","61,54%"
Não Identificado,Portal NE10,02/03/2024,0 x 0,25,0,"R$0,19 ","0,114","R$7,54 ","88,00%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,27,0,"R$0,12 ","0,072","R$4,48 ","70,37%"
Não Identificado,Portal NE10,01/03/2024,0 x 0,468,6,"R$0,48 ","0,288","R$1,02 ","90,19%"
Não Identificado,Portal NE10,02/03/2024,0 x 0,331,3,"R$0,67 ","0,402","R$2,03 ","88,99%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,278,2,"R$0,53 ","0,318","R$1,89 ","87,12%"
Não Identificado,Interior,01/03/2024,0 x 0,111,0,"R$0,54 ","0,324","R$4,83 ","55,86%"
Não Identificado,Interior,02/03/2024,0 x 0,30,0,"R$0,13 ","0,078","R$4,31 ","71,43%"
Não Identificado,Interior,03/03/2024,0 x 0,36,0,"R$0,19 ","0,114","R$5,38 ","70,97%"
Não Identificado,Interior,02/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,19 ","0,00%"
Não Identificado,Interior,01/03/2024,0 x 0,353,2,"R$0,50 ","0,3","R$1,41 ","98,02%"
Não Identificado,Interior,02/03/2024,0 x 0,44,0,"R$0,22 ","0,132","R$5,11 ","97,73%"
Não Identificado,Interior,03/03/2024,0 x 0,57,0,"R$0,47 ","0,282","R$8,26 ","96,49%"
Não Identificado,Interior,01/03/2024,0 x 0,132,1,"R$0,07 ","0,042","R$0,51 ","86,72%"
Não Identificado,Interior,02/03/2024,0 x 0,77,0,"R$0,07 ","0,042","R$0,88 ","89,86%"
Não Identificado,Interior,03/03/2024,0 x 0,49,0,"R$0,04 ","0,024","R$0,89 ","85,42%"
Não Identificado,Interior,01/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,44 ","0,00%"
Não Identificado,Interior,02/03/2024,0 x 0,1,0,"R$0,04 ","0,024","R$44,42 ","0,00%"
Não Identificado,Interior,01/03/2024,0 x 0,8,0,"R$0,00 ","0,0","R$0,40 ","0,00%"
Não Identificado,Interior,02/03/2024,0 x 0,4,0,"R$0,00 ","0,0","R$0,34 ","0,00%"
Não Identificado,Interior,03/03/2024,0 x 0,2,0,"R$0,00 ","0,0","R$0,25 ","0,00%"
Não Identificado,Portal NE10,01/03/2024,0 x 0,8,0,"R$0,01 ","0,006","R$1,65 ","87,50%"
Não Identificado,Portal NE10,03/03/2024,0 x 0,2,0,"R$0,00 ","0,0","R$0,38 ","50,00%"
Não Identificado,JC Online,01/03/2024,0 x 0,10813,2,"R$33,88 ","20,328","R$3,13 ","65,61%"
Não Identificado,JC Online,02/03/2024,0 x 0,5995,2,"R$21,30 ","12,78","R$3,55 ","68,94%"
Não Identificado,JC Online,03/03/2024,0 x 0,5422,2,"R$18,40 ","11,04","R$3,39 ","69,02%"
Não Identificado,Jamildo,01/03/2024,0 x 0,3966,0,"R$10,63 ","6,378","R$2,68 ","51,86%"
Não Identificado,Jamildo,02/03/2024,0 x 0,1571,0,"R$5,14 ","3,084","R$3,27 ","55,41%"
Não Identificado,Jamildo,03/03/2024,0 x 0,3228,0,"R$10,61 ","6,366","R$3,29 ","51,85%"
Não Identificado,JC Online,01/03/2024,0 x 0,40,0,"R$0,05 ","0,03","R$1,26 ","0,00%"
Não Identificado,JC Online,02/03/2024,0 x 0,94,0,"R$0,14 ","0,084","R$1,48 ","0,00%"
Não Identificado,JC Online,03/03/2024,0 x 0,55,0,"R$0,09 ","0,054","R$1,55 ","0,00%"
Não Identificado,JC Online,01/03/2024,0 x 0,16052,28,"R$19,19 ","11,514","R$1,20 ","96,83%"
Não Identificado,JC Online,02/03/2024,0 x 0,6986,19,"R$8,57 ","5,142","R$1,23 ","97,65%"
Não Identificado,JC Online,03/03/2024,0 x 0,7343,40,"R$9,95 ","5,97","R$1,35 ","97,45%"
Não Identificado,Jamildo,01/03/2024,0 x 0,980,0,"R$3,44 ","2,064","R$3,51 ","66,29%"
Não Identificado,Jamildo,02/03/2024,0 x 0,239,0,"R$0,90 ","0,54","R$3,75 ","67,78%"
Não Identificado,Jamildo,03/03/2024,0 x 0,414,0,"R$1,73 ","1,038","R$4,18 ","70,22%"
