Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,300 x 600,3,1,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,320 x 50,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,Native,33,0,"0,00 ","0,0","R$0,00 ","60,61%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,300 x 100,5,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,320 x 100,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,320 x 50,7,0,"0,00 ","0,0","R$0,00 ","85,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,728 x 90,81,0,"0,00 ","0,0","R$0,00 ","86,42%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,970 x 90,55,0,"0,00 ","0,0","R$0,00 ","92,73%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,Native,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,300 x 250,28,0,"0,00 ","0,0","R$0,00 ","71,43%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,320 x 50,14,0,"0,00 ","0,0","R$0,00 ","64,29%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,480 x 360,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,728 x 90,9,0,"0,00 ","0,0","R$0,00 ","55,56%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,970 x 250,9,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,970 x 90,9,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,Native,5648,12,"0,00 ","0,0","R$0,00 ","73,25%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,728 x 90,39,0,"0,00 ","0,0","R$0,00 ","79,49%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,970 x 90,11,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,06/08/2024,8,Native,68,0,"0,00 ","0,0","R$0,00 ","61,76%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,300 x 250,129,0,"0,00 ","0,0","R$0,00 ","52,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,320 x 50,16,0,"0,00 ","0,0","R$0,00 ","62,50%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,970 x 250,3,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,970 x 90,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,Native,360,0,"0,00 ","0,0","R$0,00 ","41,39%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,300 x 100,28,0,"0,00 ","0,0","R$0,00 ","89,29%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,320 x 100,29,1,"0,00 ","0,0","R$0,00 ","86,21%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,320 x 50,20,0,"0,00 ","0,0","R$0,00 ","95,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,728 x 90,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,Native,76,0,"0,00 ","0,0","R$0,00 ","60,53%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,300 x 250,194,0,"0,00 ","0,0","R$0,00 ","68,56%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,06/08/2024,8,Native,43,0,"0,00 ","0,0","R$0,00 ","69,77%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,06/08/2024,8,1 x 1,11396,0,"0,00 ","0,0","R$0,00 ","65,87%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,06/08/2024,8,300 x 250,2068,3,"0,00 ","0,0","R$0,00 ","60,88%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,06/08/2024,8,300 x 500,1117,26,"0,00 ","0,0","R$0,00 ","63,92%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,06/08/2024,8,300 x 600,1475,1,"0,00 ","0,0","R$0,00 ","91,46%"
