Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,320 x 50,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,Native,26,1,"0,00 ","0,0","R$0,00 ","53,85%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,300 x 100,12,0,"0,00 ","0,0","R$0,00 ","91,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,320 x 100,9,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,320 x 50,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,728 x 90,53,0,"0,00 ","0,0","R$0,00 ","96,23%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,970 x 90,11,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,Native,5,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,300 x 250,7,0,"0,00 ","0,0","R$0,00 ","85,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,320 x 50,32,0,"0,00 ","0,0","R$0,00 ","84,38%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,Native,228,0,"0,00 ","0,0","R$0,00 ","67,11%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,728 x 90,37,0,"0,00 ","0,0","R$0,00 ","70,27%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,Native,78,0,"0,00 ","0,0","R$0,00 ","48,72%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,300 x 250,48,0,"0,00 ","0,0","R$0,00 ","45,83%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,300 x 600,5,0,"0,00 ","0,0","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,320 x 50,45,0,"0,00 ","0,0","R$0,00 ","60,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,Native,452,1,"0,00 ","0,0","R$0,00 ","42,26%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,320 x 50,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,728 x 90,6,0,"0,00 ","0,0","R$0,00 ","83,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,Native,109,1,"0,00 ","0,0","R$0,00 ","59,63%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,300 x 250,24,0,"0,00 ","0,0","R$0,00 ","70,83%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,Native,4,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,19/08/2024,8,Native,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,1 x 1,4479,0,"0,00 ","0,0","R$0,00 ","64,77%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,300 x 250,159,0,"0,00 ","0,0","R$0,00 ","52,83%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,300 x 500,1050,6,"0,00 ","0,0","R$0,00 ","68,38%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,300 x 600,32,0,"0,00 ","0,0","R$0,00 ","93,75%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,320 x 50,781,0,"0,00 ","0,0","R$0,00 ","82,46%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,Native,3283,5,"0,00 ","0,0","R$0,00 ","48,16%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,728 x 90,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,970 x 90,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,19/08/2024,8,Native,137,2,"0,00 ","0,0","R$0,00 ","67,15%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,19/08/2024,8,320 x 100,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,19/08/2024,8,728 x 90,41,0,"0,00 ","0,0","R$0,00 ","87,80%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,19/08/2024,8,970 x 90,4,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,19/08/2024,8,Native,104,0,"0,00 ","0,0","R$0,00 ","98,08%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,300 x 600,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,Native,3,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Cultura,19/08/2024,8,728 x 90,168,0,"0,00 ","0,0","R$0,00 ","97,02%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Cultura,19/08/2024,8,970 x 90,23,0,"0,00 ","0,0","R$0,00 ","95,65%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Cultura,19/08/2024,8,Native,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,1 x 1,390,1,"0,00 ","0,0","R$0,00 ","53,73%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,300 x 100,187,0,"0,00 ","0,0","R$0,00 ","98,40%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,320 x 100,213,0,"0,00 ","0,0","R$0,00 ","97,65%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,320 x 50,193,0,"0,00 ","0,0","R$0,00 ","96,89%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,728 x 90,73,0,"0,00 ","0,0","R$0,00 ","93,15%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,19/08/2024,8,Native,420,0,"0,00 ","0,0","R$0,00 ","91,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,300 x 250,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,320 x 50,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,19/08/2024,8,Native,14,0,"0,00 ","0,0","R$0,00 ","42,86%"
