Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,183,0,"R$0,30 ","0,18","1,6393"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,1140,1,"R$2,87 ","1,722","2,5175"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,817,0,"R$2,80 ","1,68","3,4272"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,92,0,"R$0,04 ","0,024","0,4348"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,14,0,"R$0,41 ","0,246","29,2857"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,16,0,"R$0,03 ","0,018","1,875"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,110,1,"R$0,33 ","0,198","3,0"
Áudio (0x0),Interior,24/01/2024,0 x 0,218,0,"R$2,14 ","1,284","9,8165"
Áudio (0x0),Interior,24/01/2024,0 x 0,314,0,"R$0,67 ","0,402","2,1338"
Áudio (0x0),Interior,24/01/2024,0 x 0,7,0,"R$0,04 ","0,024","5,7143"
Áudio (0x0),Interior,24/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,24/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,6,0,"R$0,01 ","0,006","1,6667"
Áudio (0x0),JC Online,24/01/2024,0 x 0,58086,4,"R$126,80 ","76,08","2,183"
Áudio (0x0),JC Online,24/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Jamildo,24/01/2024,0 x 0,253367,0,"R$651,21 ","390,726","2,5702"
Áudio (0x0),JC Online,24/01/2024,0 x 0,12,0,"R$0,01 ","0,006","0,8333"
Áudio (0x0),JC Online,24/01/2024,0 x 0,28001,33,"R$40,49 ","24,294","1,446"
Áudio (0x0),Jamildo,24/01/2024,0 x 0,20202,0,"R$56,30 ","33,78","2,7869"
Áudio (0x0),Jamildo,24/01/2024,0 x 0,15217,14,"R$22,10 ","13,26","1,4523"
Áudio (0x0),Jamildo,24/01/2024,0 x 0,857,1,"R$3,52 ","2,112","4,1074"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,24,0,"R$0,02 ","0,012","0,8333"
Áudio (0x0),Social 1,24/01/2024,0 x 0,69606,2,"R$102,74 ","61,644","1,476"
Áudio (0x0),Social 1,24/01/2024,0 x 0,19,0,"R$0,03 ","0,018","1,5789"
Áudio (0x0),Social 1,24/01/2024,0 x 0,5502,3,"R$11,49 ","6,894","2,0883"
Áudio (0x0),Social 1,24/01/2024,0 x 0,159,1,"R$1,56 ","0,936","9,8113"
Áudio (0x0),Blog do Torcedor,24/01/2024,0 x 0,26383,5,"R$45,85 ","27,51","1,7379"
Áudio (0x0),Blog do Torcedor,24/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Blog do Torcedor,24/01/2024,0 x 0,2611,5,"R$4,64 ","2,784","1,7771"
Áudio (0x0),Blog do Torcedor,24/01/2024,0 x 0,99,0,"R$0,91 ","0,546","9,1919"
Áudio (0x0),JC Online,24/01/2024,0 x 0,289,3,"R$2,68 ","1,608","9,2734"
Áudio (0x0),JC Online,24/01/2024,0 x 0,394,0,"R$0,73 ","0,438","1,8528"
Áudio (0x0),JC HTML,24/01/2024,0 x 0,1298,0,"R$1,91 ","1,146","1,4715"
Áudio (0x0),JC HTML,24/01/2024,0 x 0,92,2,"R$0,44 ","0,264","4,7826"
Áudio (0x0),JC Online,24/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,234,0,"R$1,25 ","0,75","5,3419"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,56,0,"R$0,17 ","0,102","3,0357"
Áudio (0x0),Portal NE10,24/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Rádio Jornal,24/01/2024,0 x 0,1259,0,"R$3,01 ","1,806","2,3908"
Áudio (0x0),Rádio Jornal,24/01/2024,0 x 0,964,1,"R$1,23 ","0,738","1,2759"
Áudio (0x0),Rádio Jornal,24/01/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Rádio Jornal,24/01/2024,0 x 0,5,0,"R$0,01 ","0,006","2,0"
Áudio (0x0),Rádio Jornal,24/01/2024,0 x 0,10,1,"R$0,09 ","0,054","9,0"
Áudio (0x0),Rádio Jornal,24/01/2024,0 x 0,6,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),TV Jornal,24/01/2024,0 x 0,2943,0,"R$8,31 ","4,986","2,8236"
Áudio (0x0),TV Jornal,24/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),TV Jornal,24/01/2024,0 x 0,3903,3,"R$3,91 ","2,346","1,0018"
Áudio (0x0),TV Jornal,24/01/2024,0 x 0,512,0,"R$1,12 ","0,672","2,1875"
Áudio (0x0),TV Jornal,24/01/2024,0 x 0,40,0,"R$0,32 ","0,192","8,0"
Áudio (0x0),Interior,24/01/2024,0 x 0,8,0,"R$0,01 ","0,006","1,25"
