Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/04/2024,4,300 x 250,866,0,"R$8,14 ","4,884","R$9,40 ","65,01%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/04/2024,4,320 x 50,322,1,"R$3,03 ","1,818","R$9,40 ","77,02%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/04/2024,4,320 x 50,784,2,"R$7,37 ","4,422","R$9,40 ","80,99%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/04/2024,4,728 x 90,130,0,"R$1,22 ","0,732","R$9,40 ","93,85%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/04/2024,4,300 x 250,41,1,"R$0,39 ","0,234","R$9,40 ","68,29%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/04/2024,4,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","0,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,17/04/2024,4,300 x 250,824,1,"R$7,75 ","4,65","R$9,40 ","53,83%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,17/04/2024,4,320 x 50,366,0,"R$3,44 ","2,064","R$9,40 ","86,07%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,17/04/2024,4,320 x 50,436,0,"R$4,10 ","2,46","R$9,40 ","97,48%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,17/04/2024,4,728 x 90,349,0,"R$3,28 ","1,968","R$9,40 ","99,43%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » radio_jornal (21719551231) » app (23085685547),17/04/2024,4,300 x 250,3195,7,"R$30,03 ","18,018","R$9,40 ","72,08%"
