Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,121,0,"R$0,20 ","0,12","1,6529"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,236,0,"R$0,16 ","0,096","0,678"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,1694,0,"R$4,10 ","2,46","2,4203"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,3378,2,"R$3,32 ","1,992","0,9828"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,14,0,"R$0,09 ","0,054","6,4286"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,60,0,"R$0,20 ","0,12","3,3333"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,5,0,"R$0,01 ","0,006","2,0"
Áudio (0x0),Interior,15/02/2024,0 x 0,47,0,"R$0,35 ","0,21","7,4468"
Áudio (0x0),Interior,15/02/2024,0 x 0,332,2,"R$0,77 ","0,462","2,3193"
Áudio (0x0),Interior,15/02/2024,0 x 0,31,0,"R$0,03 ","0,018","0,9677"
Áudio (0x0),Interior,15/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,15/02/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,15/02/2024,0 x 0,51153,2,"R$116,21 ","69,726","2,2718"
Áudio (0x0),Jamildo,15/02/2024,0 x 0,19826,0,"R$44,53 ","26,718","2,246"
Áudio (0x0),JC Online,15/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,15/02/2024,0 x 0,24552,44,"R$30,19 ","18,114","1,2296"
Áudio (0x0),Jamildo,15/02/2024,0 x 0,3887,0,"R$10,76 ","6,456","2,7682"
Áudio (0x0),Jamildo,15/02/2024,0 x 0,13545,16,"R$14,39 ","8,634","1,0624"
Áudio (0x0),Jamildo,15/02/2024,0 x 0,826,7,"R$2,02 ","1,212","2,4455"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,15/02/2024,0 x 0,43,0,"R$0,06 ","0,036","1,3953"
Áudio (0x0),Social 1,15/02/2024,0 x 0,104195,1,"R$132,92 ","79,752","1,2757"
Áudio (0x0),Social 1,15/02/2024,0 x 0,42,0,"R$0,05 ","0,03","1,1905"
Áudio (0x0),Social 1,15/02/2024,0 x 0,6810,10,"R$9,28 ","5,568","1,3627"
Áudio (0x0),Social 1,15/02/2024,0 x 0,680,2,"R$2,03 ","1,218","2,9853"
Áudio (0x0),Blog do Torcedor,15/02/2024,0 x 0,10933,4,"R$16,88 ","10,128","1,5439"
Áudio (0x0),Blog do Torcedor,15/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Blog do Torcedor,15/02/2024,0 x 0,3372,16,"R$3,95 ","2,37","1,1714"
