Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,129,0,"R$0,28 ","0,168","2,1705","R$2,18 ","59,69%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,127,0,"R$0,13 ","0,078","1,0236","R$1,00 ","97,64%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0","R$0,28 ","100,00%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,3031,0,"R$7,77 ","4,662","2,5635","R$2,56 ","67,59%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,2171,2,"R$2,94 ","1,764","1,3542","R$1,35 ","95,58%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,640,0,"R$0,96 ","0,576","1,5","R$1,50 ","86,96%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,202,0,"R$0,31 ","0,186","1,5347","R$1,53 ","63,86%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,24,0,"R$0,03 ","0,018","1,25","R$1,15 ","95,65%"
Áudio (0x0),Interior,20/02/2024,0 x 0,130,0,"R$0,77 ","0,462","5,9231","R$5,93 ","70,00%"
Áudio (0x0),Interior,20/02/2024,0 x 0,217,1,"R$0,73 ","0,438","3,3641","R$3,37 ","98,62%"
Áudio (0x0),Interior,20/02/2024,0 x 0,33,0,"R$0,03 ","0,018","0,9091","R$1,01 ","87,50%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,7,0,"R$0,01 ","0,006","1,4286","R$1,00 ","85,71%"
Áudio (0x0),JC Online,20/02/2024,0 x 0,17574,0,"R$52,47 ","31,482","2,9857","R$2,99 ","71,09%"
Áudio (0x0),Jamildo,20/02/2024,0 x 0,20967,0,"R$106,72 ","64,032","5,0899","R$5,09 ","64,86%"
Áudio (0x0),JC Online,20/02/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0","R$1,12 ","0,00%"
Áudio (0x0),JC Online,20/02/2024,0 x 0,15982,49,"R$20,56 ","12,336","1,2864","R$1,29 ","96,23%"
Áudio (0x0),Jamildo,20/02/2024,0 x 0,2527,0,"R$8,82 ","5,292","3,4903","R$3,49 ","68,55%"
Áudio (0x0),Jamildo,20/02/2024,0 x 0,6779,8,"R$10,10 ","6,06","1,4899","R$1,49 ","96,55%"
Áudio (0x0),Jamildo,20/02/2024,0 x 0,1291,0,"R$3,07 ","1,842","2,378","R$2,38 ","84,29%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0","R$0,29 ","0,00%"
Áudio (0x0),JC Online,20/02/2024,0 x 0,5,0,"R$0,00 ","0,0","0,0","R$0,79 ","100,00%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,17,0,"R$0,03 ","0,018","1,7647","R$1,76 ","58,82%"
Áudio (0x0),Social 1,20/02/2024,0 x 0,109524,0,"R$265,25 ","159,15","2,4218","R$2,42 ","77,37%"
Áudio (0x0),Social 1,20/02/2024,0 x 0,33,0,"R$0,05 ","0,03","1,5152","R$1,61 ","0,00%"
Áudio (0x0),Social 1,20/02/2024,0 x 0,9546,14,"R$19,32 ","11,592","2,0239","R$2,02 ","96,62%"
Áudio (0x0),Social 1,20/02/2024,0 x 0,4920,29,"R$9,89 ","5,934","2,0102","R$2,01 ","88,93%"
Áudio (0x0),Blog do Torcedor,20/02/2024,0 x 0,1783,0,"R$5,51 ","3,306","3,0903","R$3,09 ","72,67%"
Áudio (0x0),Blog do Torcedor,20/02/2024,0 x 0,1613,11,"R$3,27 ","1,962","2,0273","R$2,03 ","97,70%"
Áudio (0x0),Blog do Torcedor,20/02/2024,0 x 0,439,1,"R$1,54 ","0,924","3,508","R$3,50 ","85,20%"
Áudio (0x0),JC Online,20/02/2024,0 x 0,2487,5,"R$4,47 ","2,682","1,7973","R$1,80 ","90,01%"
Áudio (0x0),JC Online,20/02/2024,0 x 0,345,0,"R$0,56 ","0,336","1,6232","R$1,62 ","60,87%"
Áudio (0x0),JC HTML,20/02/2024,0 x 0,545,3,"R$1,00 ","0,6","1,8349","R$1,84 ","68,81%"
Áudio (0x0),JC HTML,20/02/2024,0 x 0,114,0,"R$0,57 ","0,342","5,0","R$5,04 ","93,81%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,242,0,"R$1,17 ","0,702","4,8347","R$4,85 ","69,01%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,338,0,"R$0,40 ","0,24","1,1834","R$1,19 ","97,33%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,49,0,"R$0,03 ","0,018","0,6122","R$0,68 ","81,25%"
Áudio (0x0),Portal NE10,20/02/2024,0 x 0,6,0,"R$0,00 ","0,0","0,0","R$0,39 ","83,33%"
Áudio (0x0),Rádio Jornal,20/02/2024,0 x 0,765,0,"R$2,12 ","1,272","2,7712","R$2,77 ","67,72%"
Áudio (0x0),Rádio Jornal,20/02/2024,0 x 0,387,0,"R$0,43 ","0,258","1,1111","R$1,11 ","96,90%"
Áudio (0x0),Rádio Jornal,20/02/2024,0 x 0,5,0,"R$0,00 ","0,0","0,0","R$0,61 ","100,00%"
Áudio (0x0),Rádio Jornal,20/02/2024,0 x 0,5,0,"R$0,00 ","0,0","0,0","R$0,76 ","80,00%"
Áudio (0x0),Rádio Jornal,20/02/2024,0 x 0,32,0,"R$0,02 ","0,012","0,625","R$0,65 ","79,31%"
