Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,79,0,"R$0,20 ","0,12","R$2,49 ","63,29%"
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,201,1,"R$0,18 ","0,108","R$0,88 ","95,52%"
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,2452,0,"R$7,93 ","4,758","R$3,23 ","67,29%"
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,3100,5,"R$4,01 ","2,406","R$1,29 ","96,13%"
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,777,0,"R$0,91 ","0,546","R$1,17 ","82,16%"
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,115,0,"R$0,16 ","0,096","R$1,35 ","75,65%"
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,25,0,"R$0,03 ","0,018","R$1,09 ","80,00%"
Áudio (0x0),Interior,26/02/2024,0 x 0,90,0,"R$0,48 ","0,288","R$5,39 ","52,22%"
Áudio (0x0),Interior,26/02/2024,0 x 0,377,0,"R$1,03 ","0,618","R$2,74 ","94,68%"
Áudio (0x0),Interior,26/02/2024,0 x 0,53,0,"R$0,05 ","0,03","R$0,97 ","90,20%"
Áudio (0x0),Interior,26/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$1,28 ","100,00%"
Áudio (0x0),Interior,26/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,36 ","0,00%"
Áudio (0x0),Portal NE10,26/02/2024,0 x 0,2,0,"R$0,00 ","0,0","R$2,44 ","0,00%"
Áudio (0x0),JC Online,26/02/2024,0 x 0,11987,5,"R$35,91 ","21,546","R$3,00 ","67,28%"
Áudio (0x0),Jamildo,26/02/2024,0 x 0,7869,0,"R$22,72 ","13,632","R$2,89 ","75,18%"
Áudio (0x0),JC Online,26/02/2024,0 x 0,4,0,"R$0,00 ","0,0","R$1,20 ","0,00%"
Áudio (0x0),JC Online,26/02/2024,0 x 0,25770,41,"R$31,80 ","19,08","R$1,23 ","97,12%"
