Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,236,0,"R$0,25 ","0,15","1,0593"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,299,1,"R$0,24 ","0,144","0,8027"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,1891,0,"R$2,97 ","1,782","1,5706"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,2626,2,"R$2,70 ","1,62","1,0282"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,24,1,"R$0,27 ","0,162","11,25"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,99,0,"R$0,16 ","0,096","1,6162"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,5,0,"R$0,02 ","0,012","4,0"
Áudio (0x0),Interior,01/02/2024,0 x 0,45,0,"R$0,28 ","0,168","6,2222"
Áudio (0x0),Interior,01/02/2024,0 x 0,202,1,"R$0,49 ","0,294","2,4257"
Áudio (0x0),Interior,01/02/2024,0 x 0,3,0,"R$0,05 ","0,03","16,6667"
Áudio (0x0),Interior,01/02/2024,0 x 0,16,0,"R$0,01 ","0,006","0,625"
Áudio (0x0),Interior,01/02/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,5,0,"R$0,01 ","0,006","2,0"
Áudio (0x0),JC Online,01/02/2024,0 x 0,30273,2,"R$54,54 ","32,724","1,8016"
Áudio (0x0),Jamildo,01/02/2024,0 x 0,43310,0,"R$67,24 ","40,344","1,5525"
Áudio (0x0),JC Online,01/02/2024,0 x 0,8,0,"R$0,01 ","0,006","1,25"
Áudio (0x0),JC Online,01/02/2024,0 x 0,18966,20,"R$26,89 ","16,134","1,4178"
Áudio (0x0),Jamildo,01/02/2024,0 x 0,7909,0,"R$15,67 ","9,402","1,9813"
Áudio (0x0),Jamildo,01/02/2024,0 x 0,12990,15,"R$14,14 ","8,484","1,0885"
Áudio (0x0),Jamildo,01/02/2024,0 x 0,1635,4,"R$4,20 ","2,52","2,5688"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,27,0,"R$0,02 ","0,012","0,7407"
Áudio (0x0),Social 1,01/02/2024,0 x 0,27276,0,"R$32,79 ","19,674","1,2022"
Áudio (0x0),Social 1,01/02/2024,0 x 0,28,0,"R$0,04 ","0,024","1,4286"
Áudio (0x0),Social 1,01/02/2024,0 x 0,2260,3,"R$2,99 ","1,794","1,323"
Áudio (0x0),Social 1,01/02/2024,0 x 0,116,0,"R$0,44 ","0,264","3,7931"
Áudio (0x0),Blog do Torcedor,01/02/2024,0 x 0,10069,1,"R$15,69 ","9,414","1,5582"
Áudio (0x0),Blog do Torcedor,01/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Blog do Torcedor,01/02/2024,0 x 0,1163,3,"R$1,99 ","1,194","1,7111"
Áudio (0x0),Blog do Torcedor,01/02/2024,0 x 0,123,0,"R$0,52 ","0,312","4,2276"
Áudio (0x0),Blog do Torcedor,01/02/2024,0 x 0,7,0,"R$0,10 ","0,06","14,2857"
Áudio (0x0),JC Online,01/02/2024,0 x 0,380,0,"R$3,22 ","1,932","8,4737"
Áudio (0x0),JC Online,01/02/2024,0 x 0,482,0,"R$0,57 ","0,342","1,1826"
Áudio (0x0),JC HTML,01/02/2024,0 x 0,306,0,"R$0,22 ","0,132","0,719"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,643,0,"R$1,14 ","0,684","1,7729"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,287,1,"R$0,65 ","0,39","2,2648"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,3,0,"R$0,01 ","0,006","3,3333"
Áudio (0x0),Portal NE10,01/02/2024,0 x 0,3,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Rádio Jornal,01/02/2024,0 x 0,916,0,"R$1,53 ","0,918","1,6703"
Áudio (0x0),Rádio Jornal,01/02/2024,0 x 0,367,0,"R$0,41 ","0,246","1,1172"
Áudio (0x0),Rádio Jornal,01/02/2024,0 x 0,65,0,"R$0,05 ","0,03","0,7692"
Áudio (0x0),Rádio Jornal,01/02/2024,0 x 0,28,0,"R$0,02 ","0,012","0,7143"
Áudio (0x0),Rádio Jornal,01/02/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),TV Jornal,01/02/2024,0 x 0,2986,0,"R$5,64 ","3,384","1,8888"
Áudio (0x0),TV Jornal,01/02/2024,0 x 0,6,0,"R$0,01 ","0,006","1,6667"
Áudio (0x0),TV Jornal,01/02/2024,0 x 0,9807,2,"R$6,86 ","4,116","0,6995"
Áudio (0x0),TV Jornal,01/02/2024,0 x 0,545,0,"R$0,82 ","0,492","1,5046"
Áudio (0x0),TV Jornal,01/02/2024,0 x 0,157,1,"R$1,07 ","0,642","6,8153"
Áudio (0x0),Interior,01/02/2024,0 x 0,6,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),TV Jornal,01/02/2024,0 x 0,34,0,"R$0,13 ","0,078","3,8235"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,01/02/2024,300 x 250v,4,0,"R$0,10 ","0,06","25,0"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,01/02/2024,300 x 250v,19,0,"R$0,48 ","0,288","25,2632"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,01/02/2024,480 x 360v,2,0,"R$0,05 ","0,03","25,0"
