Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,23/07/2024,7,970 x 250,6477,0,"57,58 ","34,548","R$8,89 ","73,89%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Portal NE10,23/07/2024,7,970 x 250,1195,0,"10,62 ","6,372","R$8,89 ","96,23%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,23/07/2024,7,970 x 250,2,0,"0,02 ","0,012","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,23/07/2024,7,970 x 250,10,0,"0,09 ","0,054","R$8,89 ","100,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,23/07/2024,7,970 x 250,2444,15,"21,73 ","13,038","R$8,89 ","61,54%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,23/07/2024,7,970 x 250,547,0,"4,86 ","2,916","R$8,89 ","98,54%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 250,222,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 600,6,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,74,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,970 x 250,226,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 100,42,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,11,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,970 x 90,4,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 250,1974,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 600,837,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,294,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 100,2166,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,506,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,970 x 90,113,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 250,496,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,300 x 250,12090,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,300 x 600,41,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,320 x 50,869,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,970 x 250,3,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,320 x 100,21747,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,320 x 50,9294,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,300 x 250,501,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,320 x 50,12,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,320 x 50,2,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Interior,23/07/2024,7,320 x 50,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 250,2,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,970 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,300 x 250,28489,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,300 x 600,3945,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,320 x 50,8494,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,970 x 250,260,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,300 x 250,8,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,970 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,320 x 100,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,320 x 50,2,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,300 x 250,3,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,300 x 250,2,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,320 x 100,30353,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,320 x 50,9628,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,970 x 90,7,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 250,70,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,39,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,300 x 250,73639,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,300 x 600,118,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,320 x 100,51504,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,320 x 50,71001,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,480 x 360,135543,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,970 x 90,23,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,320 x 100,1098,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,320 x 50,154,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,970 x 90,6,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Social 1,23/07/2024,7,320 x 50,12,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,300 x 250,8590,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,300 x 600,196,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,320 x 100,7577,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,320 x 50,9454,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,480 x 360,7241,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,970 x 250,51,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,970 x 90,16,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,320 x 100,108,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Blog do Torcedor,23/07/2024,7,320 x 50,40,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,300 x 250,3848,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),JC Online,23/07/2024,7,320 x 50,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 250,855,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 600,1032,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,103,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,970 x 250,6,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 100,49,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,320 x 50,12,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Portal NE10,23/07/2024,7,300 x 250,2,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,300 x 250,1238,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,300 x 600,208,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,320 x 100,105,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,320 x 50,617,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,320 x 100,378,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,320 x 50,19,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,300 x 600,15560,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,320 x 50,14207,0,"0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta MGID),Rádio Jornal,23/07/2024,7,320 x 100,6,0,"0,00 ","0,0","R$0,00 ","0,00%"
