Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,6,300 x 250,45,0,"0,42 ","0,252","R$9,40 ","77,78%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,6,320 x 50,32,0,"0,30 ","0,18","R$9,40 ","106,25%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,6,300 x 250,90,0,"0,85 ","0,51","R$9,40 ","62,22%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,6,320 x 50,25,0,"0,24 ","0,144","R$9,40 ","76,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,6,300 x 250,34,0,"0,32 ","0,192","R$9,40 ","73,53%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,6,320 x 50,8,0,"0,08 ","0,048","R$9,40 ","37,50%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,6,320 x 50,29,0,"0,27 ","0,162","R$9,40 ","96,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,07/06/2024,6,728 x 90,8,0,"0,08 ","0,048","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,6,320 x 50,29,0,"0,27 ","0,162","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,08/06/2024,6,728 x 90,3,0,"0,03 ","0,018","R$9,40 ","133,33%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,6,320 x 50,19,0,"0,18 ","0,108","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,09/06/2024,6,728 x 90,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
