Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/05/2024,5,300 x 250,1103,2,R$10.37 ,6.222,R$9.40 ,63.52%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/05/2024,5,320 x 50,568,0,R$5.34 ,3.204,R$9.40 ,87.72%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/05/2024,5,970 x 250,1,0,R$0.01 ,0.006,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,18/05/2024,5,300 x 250,39,0,R$0.37 ,0.222,R$9.40 ,56.41%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,18/05/2024,5,320 x 50,49,0,R$0.46 ,0.276,R$9.40 ,95.92%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,19/05/2024,5,300 x 250,357,0,R$3.36 ,2.016,R$9.40 ,71.15%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,19/05/2024,5,320 x 50,82,0,R$0.77 ,0.462,R$9.40 ,74.39%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/05/2024,5,320 x 50,1160,1,R$10.90 ,6.54,R$9.40 ,96.98%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,18/05/2024,5,320 x 50,86,0,R$0.81 ,0.486,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,19/05/2024,5,320 x 50,311,0,R$2.92 ,1.752,R$9.40 ,98.39%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,17/05/2024,5,300 x 250,92,0,R$0.86 ,0.516,R$9.40 ,68.48%
