Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,28/05/2024,5,300 x 250,2,0,"0,02 ","0,012","R$9,40 ","50,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,28/05/2024,5,320 x 50,4,0,"0,04 ","0,024","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,28/05/2024,5,320 x 50,2415,0,"22,70 ","13,62","R$9,40 ","97,23%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,28/05/2024,5,320 x 50,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,28/05/2024,5,300 x 250,165,0,"1,55 ","0,93","R$9,40 ","57,58%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,28/05/2024,5,320 x 50,246,0,"2,31 ","1,386","R$9,40 ","74,39%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,28/05/2024,5,320 x 50,3147,0,"29,58 ","17,748","R$9,40 ","99,17%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,28/05/2024,5,320 x 50,715,1,"6,72 ","4,032","R$9,40 ","99,30%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,28/05/2024,5,320 x 50,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,28/05/2024,5,300 x 250,16,0,"0,15 ","0,09","R$9,40 ","87,50%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,28/05/2024,5,300 x 250,1523,3,"14,32 ","8,592","R$9,40 ","65,51%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,28/05/2024,5,320 x 50,3345,0,"31,44 ","18,864","R$9,40 ","93,51%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,28/05/2024,5,728 x 90,61,0,"0,57 ","0,342","R$9,40 ","93,44%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,28/05/2024,5,320 x 50,718,0,"6,75 ","4,05","R$9,40 ","97,77%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,28/05/2024,5,728 x 90,96,0,"0,90 ","0,54","R$9,40 ","96,88%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,28/05/2024,5,320 x 50,82,0,"0,77 ","0,462","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,28/05/2024,5,300 x 250,6,0,"0,06 ","0,036","R$9,40 ","100,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,300 x 250,206,0,"0,77 ","0,462","R$3,74 ","67,96%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,320 x 50,660,1,"2,47 ","1,482","R$3,74 ","74,70%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,970 x 250,101,0,"0,38 ","0,228","R$3,74 ","67,33%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,320 x 50,1296,1,"4,85 ","2,91","R$3,74 ","94,44%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,300 x 250,254,0,"0,95 ","0,57","R$3,74 ","58,27%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,28/05/2024,5,300 x 250,559,0,"2,09 ","1,254","R$3,74 ","71,20%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,28/05/2024,5,320 x 50,1437,1,"5,37 ","3,222","R$3,74 ","87,57%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,28/05/2024,5,320 x 50,2000,2,"7,48 ","4,488","R$3,74 ","95,90%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,28/05/2024,5,300 x 250,2,0,"0,01 ","0,006","R$3,74 ","50,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,300 x 250,559,5,"2,09 ","1,254","R$3,74 ","64,27%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,320 x 50,420,1,"1,57 ","0,942","R$3,74 ","79,71%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,970 x 250,5,0,"0,02 ","0,012","R$3,74 ","60,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,320 x 50,251,0,"0,94 ","0,564","R$3,74 ","96,02%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,28/05/2024,5,300 x 250,4,0,"0,01 ","0,006","R$3,74 ","50,00%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,28/05/2024,5,970 x 250,5677,4,"50,47 ","30,282","R$8,89 ","70,92%"
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,28/05/2024,5,970 x 250,473,1,"4,20 ","2,52","R$8,89 ","56,87%"
