Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,6,0,"R$0,01 ","0,006","R$2,04 ","66,67%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,443,0,"R$0,25 ","0,15","R$0,58 ","99,10%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,222,0,"R$1,98 ","1,188","R$8,94 ","68,18%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,100,0,"R$0,67 ","0,402","R$6,67 ","97,00%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,106,1,"R$0,76 ","0,456","R$7,19 ","80,95%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,2,0,"R$0,02 ","0,012","R$9,65 ","50,00%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,41,0,"R$0,08 ","0,048","R$1,90 ","72,41%"
Áudio (0x0),Interior,17/03/2024,0 x 0,10,0,"R$0,03 ","0,018","R$2,99 ","40,00%"
Áudio (0x0),Interior,17/03/2024,0 x 0,30,1,"R$0,33 ","0,198","R$11,15 ","103,33%"
Áudio (0x0),Interior,17/03/2024,0 x 0,66,1,"R$0,06 ","0,036","R$0,95 ","90,00%"
Áudio (0x0),Interior,17/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$2,04 ","0,00%"
Áudio (0x0),Interior,17/03/2024,0 x 0,4,0,"R$0,00 ","0,0","R$0,29 ","0,00%"
Áudio (0x0),Interior,17/03/2024,0 x 0,2,0,"R$0,00 ","0,0","R$0,31 ","0,00%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,1,0,"R$0,03 ","0,018","R$26,42 ","100,00%"
Áudio (0x0),JC Online,17/03/2024,0 x 0,1105,1,"R$9,08 ","5,448","R$8,21 ","72,26%"
Áudio (0x0),Jamildo,17/03/2024,0 x 0,1363,0,"R$13,87 ","8,322","R$10,18 ","50,11%"
Áudio (0x0),JC Online,17/03/2024,0 x 0,9424,36,"R$16,92 ","10,152","R$1,80 ","96,99%"
Áudio (0x0),Jamildo,17/03/2024,0 x 0,93,0,"R$1,17 ","0,702","R$12,56 ","82,80%"
Áudio (0x0),Jamildo,17/03/2024,0 x 0,1749,7,"R$3,39 ","2,034","R$1,94 ","96,80%"
Áudio (0x0),Jamildo,17/03/2024,0 x 0,754,9,"R$2,28 ","1,368","R$3,03 ","85,24%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,08 ","100,00%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,7,0,"R$0,02 ","0,012","R$3,55 ","71,43%"
Áudio (0x0),Social 1,17/03/2024,0 x 0,2613,0,"R$11,21 ","6,726","R$4,29 ","51,78%"
Áudio (0x0),Social 1,17/03/2024,0 x 0,42,0,"R$0,07 ","0,042","R$1,70 ","0,00%"
Áudio (0x0),Social 1,17/03/2024,0 x 0,1831,1,"R$3,57 ","2,142","R$1,95 ","97,05%"
Áudio (0x0),Social 1,17/03/2024,0 x 0,914,13,"R$1,84 ","1,104","R$2,01 ","84,40%"
Áudio (0x0),Blog do Torcedor,17/03/2024,0 x 0,343,1,"R$3,15 ","1,89","R$9,18 ","50,44%"
Áudio (0x0),Blog do Torcedor,17/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$1,50 ","0,00%"
Áudio (0x0),Blog do Torcedor,17/03/2024,0 x 0,3469,11,"R$4,46 ","2,676","R$1,29 ","98,24%"
Áudio (0x0),Blog do Torcedor,17/03/2024,0 x 0,590,5,"R$2,80 ","1,68","R$4,74 ","89,19%"
Áudio (0x0),JC Online,17/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$2,53 ","100,00%"
Áudio (0x0),JC Online,17/03/2024,0 x 0,805,4,"R$2,98 ","1,788","R$3,71 ","86,07%"
Áudio (0x0),JC Online,17/03/2024,0 x 0,6,0,"R$0,05 ","0,03","R$8,86 ","66,67%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,1,0,"R$0,02 ","0,012","R$22,30 ","100,00%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,38,0,"R$0,25 ","0,15","R$6,67 ","97,37%"
Áudio (0x0),Portal NE10,17/03/2024,0 x 0,2,0,"R$0,01 ","0,006","R$4,47 ","50,00%"
Áudio (0x0),Rádio Jornal,17/03/2024,0 x 0,948,0,"R$3,29 ","1,974","R$3,47 ","50,63%"
Áudio (0x0),Rádio Jornal,17/03/2024,0 x 0,144,0,"R$0,31 ","0,186","R$2,18 ","0,00%"
Áudio (0x0),Rádio Jornal,17/03/2024,0 x 0,8032,7,"R$14,42 ","8,652","R$1,80 ","99,15%"
Áudio (0x0),Rádio Jornal,17/03/2024,0 x 0,11,0,"R$0,01 ","0,006","R$1,12 ","81,82%"
Áudio (0x0),Rádio Jornal,17/03/2024,0 x 0,259,2,"R$0,54 ","0,324","R$2,07 ","81,20%"
