Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,300 x 250,4,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,300 x 250,784,2,"R$0,00 ","0,0","R$0,00 ","55,99%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,320 x 50,136,0,"R$0,00 ","0,0","R$0,00 ","69,85%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,728 x 90,2,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,970 x 250,2,0,"R$0,00 ","0,0","R$0,00 ","50,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,320 x 50,139,1,"R$0,00 ","0,0","R$0,00 ","95,68%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,728 x 90,1815,2,"R$0,00 ","0,0","R$0,00 ","93,88%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,300 x 250,486,0,"R$0,00 ","0,0","R$0,00 ","78,60%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,300 x 250,3,0,"R$0,00 ","0,0","R$0,00 ","66,67%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,970 x 250,1,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Social 1,27/03/2024,3,300 x 250,4278,5,"R$0,00 ","0,0","R$0,00 ","59,72%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Social 1,27/03/2024,3,320 x 50,2705,0,"R$0,00 ","0,0","R$0,00 ","96,40%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Social 1,27/03/2024,3,728 x 90,120,0,"R$0,00 ","0,0","R$0,00 ","96,67%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Social 1,27/03/2024,3,320 x 50,250,0,"R$0,00 ","0,0","R$0,00 ","97,60%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Social 1,27/03/2024,3,728 x 90,441,0,"R$0,00 ","0,0","R$0,00 ","97,28%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,300 x 250,194,0,"R$0,00 ","0,0","R$0,00 ","59,90%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,320 x 50,79,0,"R$0,00 ","0,0","R$0,00 ","81,01%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,728 x 90,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,320 x 50,25,0,"R$0,00 ","0,0","R$0,00 ","96,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,728 x 90,145,0,"R$0,00 ","0,0","R$0,00 ","89,66%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,Portal NE10,27/03/2024,3,300 x 250,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,27/03/2024,3,300 x 250,17848,0,"R$0,00 ","0,0","R$0,00 ","76,18%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,27/03/2024,3,970 x 250,1,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,27/03/2024,3,300 x 250,2621,0,"R$0,00 ","0,0","R$0,00 ","53,57%"
(VENDAS DIRETAS SJCC) - GO DIGITAL,Portal NE10,27/03/2024,3,300 x 250,124,0,"R$0,00 ","0,0","R$0,00 ","71,77%"
(VENDAS DIRETAS SJCC) - GO DIGITAL,Portal NE10,27/03/2024,3,300 x 600,2,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(VENDAS DIRETAS SJCC) - GO DIGITAL,Portal NE10,27/03/2024,3,728 x 90,633,1,"R$0,00 ","0,0","R$0,00 ","94,79%"
(VENDAS DIRETAS SJCC) - GO DIGITAL,Portal NE10,27/03/2024,3,300 x 250,76,0,"R$0,00 ","0,0","R$0,00 ","30,26%"
(VENDAS DIRETAS SJCC) - GO DIGITAL,Interior,27/03/2024,3,300 x 250,36,1,"R$0,00 ","0,0","R$0,00 ","75,00%"
(VENDAS DIRETAS SJCC) - GO DIGITAL,Interior,27/03/2024,3,300 x 600,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
