Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,21,0,"R$0,06 ","0,036","2,8571"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,1129,4,"R$1,53 ","0,918","1,3552"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,129,0,"R$1,19 ","0,714","9,2248"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,113,0,"R$0,06 ","0,036","0,531"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,45,1,"R$0,37 ","0,222","8,2222"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,1,0,"R$0,01 ","0,006","10,0"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,46,1,"R$0,98 ","0,588","21,3043"
Áudio (0x0),Interior,18/01/2024,0 x 0,33,0,"R$0,18 ","0,108","5,4545"
Áudio (0x0),Interior,18/01/2024,0 x 0,129,0,"R$1,18 ","0,708","9,1473"
Áudio (0x0),Interior,18/01/2024,0 x 0,9,0,"R$0,04 ","0,024","4,4444"
Áudio (0x0),Interior,18/01/2024,0 x 0,5,1,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,18/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,18/01/2024,0 x 0,21212,3,"R$75,49 ","45,294","3,5588"
Áudio (0x0),Jamildo,18/01/2024,0 x 0,9246,0,"R$30,30 ","18,18","3,2771"
Áudio (0x0),JC Online,18/01/2024,0 x 0,3,0,"R$0,01 ","0,006","3,3333"
Áudio (0x0),JC Online,18/01/2024,0 x 0,34060,32,"R$46,86 ","28,116","1,3758"
Áudio (0x0),Jamildo,18/01/2024,0 x 0,2322,0,"R$8,54 ","5,124","3,6779"
Áudio (0x0),Jamildo,18/01/2024,0 x 0,13385,17,"R$16,62 ","9,972","1,2417"
Áudio (0x0),Jamildo,18/01/2024,0 x 0,213,1,"R$0,95 ","0,57","4,4601"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,17,0,"R$0,03 ","0,018","1,7647"
Áudio (0x0),Social 1,18/01/2024,0 x 0,5123,0,"R$14,13 ","8,478","2,7581"
Áudio (0x0),Social 1,18/01/2024,0 x 0,52,0,"R$0,07 ","0,042","1,3462"
Áudio (0x0),Social 1,18/01/2024,0 x 0,3253,7,"R$5,53 ","3,318","1,7"
Áudio (0x0),Social 1,18/01/2024,0 x 0,60,0,"R$0,64 ","0,384","10,6667"
Áudio (0x0),Blog do Torcedor,18/01/2024,0 x 0,1615,0,"R$5,69 ","3,414","3,5232"
Áudio (0x0),Blog do Torcedor,18/01/2024,0 x 0,2344,2,"R$3,80 ","2,28","1,6212"
Áudio (0x0),Blog do Torcedor,18/01/2024,0 x 0,43,0,"R$0,38 ","0,228","8,8372"
Áudio (0x0),JC Online,18/01/2024,0 x 0,380,5,"R$3,37 ","2,022","8,8684"
Áudio (0x0),JC Online,18/01/2024,0 x 0,171,0,"R$0,43 ","0,258","2,5146"
Áudio (0x0),JC Classico,18/01/2024,0 x 0,3,0,"R$0,09 ","0,054","30,0"
Áudio (0x0),JC Classico,18/01/2024,0 x 0,138,0,"R$0,28 ","0,168","2,029"
Áudio (0x0),JC HTML,18/01/2024,0 x 0,536,0,"R$0,83 ","0,498","1,5485"
Áudio (0x0),JC HTML,18/01/2024,0 x 0,64,0,"R$0,28 ","0,168","4,375"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,5,0,"R$0,07 ","0,042","14,0"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,106,0,"R$0,27 ","0,162","2,5472"
Áudio (0x0),Portal NE10,18/01/2024,0 x 0,2,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Rádio Jornal,18/01/2024,0 x 0,1224,0,"R$3,32 ","1,992","2,7124"
Áudio (0x0),Rádio Jornal,18/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Rádio Jornal,18/01/2024,0 x 0,1407,1,"R$1,77 ","1,062","1,258"
Áudio (0x0),Rádio Jornal,18/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Rádio Jornal,18/01/2024,0 x 0,47,0,"R$0,05 ","0,03","1,0638"
