Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,300 x 250,3,0,"0,00 ","0,0","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,300 x 600,18,0,"0,00 ","0,0","R$0,00 ","61,11%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,320 x 50,5,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,970 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,Native,26,0,"0,00 ","0,0","R$0,00 ","53,85%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,300 x 100,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,320 x 100,29,0,"0,00 ","0,0","R$0,00 ","93,10%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,320 x 50,6,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,728 x 90,117,0,"0,00 ","0,0","R$0,00 ","99,15%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,970 x 90,55,0,"0,00 ","0,0","R$0,00 ","96,36%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,Native,7,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,300 x 250,72,0,"0,00 ","0,0","R$0,00 ","70,83%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,300 x 600,328,0,"0,00 ","0,0","R$0,00 ","72,26%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,320 x 50,418,0,"0,00 ","0,0","R$0,00 ","68,90%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,728 x 90,2,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,970 x 250,2071,0,"0,00 ","0,0","R$0,00 ","70,52%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,16/09/2024,9,Native,248,0,"0,00 ","0,0","R$0,00 ","48,39%"
