Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,300 x 250,1426,4,"R$13,40 ","8,04","R$9,40 ","56,35%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,320 x 50,2134,5,"R$20,06 ","12,036","R$9,40 ","64,84%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,970 x 250,1,0,"R$0,01 ","0,006","R$9,40 ","0,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,320 x 50,587,3,"R$5,52 ","3,312","R$9,40 ","72,23%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,728 x 90,738,0,"R$6,94 ","4,164","R$9,40 ","94,58%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,300 x 250,42,0,"R$0,39 ","0,234","R$9,40 ","59,52%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,02/04/2024,4,320 x 50,7,0,"R$0,07 ","0,042","R$9,40 ","14,29%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,4,300 x 250,1733,3,"R$16,29 ","9,774","R$9,40 ","67,19%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,4,320 x 50,1941,5,"R$18,25 ","10,95","R$9,40 ","83,33%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,4,320 x 50,98,0,"R$0,92 ","0,552","R$9,40 ","94,90%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,4,728 x 90,22,0,"R$0,21 ","0,126","R$9,40 ","95,45%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,4,320 x 50,1,0,"R$0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,02/04/2024,4,320 x 50,372,4,"R$3,50 ","2,1","R$9,40 ","98,66%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,4,300 x 250,295,0,"R$1,10 ","0,66","R$3,74 ","67,80%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,4,320 x 50,271,0,"R$1,01 ","0,606","R$3,74 ","73,80%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,4,320 x 50,2156,0,"R$8,06 ","4,836","R$3,74 ","94,94%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,4,300 x 250,118,0,"R$0,44 ","0,264","R$3,74 ","32,20%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,02/04/2024,4,300 x 250,1615,2,"R$6,04 ","3,624","R$3,74 ","69,70%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,02/04/2024,4,320 x 50,3403,8,"R$12,73 ","7,638","R$3,74 ","90,39%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,02/04/2024,4,320 x 50,155,0,"R$0,58 ","0,348","R$3,74 ","95,48%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,02/04/2024,4,300 x 250,7,0,"R$0,03 ","0,018","R$3,74 ","57,14%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,4,300 x 250,1045,1,"R$3,91 ","2,346","R$3,74 ","67,37%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,4,320 x 50,896,0,"R$3,35 ","2,01","R$3,74 ","82,12%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,02/04/2024,4,320 x 50,28,1,"R$0,10 ","0,06","R$3,74 ","92,86%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,JC Online,02/04/2024,4,300 x 250,3167,5,"R$52,76 ","31,656","R$16,66 ","65,50%"
