Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,300 x 250,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,320 x 50,8,0,"0,00 ","0,0","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,Native,23,0,"0,00 ","0,0","R$0,00 ","43,48%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,300 x 100,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,320 x 100,5,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,320 x 50,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,728 x 90,63,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,970 x 90,8,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,Native,5,0,"0,00 ","0,0","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,300 x 250,36,0,"0,00 ","0,0","R$0,00 ","58,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,300 x 600,85,0,"0,00 ","0,0","R$0,00 ","28,24%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,320 x 50,23,0,"0,00 ","0,0","R$0,00 ","69,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,970 x 250,13,0,"0,00 ","0,0","R$0,00 ","38,46%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,Native,198,0,"0,00 ","0,0","R$0,00 ","61,62%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,300 x 100,3,0,"0,00 ","0,0","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,320 x 100,9,0,"0,00 ","0,0","R$0,00 ","44,44%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,320 x 50,7,0,"0,00 ","0,0","R$0,00 ","57,14%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,728 x 90,168,0,"0,00 ","0,0","R$0,00 ","74,40%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,970 x 90,4,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/08/2024,8,Native,68,0,"0,00 ","0,0","R$0,00 ","55,88%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,300 x 250,36,0,"0,00 ","0,0","R$0,00 ","61,11%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,300 x 600,4,0,"0,00 ","0,0","R$0,00 ","25,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,320 x 50,50,0,"0,00 ","0,0","R$0,00 ","66,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,970 x 250,3,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,Native,182,0,"0,00 ","0,0","R$0,00 ","33,52%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,300 x 100,53,0,"0,00 ","0,0","R$0,00 ","98,11%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,320 x 100,99,1,"0,00 ","0,0","R$0,00 ","95,96%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,320 x 50,47,1,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,728 x 90,5,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,Native,42,0,"0,00 ","0,0","R$0,00 ","95,24%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,300 x 250,18,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,26/08/2024,8,Native,6,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,1 x 1,5059,0,"0,00 ","0,0","R$0,00 ","65,68%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,300 x 250,339,0,"0,00 ","0,0","R$0,00 ","68,73%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,300 x 500,985,8,"0,00 ","0,0","R$0,00 ","69,85%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,300 x 600,243,0,"0,00 ","0,0","R$0,00 ","91,77%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,320 x 50,1292,0,"0,00 ","0,0","R$0,00 ","83,35%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,728 x 90,2,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,970 x 250,4,0,"0,00 ","0,0","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,26/08/2024,8,Native,1860,4,"0,00 ","0,0","R$0,00 ","54,18%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Meu Pet,26/08/2024,8,728 x 90,13,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Meu Pet,26/08/2024,8,970 x 90,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,26/08/2024,8,300 x 250,12,0,"0,00 ","0,0","R$0,00 ","83,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,26/08/2024,8,320 x 50,3,0,"0,00 ","0,0","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,26/08/2024,8,Native,12,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,26/08/2024,8,300 x 100,4,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Coluna Vida Fit,26/08/2024,8,320 x 100,5,0,"0,00 ","0,0","R$0,00 ","100,00%"
