Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,37,0,"R$0,10 ","0,06","R$2,61 ","54,05%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,180,1,"R$0,17 ","0,102","R$0,94 ","100,00%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,994,0,"R$5,66 ","3,396","R$5,69 ","67,07%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,2156,11,"R$3,17 ","1,902","R$1,47 ","95,08%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,231,0,"R$0,44 ","0,264","R$1,91 ","80,37%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,32,0,"R$0,15 ","0,09","R$4,65 ","81,25%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,123,4,"R$0,17 ","0,102","R$1,37 ","92,31%"
Áudio (0x0),Interior,28/02/2024,0 x 0,44,0,"R$0,25 ","0,15","R$5,78 ","79,55%"
Áudio (0x0),Interior,28/02/2024,0 x 0,99,0,"R$0,52 ","0,312","R$5,22 ","97,98%"
Áudio (0x0),Interior,28/02/2024,0 x 0,14,0,"R$0,02 ","0,012","R$1,28 ","92,86%"
Áudio (0x0),Interior,28/02/2024,0 x 0,2,0,"R$0,00 ","0,0","R$0,41 ","0,00%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,2,0,"R$0,00 ","0,0","R$0,53 ","100,00%"
Áudio (0x0),JC Online,28/02/2024,0 x 0,6478,7,"R$29,05 ","17,43","R$4,48 ","67,70%"
Áudio (0x0),Jamildo,28/02/2024,0 x 0,3138,6,"R$10,15 ","6,09","R$3,24 ","59,59%"
Áudio (0x0),JC Online,28/02/2024,0 x 0,2,0,"R$0,00 ","0,0","R$0,99 ","0,00%"
Áudio (0x0),JC Online,28/02/2024,0 x 0,15619,27,"R$21,48 ","12,888","R$1,38 ","97,14%"
Áudio (0x0),Jamildo,28/02/2024,0 x 0,810,3,"R$3,84 ","2,304","R$4,74 ","69,38%"
Áudio (0x0),Jamildo,28/02/2024,0 x 0,6660,12,"R$7,82 ","4,692","R$1,17 ","97,91%"
Áudio (0x0),Jamildo,28/02/2024,0 x 0,752,5,"R$2,46 ","1,476","R$3,28 ","87,02%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$1,36 ","0,00%"
Áudio (0x0),JC Online,28/02/2024,0 x 0,2,0,"R$0,00 ","0,0","R$1,49 ","100,00%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,9,0,"R$0,03 ","0,018","R$2,95 ","66,67%"
Áudio (0x0),Social 1,28/02/2024,0 x 0,7477,3,"R$31,52 ","18,912","R$4,22 ","71,90%"
Áudio (0x0),Social 1,28/02/2024,0 x 0,45,0,"R$0,06 ","0,036","R$1,37 ","0,00%"
Áudio (0x0),Social 1,28/02/2024,0 x 0,4028,15,"R$7,41 ","4,446","R$1,84 ","96,82%"
Áudio (0x0),Social 1,28/02/2024,0 x 0,557,7,"R$1,76 ","1,056","R$3,15 ","89,12%"
Áudio (0x0),Blog do Torcedor,28/02/2024,0 x 0,1010,7,"R$3,77 ","2,262","R$3,73 ","68,98%"
Áudio (0x0),Blog do Torcedor,28/02/2024,0 x 0,3,0,"R$0,00 ","0,0","R$0,84 ","0,00%"
Áudio (0x0),Blog do Torcedor,28/02/2024,0 x 0,1905,11,"R$3,33 ","1,998","R$1,75 ","97,64%"
Áudio (0x0),Blog do Torcedor,28/02/2024,0 x 0,528,2,"R$0,98 ","0,588","R$1,86 ","87,58%"
Áudio (0x0),JC Online,28/02/2024,0 x 0,1143,18,"R$3,57 ","2,142","R$3,12 ","89,98%"
Áudio (0x0),JC Online,28/02/2024,0 x 0,122,0,"R$0,35 ","0,21","R$2,86 ","50,82%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,94,0,"R$0,32 ","0,192","R$3,42 ","69,15%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,337,1,"R$0,49 ","0,294","R$1,46 ","95,55%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,9,0,"R$0,01 ","0,006","R$0,99 ","88,89%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$1,00 ","0,00%"
Áudio (0x0),Rádio Jornal,28/02/2024,0 x 0,283,0,"R$0,80 ","0,48","R$2,83 ","62,77%"
Áudio (0x0),Rádio Jornal,28/02/2024,0 x 0,406,0,"R$0,45 ","0,27","R$1,10 ","97,29%"
Áudio (0x0),Rádio Jornal,28/02/2024,0 x 0,2,0,"R$0,00 ","0,0","R$0,78 ","100,00%"
Áudio (0x0),Rádio Jornal,28/02/2024,0 x 0,13,0,"R$0,02 ","0,012","R$1,17 ","92,31%"
Áudio (0x0),Rádio Jornal,28/02/2024,0 x 0,18,0,"R$0,02 ","0,012","R$1,34 ","86,67%"
Áudio (0x0),Rádio Jornal,28/02/2024,0 x 0,2,0,"R$0,03 ","0,018","R$12,60 ","50,00%"
Áudio (0x0),TV Jornal,28/02/2024,0 x 0,295,0,"R$1,76 ","1,056","R$5,97 ","67,59%"
Áudio (0x0),TV Jornal,28/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$1,45 ","0,00%"
Áudio (0x0),TV Jornal,28/02/2024,0 x 0,1459,5,"R$3,42 ","2,052","R$2,34 ","95,82%"
Áudio (0x0),TV Jornal,28/02/2024,0 x 0,78,0,"R$0,10 ","0,06","R$1,31 ","93,59%"
Áudio (0x0),TV Jornal,28/02/2024,0 x 0,148,0,"R$1,23 ","0,738","R$8,33 ","82,88%"
Áudio (0x0),Portal NE10,28/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,94 ","0,00%"
Áudio (0x0),TV Jornal,28/02/2024,0 x 0,27,0,"R$0,17 ","0,102","R$6,39 ","65,38%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Portal NE10,28/02/2024,Nativo,748,0,"R$0,00 ","0,0","R$0,00 ","54,95%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Portal NE10,28/02/2024,Nativo,6694,6,"R$6,00 ","3,6","R$0,90 ","52,47%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Interior,28/02/2024,Nativo,196,0,"R$0,00 ","0,0","R$0,00 ","41,33%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Portal NE10,28/02/2024,Nativo,9,0,"R$0,00 ","0,0","R$0,00 ","44,44%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,JC Online,28/02/2024,Nativo,137261,295,"R$295,00 ","177,0","R$2,15 ","67,16%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Jamildo,28/02/2024,Nativo,84335,176,"R$176,00 ","105,6","R$2,09 ","61,15%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Jamildo,28/02/2024,Nativo,12023,18,"R$18,00 ","10,8","R$1,50 ","66,56%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Portal NE10,28/02/2024,Nativo,271,0,"R$0,00 ","0,0","R$0,00 ","60,15%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Social 1,28/02/2024,Nativo,121432,277,"R$277,00 ","166,2","R$2,28 ","62,95%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Social 1,28/02/2024,Nativo,6,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Blog do Torcedor,28/02/2024,Nativo,50615,106,"R$106,00 ","63,6","R$2,09 ","70,51%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Blog do Torcedor,28/02/2024,Nativo,6,0,"R$0,00 ","0,0","R$0,00 ","83,33%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Portal NE10,28/02/2024,Nativo,2602,5,"R$5,00 ","3,0","R$1,92 ","61,73%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Rádio Jornal,28/02/2024,Nativo,4853,14,"R$14,00 ","8,4","R$2,88 ","58,39%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Rádio Jornal,28/02/2024,Nativo,16,0,"R$0,00 ","0,0","R$0,00 ","93,75%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Rádio Jornal,28/02/2024,Nativo,3,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,TV Jornal,28/02/2024,Nativo,4254,11,"R$11,00 ","6,6","R$2,59 ","66,14%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,TV Jornal,28/02/2024,Nativo,19,0,"R$0,00 ","0,0","R$0,00 ","73,68%"
AEGEA SANEAMENTO E PARTICIPAÇÕES S.A/0001-58,Interior,28/02/2024,Nativo,13,0,"R$0,00 ","0,0","R$0,00 ","46,15%"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,28/02/2024,480 x 360v,152,0,"R$3,83 ","2,298","R$25,20 ","80,92%"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,28/02/2024,480 x 360v,8,0,"R$0,20 ","0,12","R$25,20 ","42,86%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,28/02/2024,480 x 360v,59,0,"R$1,49 ","0,894","R$25,20 ","93,22%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,28/02/2024,640 x 480v,24,1,"R$0,60 ","0,36","R$25,20 ","0,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,28/02/2024,640 x 480v,9,0,"R$0,23 ","0,138","R$25,20 ","0,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,Interior,28/02/2024,640 x 480v,7,0,"R$0,18 ","0,108","R$25,20 ","0,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,Jamildo,28/02/2024,480 x 360v,999,3,"R$25,17 ","15,102","R$25,20 ","91,60%"
AGCLUB7 INTERACTIVE B.V/0000-00,Portal NE10,28/02/2024,480 x 360v,2,0,"R$0,05 ","0,03","R$25,20 ","100,00%"
AGCLUB7 INTERACTIVE B.V/0000-00,JC Online,28/02/2024,480 x 360v,1,0,"R$0,03 ","0,018","R$25,20 ","100,00%"
