Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,104,0,"R$0,12 ","0,072","1,1538"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,170,0,"R$0,16 ","0,096","0,9412"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,1266,0,"R$2,50 ","1,5","1,9747"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,2668,6,"R$2,80 ","1,68","1,0495"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,166,0,"R$0,39 ","0,234","2,3494"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,113,0,"R$0,09 ","0,054","0,7965"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,17,0,"R$0,10 ","0,06","5,8824"
Áudio (0x0),Interior,06/02/2024,0 x 0,39,0,"R$0,21 ","0,126","5,3846"
Áudio (0x0),Interior,06/02/2024,0 x 0,563,1,"R$0,74 ","0,444","1,3144"
Áudio (0x0),Interior,06/02/2024,0 x 0,53,0,"R$0,04 ","0,024","0,7547"
Áudio (0x0),Interior,06/02/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Interior,06/02/2024,0 x 0,1,1,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,06/02/2024,0 x 0,20256,7,"R$39,50 ","23,7","1,95"
Áudio (0x0),Jamildo,06/02/2024,0 x 0,45298,0,"R$80,62 ","48,372","1,7798"
Áudio (0x0),JC Online,06/02/2024,0 x 0,5,0,"R$0,01 ","0,006","2,0"
Áudio (0x0),JC Online,06/02/2024,0 x 0,23153,35,"R$25,11 ","15,066","1,0845"
Áudio (0x0),Jamildo,06/02/2024,0 x 0,4231,0,"R$10,65 ","6,39","2,5171"
Áudio (0x0),Jamildo,06/02/2024,0 x 0,18035,35,"R$19,99 ","11,994","1,1084"
Áudio (0x0),Jamildo,06/02/2024,0 x 0,2026,10,"R$5,74 ","3,444","2,8332"
Áudio (0x0),JC Online,06/02/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,06/02/2024,0 x 0,42,0,"R$0,16 ","0,096","3,8095"
Áudio (0x0),Social 1,06/02/2024,0 x 0,133698,1,"R$172,65 ","103,59","1,2913"
