Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,101,0,"R$0,22 ","0,132",,"R$2,19 ","58,42%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,193,0,"R$0,21 ","0,126",,"R$1,10 ","94,82%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,5,0,"R$0,00 ","0,0",,"R$0,72 ","60,00%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,2206,0,"R$6,31 ","3,786",,"R$2,86 ","64,84%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,3565,3,"R$3,20 ","1,92",,"R$0,90 ","96,07%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,646,0,"R$0,87 ","0,522",,"R$1,35 ","83,39%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,88,0,"R$0,15 ","0,09",,"R$1,73 ","65,91%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,26,0,"R$0,02 ","0,012",,"R$0,71 ","80,77%"
Áudio (0x0),Interior,21/02/2024,0 x 0,185,3,"R$0,88 ","0,528",,"R$4,74 ","71,35%"
Áudio (0x0),Interior,21/02/2024,0 x 0,329,0,"R$0,86 ","0,516",,"R$2,61 ","97,86%"
Áudio (0x0),Interior,21/02/2024,0 x 0,31,0,"R$0,03 ","0,018",,"R$1,09 ","89,29%"
Áudio (0x0),Interior,21/02/2024,0 x 0,2,0,"R$0,00 ","0,0",,"R$0,35 ","50,00%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,1,0,"R$0,00 ","0,0",,"R$0,42 ","0,00%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,15511,4,"R$44,77 ","26,862",,"R$2,89 ","67,82%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,1,0,"R$0,00 ","0,0",,"R$1,45 ","100,00%"
Áudio (0x0),Jamildo,21/02/2024,0 x 0,18780,0,"R$95,19 ","57,114",,"R$5,07 ","63,49%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,1,0,"R$0,00 ","0,0",,"R$1,70 ","0,00%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,20833,46,"R$22,80 ","13,68",,"R$1,09 ","96,42%"
Áudio (0x0),Jamildo,21/02/2024,0 x 0,2403,0,"R$7,82 ","4,692",,"R$3,25 ","67,37%"
Áudio (0x0),Jamildo,21/02/2024,0 x 0,8885,16,"R$11,03 ","6,618",,"R$1,24 ","96,89%"
Áudio (0x0),Jamildo,21/02/2024,0 x 0,1405,4,"R$3,11 ","1,866",,"R$2,22 ","85,30%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,2,0,"R$0,01 ","0,006",,"R$5,14 ","100,00%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,1,0,"R$0,00 ","0,0",,"R$0,10 ","100,00%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,6,0,"R$0,03 ","0,018",,"R$4,89 ","33,33%"
Áudio (0x0),Social 1,21/02/2024,0 x 0,74987,1,"R$163,61 ","98,166",,"R$2,18 ","70,75%"
Áudio (0x0),Social 1,21/02/2024,0 x 0,47,0,"R$0,08 ","0,048",,"R$1,70 ","0,00%"
Áudio (0x0),Social 1,21/02/2024,0 x 0,8359,13,"R$15,29 ","9,174",,"R$1,83 ","98,21%"
Áudio (0x0),Social 1,21/02/2024,0 x 0,3511,10,"R$7,67 ","4,602",,"R$2,18 ","90,98%"
Áudio (0x0),Blog do Torcedor,21/02/2024,0 x 0,3176,0,"R$7,90 ","4,74",,"R$2,49 ","67,12%"
Áudio (0x0),Blog do Torcedor,21/02/2024,0 x 0,1,0,"R$0,00 ","0,0",,"R$0,89 ","0,00%"
Áudio (0x0),Blog do Torcedor,21/02/2024,0 x 0,1986,18,"R$2,73 ","1,638",,"R$1,37 ","97,18%"
Áudio (0x0),Blog do Torcedor,21/02/2024,0 x 0,375,2,"R$1,14 ","0,684",,"R$3,04 ","82,87%"
Áudio (0x0),Blog do Torcedor,21/02/2024,0 x 0,3,0,"R$0,02 ","0,012",,"R$5,96 ","100,00%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,8,0,"R$0,01 ","0,006",,"R$0,75 ","75,00%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,2995,12,"R$4,30 ","2,58",,"R$1,44 ","90,31%"
Áudio (0x0),JC Online,21/02/2024,0 x 0,321,0,"R$0,53 ","0,318",,"R$1,65 ","54,21%"
Áudio (0x0),JC HTML,21/02/2024,0 x 0,507,0,"R$0,96 ","0,576",,"R$1,90 ","63,91%"
Áudio (0x0),JC HTML,21/02/2024,0 x 0,104,2,"R$0,39 ","0,234",,"R$3,71 ","90,38%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,269,0,"R$0,90 ","0,54",,"R$3,36 ","63,94%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,638,1,"R$0,76 ","0,456",,"R$1,18 ","99,22%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,53,0,"R$0,05 ","0,03",,"R$0,90 ","94,34%"
Áudio (0x0),Portal NE10,21/02/2024,0 x 0,15,0,"R$0,02 ","0,012",,"R$1,08 ","73,33%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,603,0,"R$1,36 ","0,816",,"R$2,26 ","61,56%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,1,0,"R$0,00 ","0,0",,"R$0,85 ","0,00%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,617,1,"R$0,91 ","0,546",,"R$1,47 ","95,46%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,29,0,"R$0,03 ","0,018",,"R$0,96 ","96,55%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,35,0,"R$0,03 ","0,018",,"R$0,97 ","100,00%"
Áudio (0x0),Rádio Jornal,21/02/2024,0 x 0,42,0,"R$0,09 ","0,054",,"R$2,17 ","83,33%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,597,1,"R$2,87 ","1,722",,"R$4,80 ","66,50%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,3,0,"R$0,00 ","0,0",,"R$1,09 ","0,00%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,1993,8,"R$3,10 ","1,86",,"R$1,56 ","96,99%"
Áudio (0x0),TV Jornal,21/02/2024,0 x 0,845,0,"R$1,55 ","0,93",,"R$1,84 ","77,63%"
