Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,156,0,"R$0,32 ","0,192","R$2,05 ","66,67%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,266,2,"R$0,27 ","0,162","R$1,02 ","94,36%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,37 ","100,00%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,2777,2,"R$8,41 ","5,046","R$3,03 ","67,10%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,3630,1,"R$3,85 ","2,31","R$1,06 ","96,89%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,780,0,"R$0,88 ","0,528","R$1,12 ","86,11%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,64,0,"R$0,12 ","0,072","R$1,88 ","53,13%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,103,1,"R$0,15 ","0,09","R$1,50 ","78,35%"
Áudio (0x0),Interior,22/02/2024,0 x 0,144,0,"R$0,70 ","0,42","R$4,88 ","74,31%"
Áudio (0x0),Interior,22/02/2024,0 x 0,279,0,"R$0,60 ","0,36","R$2,16 ","96,06%"
Áudio (0x0),Interior,22/02/2024,0 x 0,38,0,"R$0,03 ","0,018","R$0,76 ","76,32%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,3,0,"R$0,01 ","0,006","R$2,56 ","100,00%"
Áudio (0x0),JC Online,22/02/2024,0 x 0,14192,5,"R$48,44 ","29,064","R$3,41 ","67,52%"
Áudio (0x0),Jamildo,22/02/2024,0 x 0,8642,0,"R$37,78 ","22,668","R$4,37 ","57,87%"
Áudio (0x0),JC Online,22/02/2024,0 x 0,2,0,"R$0,00 ","0,0","R$1,13 ","0,00%"
Áudio (0x0),JC Online,22/02/2024,0 x 0,24765,48,"R$30,89 ","18,534","R$1,25 ","96,95%"
Áudio (0x0),Jamildo,22/02/2024,0 x 0,7552,0,"R$28,15 ","16,89","R$3,73 ","64,30%"
Áudio (0x0),Jamildo,22/02/2024,0 x 0,34067,26,"R$41,91 ","25,146","R$1,23 ","97,44%"
Áudio (0x0),Jamildo,22/02/2024,0 x 0,9299,53,"R$22,52 ","13,512","R$2,42 ","79,11%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,5,0,"R$0,00 ","0,0","R$0,63 ","60,00%"
Áudio (0x0),JC Online,22/02/2024,0 x 0,3,0,"R$0,00 ","0,0","R$0,33 ","66,67%"
Áudio (0x0),Portal NE10,22/02/2024,0 x 0,25,0,"R$0,03 ","0,018","R$1,24 ","52,00%"
Áudio (0x0),Social 1,22/02/2024,0 x 0,47885,1,"R$101,25 ","60,75","R$2,11 ","69,20%"
Áudio (0x0),Social 1,22/02/2024,0 x 0,44,0,"R$0,09 ","0,054","R$2,02 ","0,00%"
Áudio (0x0),Social 1,22/02/2024,0 x 0,3719,9,"R$6,28 ","3,768","R$1,69 ","96,77%"
Áudio (0x0),Social 1,22/02/2024,0 x 0,2386,11,"R$5,34 ","3,204","R$2,24 ","90,48%"
Áudio (0x0),Blog do Torcedor,22/02/2024,0 x 0,4030,0,"R$13,03 ","7,818","R$3,23 ","63,55%"
Áudio (0x0),Blog do Torcedor,22/02/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,08 ","0,00%"
Áudio (0x0),Blog do Torcedor,22/02/2024,0 x 0,5512,21,"R$7,63 ","4,578","R$1,38 ","97,50%"
Áudio (0x0),Blog do Torcedor,22/02/2024,0 x 0,579,0,"R$1,92 ","1,152","R$3,32 ","87,00%"
