Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,202,0,"R$0,30 ","0,18","1,4851"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,707,2,"R$1,66 ","0,996","2,3479"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,1,0,"R$0,01 ","0,006","10,0"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,225,0,"R$1,11 ","0,666","4,9333"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,15,0,"R$0,01 ","0,006","0,6667"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,19,0,"R$0,26 ","0,156","13,6842"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,2,0,"R$0,02 ","0,012","10,0"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,86,0,"R$0,32 ","0,192","3,7209"
Áudio (0x0),Interior,21/01/2024,0 x 0,38,0,"R$0,21 ","0,126","5,5263"
Áudio (0x0),Interior,21/01/2024,0 x 0,51,1,"R$0,44 ","0,264","8,6275"
Áudio (0x0),Interior,21/01/2024,0 x 0,4,0,"R$0,04 ","0,024","10,0"
Áudio (0x0),Interior,21/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),JC Online,21/01/2024,0 x 0,25340,0,"R$69,35 ","41,61","2,7368"
Áudio (0x0),Jamildo,21/01/2024,0 x 0,36038,0,"R$93,50 ","56,1","2,5945"
Áudio (0x0),JC Online,21/01/2024,0 x 0,18,0,"R$0,02 ","0,012","1,1111"
Áudio (0x0),JC Online,21/01/2024,0 x 0,11782,25,"R$21,26 ","12,756","1,8044"
Áudio (0x0),Jamildo,21/01/2024,0 x 0,2926,0,"R$7,78 ","4,668","2,6589"
Áudio (0x0),Jamildo,21/01/2024,0 x 0,2865,2,"R$5,59 ","3,354","1,9511"
Áudio (0x0),Jamildo,21/01/2024,0 x 0,238,2,"R$0,74 ","0,444","3,1092"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,155,0,"R$0,22 ","0,132","1,4194"
Áudio (0x0),Social 1,21/01/2024,0 x 0,102288,2,"R$188,23 ","112,938","1,8402"
Áudio (0x0),Social 1,21/01/2024,0 x 0,67,0,"R$0,07 ","0,042","1,0448"
Áudio (0x0),Social 1,21/01/2024,0 x 0,2365,4,"R$7,54 ","4,524","3,1882"
Áudio (0x0),Social 1,21/01/2024,0 x 0,455,3,"R$1,89 ","1,134","4,1538"
Áudio (0x0),Blog do Torcedor,21/01/2024,0 x 0,23024,2,"R$45,20 ","27,12","1,9632"
Áudio (0x0),Blog do Torcedor,21/01/2024,0 x 0,2596,11,"R$5,75 ","3,45","2,2149"
Áudio (0x0),Blog do Torcedor,21/01/2024,0 x 0,121,0,"R$0,62 ","0,372","5,124"
Áudio (0x0),JC Online,21/01/2024,0 x 0,242,3,"R$1,44 ","0,864","5,9504"
Áudio (0x0),JC Online,21/01/2024,0 x 0,336,0,"R$0,66 ","0,396","1,9643"
Áudio (0x0),JC Classico,21/01/2024,0 x 0,7,0,"R$0,01 ","0,006","1,4286"
Áudio (0x0),JC Classico,21/01/2024,0 x 0,60,0,"R$0,20 ","0,12","3,3333"
Áudio (0x0),JC HTML,21/01/2024,0 x 0,770,1,"R$1,02 ","0,612","1,3247"
Áudio (0x0),JC HTML,21/01/2024,0 x 0,48,0,"R$0,39 ","0,234","8,125"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,31,0,"R$0,34 ","0,204","10,9677"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,19,0,"R$0,16 ","0,096","8,4211"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),Portal NE10,21/01/2024,0 x 0,7,0,"R$0,02 ","0,012","2,8571"
Áudio (0x0),Rádio Jornal,21/01/2024,0 x 0,2608,0,"R$5,23 ","3,138","2,0054"
Áudio (0x0),Rádio Jornal,21/01/2024,0 x 0,295,0,"R$1,18 ","0,708","4,0"
Áudio (0x0),Rádio Jornal,21/01/2024,0 x 0,2,0,"R$0,01 ","0,006","5,0"
Áudio (0x0),Rádio Jornal,21/01/2024,0 x 0,15,0,"R$0,03 ","0,018","2,0"
Áudio (0x0),Rádio Jornal,21/01/2024,0 x 0,59,0,"R$0,09 ","0,054","1,5254"
Áudio (0x0),Rádio Jornal,21/01/2024,0 x 0,19,0,"R$0,02 ","0,012","1,0526"
Áudio (0x0),TV Jornal,21/01/2024,0 x 0,471,0,"R$2,75 ","1,65","5,8386"
Áudio (0x0),TV Jornal,21/01/2024,0 x 0,4,0,"R$0,00 ","0,0","0,0"
Áudio (0x0),TV Jornal,21/01/2024,0 x 0,679,2,"R$1,97 ","1,182","2,9013"
Áudio (0x0),TV Jornal,21/01/2024,0 x 0,26,0,"R$0,41 ","0,246","15,7692"
Áudio (0x0),TV Jornal,21/01/2024,0 x 0,16,0,"R$0,13 ","0,078","8,125"
Áudio (0x0),Interior,21/01/2024,0 x 0,1,0,"R$0,00 ","0,0","0,0"
