Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,Portal NE10,30/07/2024,7,1 x 1,80,0,"0,00 ","0,0","R$0,00 ","66,25%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,JC Online,30/07/2024,7,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,JC Online,30/07/2024,7,970 x 250,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,Social 1,30/07/2024,7,1 x 1,14522,159,"0,00 ","0,0","R$0,00 ","36,53%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,Blog do Torcedor,30/07/2024,7,1 x 1,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,TV Jornal,30/07/2024,7,1 x 1,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,TV Jornal,30/07/2024,7,1 x 1,1723,17,"0,00 ","0,0","R$0,00 ","39,59%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,TV Jornal,30/07/2024,7,1 x 1,30,0,"0,00 ","0,0","R$0,00 ","93,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,300 x 600,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,320 x 50,14,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,970 x 250,4,0,"0,00 ","0,0","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,970 x 90,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,Native,14,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,300 x 100,9,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,320 x 100,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,320 x 50,2,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,728 x 90,136,0,"0,00 ","0,0","R$0,00 ","91,91%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,970 x 90,35,0,"0,00 ","0,0","R$0,00 ","88,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,Native,5,0,"0,00 ","0,0","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,300 x 600,128,0,"0,00 ","0,0","R$0,00 ","49,22%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,320 x 50,14,0,"0,00 ","0,0","R$0,00 ","78,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,728 x 90,19,0,"0,00 ","0,0","R$0,00 ","84,21%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,970 x 250,8,0,"0,00 ","0,0","R$0,00 ","87,50%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,970 x 90,6,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,Native,111,0,"0,00 ","0,0","R$0,00 ","61,26%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,300 x 100,38,0,"0,00 ","0,0","R$0,00 ","84,21%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,320 x 100,21,0,"0,00 ","0,0","R$0,00 ","95,24%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,320 x 50,24,0,"0,00 ","0,0","R$0,00 ","95,83%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,728 x 90,1844,0,"0,00 ","0,0","R$0,00 ","96,53%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,970 x 90,560,0,"0,00 ","0,0","R$0,00 ","96,43%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,Native,39,0,"0,00 ","0,0","R$0,00 ","89,74%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,30/07/2024,7,Native,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,300 x 600,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,320 x 50,19,0,"0,00 ","0,0","R$0,00 ","68,42%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,480 x 360v,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,Native,248,1,"0,00 ","0,0","R$0,00 ","39,11%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,300 x 100,568,3,"0,00 ","0,0","R$0,00 ","96,13%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,320 x 100,500,1,"0,00 ","0,0","R$0,00 ","95,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,320 x 50,422,0,"0,00 ","0,0","R$0,00 ","96,21%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,728 x 90,1163,0,"0,00 ","0,0","R$0,00 ","96,47%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,970 x 90,338,0,"0,00 ","0,0","R$0,00 ","97,04%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,Native,301,3,"0,00 ","0,0","R$0,00 ","94,35%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,30/07/2024,7,480 x 360v,96,0,"0,00 ","0,0","R$0,00 ","88,89%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,30/07/2024,7,1 x 1,14081,0,"0,00 ","0,0","R$0,00 ","75,92%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,30/07/2024,7,300 x 250,149,0,"0,00 ","0,0","R$0,00 ","51,68%"
