Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,300 x 250,36,0,"0,34 ","0,204","R$9,40 ","69,44%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,14,0,"0,13 ","0,078","R$9,40 ","35,71%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,8,0,"0,08 ","0,048","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,728 x 90,3,0,"0,03 ","0,018","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,8,0,"0,08 ","0,048","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/06/2024,6,300 x 250,95,0,"0,89 ","0,534","R$9,40 ","67,37%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/06/2024,6,320 x 50,28,0,"0,26 ","0,156","R$9,40 ","92,86%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/06/2024,6,320 x 50,2168,1,"20,38 ","12,228","R$9,40 ","96,77%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/06/2024,6,728 x 90,41,0,"0,39 ","0,234","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/06/2024,6,300 x 250,36,0,"0,34 ","0,204","R$9,40 ","52,78%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/06/2024,6,320 x 50,36,0,"0,34 ","0,204","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,06/06/2024,6,728 x 90,4,0,"0,04 ","0,024","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,300 x 250,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),JC Online,06/06/2024,6,300 x 250,3896,6,"36,62 ","21,972","R$9,40 ","48,98%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),JC Online,06/06/2024,6,320 x 50,2059,1,"19,35 ","11,61","R$9,40 ","94,87%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),JC Online,06/06/2024,6,320 x 50,644,0,"6,05 ","3,63","R$9,40 ","97,05%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),JC Online,06/06/2024,6,728 x 90,31,0,"0,29 ","0,174","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,300 x 250,3,0,"0,03 ","0,018","R$9,40 ","33,33%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/06/2024,6,300 x 250,5849,2,"54,98 ","32,988","R$9,40 ","70,05%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/06/2024,6,320 x 50,1905,2,"17,91 ","10,746","R$9,40 ","94,38%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/06/2024,6,728 x 90,83,0,"0,78 ","0,468","R$9,40 ","96,39%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/06/2024,6,320 x 50,48,0,"0,45 ","0,27","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Social 1,06/06/2024,6,728 x 90,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Blog do Torcedor,06/06/2024,6,300 x 250,12,0,"0,11 ","0,066","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Blog do Torcedor,06/06/2024,6,320 x 50,28,0,"0,26 ","0,156","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Blog do Torcedor,06/06/2024,6,320 x 50,172,0,"1,62 ","0,972","R$9,40 ","95,35%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Blog do Torcedor,06/06/2024,6,728 x 90,8,0,"0,08 ","0,048","R$9,40 ","87,50%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,300 x 250,52,0,"0,49 ","0,294","R$9,40 ","59,62%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,4,0,"0,04 ","0,024","R$9,40 ","75,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,9,0,"0,08 ","0,048","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,06/06/2024,6,300 x 250,8,0,"0,08 ","0,048","R$9,40 ","37,50%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,06/06/2024,6,320 x 50,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,06/06/2024,6,728 x 90,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,06/06/2024,6,320 x 50,30,0,"0,28 ","0,168","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,06/06/2024,6,728 x 90,29,0,"0,27 ","0,162","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,06/06/2024,6,300 x 250,285,0,"2,68 ","1,608","R$9,40 ","67,72%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,06/06/2024,6,320 x 50,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),TV Jornal,06/06/2024,6,300 x 250,3761,12,"35,35 ","21,21","R$9,40 ","77,45%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),TV Jornal,06/06/2024,6,320 x 50,199,0,"1,87 ","1,122","R$9,40 ","89,39%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),TV Jornal,06/06/2024,6,728 x 90,16,0,"0,15 ","0,09","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),TV Jornal,06/06/2024,6,320 x 50,54,0,"0,51 ","0,306","R$9,40 ","94,44%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),TV Jornal,06/06/2024,6,728 x 90,2,0,"0,02 ","0,012","R$9,40 ","100,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),TV Jornal,06/06/2024,6,320 x 50,1,0,"0,01 ","0,006","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,300 x 250,38,0,"0,36 ","0,216","R$9,40 ","65,79%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,24,0,"0,23 ","0,138","R$9,40 ","66,67%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,49,0,"0,46 ","0,276","R$9,40 ","95,92%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,728 x 90,3,0,"0,03 ","0,018","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,5,0,"0,05 ","0,03","R$9,40 ","60,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,320 x 50,4,0,"0,04 ","0,024","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,728 x 90,4,0,"0,04 ","0,024","R$9,40 ","75,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Interior,06/06/2024,6,300 x 250,27,0,"0,25 ","0,15","R$9,40 ","48,15%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Interior,06/06/2024,6,320 x 50,17,0,"0,16 ","0,096","R$9,40 ","76,47%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Interior,06/06/2024,6,320 x 50,331,0,"3,11 ","1,866","R$9,40 ","96,07%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Interior,06/06/2024,6,728 x 90,4,0,"0,04 ","0,024","R$9,40 ","125,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Interior,06/06/2024,6,300 x 250,10,0,"0,09 ","0,054","R$9,40 ","70,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),Portal NE10,06/06/2024,6,300 x 250,1,0,"0,01 ","0,006","R$9,40 ","0,00%"
