Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,300 x 250,6304,0,R$59.26 ,35.556,R$9.40 ,66.53%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,320 x 50,3666,0,R$34.46 ,20.676,R$9.40 ,91.81%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,728 x 90,284,0,R$2.67 ,1.602,R$9.40 ,73.24%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,970 x 250,449,0,R$4.22 ,2.532,R$9.40 ,74.16%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,320 x 50,2597,0,R$24.41 ,14.646,R$9.40 ,97.42%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,728 x 90,1363,0,R$12.81 ,7.686,R$9.40 ,98.97%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,300 x 250,55,0,R$0.52 ,0.312,R$9.40 ,58.18%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » noticias (21823177011),08/05/2024,5,970 x 250,1,0,R$0.01 ,0.006,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,320 x 50,15,0,R$0.14 ,0.084,R$9.40 ,133.33%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,320 x 50,10,0,R$0.09 ,0.054,R$9.40 ,40.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,300 x 250,51,0,R$0.48 ,0.288,R$9.40 ,33.33%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,320 x 50,2,0,R$0.02 ,0.012,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,728 x 90,157,0,R$1.48 ,0.888,R$9.40 ,74.52%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,08/05/2024,5,970 x 250,97,0,R$0.91 ,0.546,R$9.40 ,75.26%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,08/05/2024,5,300 x 250,1102,6,R$10.36 ,6.216,R$9.40 ,62.70%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,08/05/2024,5,320 x 50,2368,1,R$22.26 ,13.356,R$9.40 ,95.61%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,08/05/2024,5,728 x 90,88,0,R$0.83 ,0.498,R$9.40 ,98.86%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,08/05/2024,5,320 x 50,36,0,R$0.34 ,0.204,R$9.40 ,97.22%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,08/05/2024,5,728 x 90,38,0,R$0.36 ,0.216,R$9.40 ,94.74%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,08/05/2024,5,300 x 250,1,0,R$0.01 ,0.006,R$9.40 ,100.00%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,08/05/2024,5,320 x 50,48,0,R$0.45 ,0.27,R$9.40 ,102.08%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,300 x 250,7,0,R$0.03 ,0.018,R$3.74 ,71.43%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,320 x 50,68,0,R$0.25 ,0.15,R$3.74 ,85.29%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,970 x 250,1,0,R$0.00 ,0.0,R$3.74 ,200.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,320 x 50,15,0,R$0.06 ,0.036,R$3.74 ,93.33%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,300 x 250,21,0,R$0.08 ,0.048,R$3.74 ,66.67%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,08/05/2024,5,300 x 250,752,0,R$2.81 ,1.686,R$3.74 ,55.85%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,08/05/2024,5,320 x 50,1962,0,R$7.34 ,4.404,R$3.74 ,85.03%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,08/05/2024,5,970 x 250,39,0,R$0.15 ,0.09,R$3.74 ,48.72%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,08/05/2024,5,320 x 50,1303,0,R$4.87 ,2.922,R$3.74 ,96.32%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,08/05/2024,5,300 x 250,620,0,R$2.32 ,1.392,R$3.74 ,40.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,08/05/2024,5,970 x 250,1,0,R$0.00 ,0.0,R$3.74 ,100.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,300 x 250,2,0,R$0.01 ,0.006,R$3.74 ,200.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,320 x 50,2,0,R$0.01 ,0.006,R$3.74 ,100.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,970 x 250,3,0,R$0.01 ,0.006,R$3.74 ,66.67%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,08/05/2024,5,320 x 50,3,0,R$0.01 ,0.006,R$3.74 ,100.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Rádio Jornal,08/05/2024,5,300 x 250,4540,0,R$16.98 ,10.188,R$3.74 ,79.38%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Rádio Jornal,08/05/2024,5,320 x 50,20,0,R$0.07 ,0.042,R$3.74 ,85.00%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,08/05/2024,5,970 x 250,7439,2,R$66.13 ,39.678,R$8.89 ,65.65%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,08/05/2024,5,970 x 250,133,1,R$1.18 ,0.708,R$8.89 ,67.67%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,08/05/2024,5,970 x 250,592,0,R$5.26 ,3.156,R$8.89 ,64.53%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,08/05/2024,5,970 x 250,2,0,R$0.02 ,0.012,R$8.89 ,100.00%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,08/05/2024,5,970 x 250,3,0,R$0.03 ,0.018,R$8.89 ,100.00%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,300 x 250,1107,3,R$7.38 ,4.428,R$6.67 ,56.48%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,320 x 50,1839,3,R$12.26 ,7.356,R$6.67 ,91.99%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,970 x 250,1,0,R$0.01 ,0.006,R$6.67 ,100.00%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,320 x 50,597,1,R$3.98 ,2.388,R$6.67 ,97.49%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,320 x 50,4,0,R$0.03 ,0.018,R$6.67 ,100.00%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,300 x 250,1422,2,R$9.48 ,5.688,R$6.67 ,68.92%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,320 x 50,11,0,R$0.07 ,0.042,R$6.67 ,60.00%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,08/05/2024,5,300 x 250,87,0,R$0.58 ,0.348,R$6.67 ,78.16%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,300 x 250,10,0,R$0.21 ,0.126,R$21.42 ,80.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,300 x 600,1,0,R$0.02 ,0.012,R$21.42 ,100.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,320 x 50,12,1,R$0.26 ,0.156,R$21.42 ,75.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,728 x 90,5,0,R$0.11 ,0.066,R$21.42 ,80.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,320 x 50,1269,0,R$27.18 ,16.308,R$21.42 ,95.19%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,728 x 90,110,0,R$2.36 ,1.416,R$21.42 ,90.91%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,480 x 360v,2849,6,R$0.00 ,0.0,R$0.00 ,83.66%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,300 x 250,37,0,R$0.79 ,0.474,R$21.42 ,40.54%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,300 x 250,1,0,R$0.02 ,0.012,R$21.42 ,100.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,320 x 50,6,0,R$0.13 ,0.078,R$21.42 ,33.33%
(Venda Direta SJCC) Armazem coral,JC Online,08/05/2024,5,300 x 250,1061,2,R$15.87 ,9.522,R$14.96 ,66.07%
(Venda Direta SJCC) Armazem coral,JC Online,08/05/2024,5,300 x 600,4,0,R$0.06 ,0.036,R$14.96 ,75.00%
(Venda Direta SJCC) Armazem coral,JC Online,08/05/2024,5,320 x 50,2686,3,R$40.18 ,24.108,R$14.96 ,83.81%
(Venda Direta SJCC) Armazem coral,JC Online,08/05/2024,5,320 x 50,1774,3,R$26.54 ,15.924,R$14.96 ,96.62%
(Venda Direta SJCC) Armazem coral,JC Online,08/05/2024,5,728 x 90,328,0,R$4.91 ,2.946,R$14.96 ,96.04%
(Venda Direta SJCC) Armazem coral,Jamildo,08/05/2024,5,480 x 360v,2,0,R$0.00 ,0.0,R$0.00 ,100.00%
(Venda Direta SJCC) Armazem coral,Social 1,08/05/2024,5,480 x 360v,84,1,R$0.00 ,0.0,R$0.00 ,91.36%
(Venda Direta SJCC) Armazem coral,Blog do Torcedor,08/05/2024,5,480 x 360v,1,0,R$0.00 ,0.0,R$0.00 ,100.00%
(Venda Direta SJCC) Armazem coral,JC Online,08/05/2024,5,480 x 360v,2978,28,R$0.00 ,0.0,R$0.00 ,89.93%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,300 x 250,450,1,R$9.64 ,5.784,R$21.42 ,65.78%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,300 x 600,39,0,R$0.84 ,0.504,R$21.42 ,74.36%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,320 x 50,469,0,R$10.05 ,6.03,R$21.42 ,76.55%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,480 x 360v,6,0,R$0.00 ,0.0,R$0.00 ,50.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,728 x 90,2,0,R$0.04 ,0.024,R$21.42 ,200.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,970 x 250,5,0,R$0.00 ,0.0,R$0.00 ,60.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,320 x 50,48,0,R$1.03 ,0.618,R$21.42 ,85.42%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,728 x 90,121,0,R$2.59 ,1.554,R$21.42 ,99.17%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,970 x 90,1,0,R$0.00 ,0.0,R$0.00 ,100.00%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,480 x 360v,168,1,R$0.00 ,0.0,R$0.00 ,85.45%
(Venda Direta SJCC) Armazem coral,Portal NE10,08/05/2024,5,300 x 250,2,0,R$0.04 ,0.024,R$21.42 ,50.00%
(Venda Direta SJCC) Armazem coral,Rádio Jornal,08/05/2024,5,300 x 250,4181,7,R$89.56 ,53.736,R$21.42 ,74.41%
(Venda Direta SJCC) Armazem coral,Rádio Jornal,08/05/2024,5,320 x 50,35,1,R$0.75 ,0.45,R$21.42 ,65.71%
(Venda Direta SJCC) CLEVER GESTL LTDA,Portal NE10,08/05/2024,5,300 x 350,2332,0,R$11.66 ,6.996,R$5.00 ,3.60%
(Venda Direta SJCC) CLEVER GESTL LTDA,JC Online,08/05/2024,5,300 x 350,14166,0,R$70.83 ,42.498,R$5.00 ,4.04%
(Venda Direta SJCC) CLEVER GESTL LTDA,Social 1,08/05/2024,5,300 x 350,147843,0,R$739.22 ,443.532,R$5.00 ,3.83%
(Venda Direta SJCC) CLEVER GESTL LTDA,Blog do Torcedor,08/05/2024,5,300 x 350,1166,0,R$5.83 ,3.498,R$5.00 ,3.09%
(Venda Direta SJCC) CLEVER GESTL LTDA,Rádio Jornal,08/05/2024,5,300 x 250,5381,0,R$0.00 ,0.0,R$0.00 ,69.68%
(Venda Direta SJCC) CLEVER GESTL LTDA,TV Jornal,08/05/2024,5,300 x 350,67454,0,R$178.28 ,106.968,R$2.64 ,2.96%
(Venda Direta SJCC) GENERAL MOTORS,JC Online,08/05/2024,5,480 x 360v,911,0,R$22.68 ,13.608,R$24.90 ,70.00%
(Venda Direta SJCC) GENERAL MOTORS,Blog do Torcedor,08/05/2024,5,480 x 360v,1814,1,R$45.17 ,27.102,R$24.90 ,57.13%
(Venda Direta SJCC) GENERAL MOTORS,Blog do Torcedor,08/05/2024,5,480 x 360v,771,8,R$19.20 ,11.52,R$24.90 ,89.84%
(Venda Direta SJCC) GENERAL MOTORS,JC Online,08/05/2024,5,480 x 360v,945,8,R$23.53 ,14.118,R$24.90 ,86.60%
(Venda Direta SJCC) GENERAL MOTORS,JC Online,08/05/2024,5,480 x 360v,34,0,R$0.85 ,0.51,R$24.90 ,35.29%
