Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,21/05/2024,5,300 x 250,564,0,R$5.30 ,3.18,R$9.40 ,59.04%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,21/05/2024,5,320 x 50,178,0,R$1.67 ,1.002,R$9.40 ,84.27%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,21/05/2024,5,320 x 50,3750,1,R$35.25 ,21.15,R$9.40 ,97.17%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,21/05/2024,5,300 x 250,18,0,R$0.17 ,0.102,R$9.40 ,72.22%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,21/05/2024,5,320 x 50,6,0,R$0.06 ,0.036,R$9.40 ,50.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,21/05/2024,5,300 x 250,1,0,R$0.01 ,0.006,R$9.40 ,0.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Interior,21/05/2024,5,320 x 50,122,0,R$1.15 ,0.69,R$9.40 ,95.90%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,21/05/2024,5,300 x 250,972,3,R$9.14 ,5.484,R$9.40 ,61.28%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,21/05/2024,5,320 x 50,545,0,R$5.12 ,3.072,R$9.40 ,85.08%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,21/05/2024,5,320 x 50,230,0,R$2.16 ,1.296,R$9.40 ,98.26%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,21/05/2024,5,320 x 50,1,0,R$0.01 ,0.006,R$9.40 ,100.00%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,21/05/2024,5,320 x 50,751,0,R$7.06 ,4.236,R$9.40 ,99.07%
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),Rádio Jornal,21/05/2024,5,300 x 250,16,0,R$0.15 ,0.09,R$9.40 ,68.75%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,21/05/2024,5,300 x 250,932,1,R$8.76 ,5.256,R$9.40 ,64.02%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,21/05/2024,5,320 x 50,3911,3,R$36.76 ,22.056,R$9.40 ,93.63%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,21/05/2024,5,728 x 90,11,0,R$0.10 ,0.06,R$9.40 ,90.91%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,21/05/2024,5,320 x 50,1090,1,R$10.25 ,6.15,R$9.40 ,96.79%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,21/05/2024,5,728 x 90,18,0,R$0.17 ,0.102,R$9.40 ,100.00%
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),TV Jornal,21/05/2024,5,320 x 50,3,0,R$0.03 ,0.018,R$9.40 ,100.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,300 x 250,749,1,R$2.80 ,1.68,R$3.74 ,69.96%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,320 x 50,802,0,R$3.00 ,1.8,R$3.74 ,75.19%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,970 x 250,178,0,R$0.67 ,0.402,R$3.74 ,73.03%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,320 x 50,1121,0,R$4.19 ,2.514,R$3.74 ,92.95%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,300 x 250,165,0,R$0.62 ,0.372,R$3.74 ,64.85%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,21/05/2024,5,300 x 250,2230,4,R$8.34 ,5.004,R$3.74 ,69.79%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,21/05/2024,5,320 x 50,2394,3,R$8.95 ,5.37,R$3.74 ,79.52%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,21/05/2024,5,320 x 50,2,0,R$0.01 ,0.006,R$3.74 ,100.00%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),JC Online,21/05/2024,5,300 x 250,14,0,R$0.05 ,0.03,R$3.74 ,57.14%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,300 x 250,983,1,R$3.68 ,2.208,R$3.74 ,65.78%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,320 x 50,512,0,R$1.91 ,1.146,R$3.74 ,74.22%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,970 x 250,51,0,R$0.19 ,0.114,R$3.74 ,58.82%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,320 x 50,222,0,R$0.83 ,0.498,R$3.74 ,95.05%
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),Portal NE10,21/05/2024,5,300 x 250,9,0,R$0.03 ,0.018,R$3.74 ,55.56%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,21/05/2024,5,970 x 250,7344,3,R$65.29 ,39.174,R$8.89 ,67.66%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,21/05/2024,5,970 x 250,1,0,R$0.01 ,0.006,R$8.89 ,100.00%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Social 1,21/05/2024,5,970 x 250,541,0,R$4.81 ,2.886,R$8.89 ,61.00%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,Blog do Torcedor,21/05/2024,5,970 x 250,436,0,R$3.88 ,2.328,R$8.89 ,65.14%
( Venda Direta SJCC)  UNIVERSIDADE CATOLICA DE PERNAMBUCO,JC Online,21/05/2024,5,970 x 250,1,0,R$0.01 ,0.006,R$8.89 ,100.00%
(Venda Direta SJCC) - SICREDI,Rádio Jornal,21/05/2024,5,300 x 250,573,0,R$3.82 ,2.292,R$6.67 ,63.92%
