Anunciante,Bloco de anúncios,Data,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,17,0,"R$0,06 ","0,036","R$3,38 ","76,47%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,246,0,"R$0,17 ","0,102","R$0,68 ","95,12%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,398,1,"R$2,59 ","1,554","R$6,52 ","65,83%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,1956,7,"R$3,85 ","2,31","R$1,97 ","93,87%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,350,0,"R$1,18 ","0,708","R$3,36 ","84,52%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,4,0,"R$0,06 ","0,036","R$14,04 ","75,00%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,94,0,"R$0,16 ","0,096","R$1,67 ","84,95%"
Áudio (0x0),Interior,18/03/2024,0 x 0,103,0,"R$0,66 ","0,396","R$6,41 ","81,55%"
Áudio (0x0),Interior,18/03/2024,0 x 0,68,0,"R$0,51 ","0,306","R$7,44 ","95,59%"
Áudio (0x0),Interior,18/03/2024,0 x 0,119,2,"R$0,15 ","0,09","R$1,25 ","82,76%"
Áudio (0x0),Interior,18/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$1,07 ","100,00%"
Áudio (0x0),Interior,18/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$0,26 ","0,00%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$2,99 ","100,00%"
Áudio (0x0),JC Online,18/03/2024,0 x 0,1653,7,"R$15,11 ","9,066","R$9,14 ","69,82%"
Áudio (0x0),Jamildo,18/03/2024,0 x 0,3323,0,"R$21,62 ","12,972","R$6,51 ","50,08%"
Áudio (0x0),JC Online,18/03/2024,0 x 0,2,0,"R$0,00 ","0,0","R$2,03 ","0,00%"
Áudio (0x0),JC Online,18/03/2024,0 x 0,23546,80,"R$32,13 ","19,278","R$1,36 ","97,14%"
Áudio (0x0),Jamildo,18/03/2024,0 x 0,446,0,"R$2,94 ","1,764","R$6,60 ","70,56%"
Áudio (0x0),Jamildo,18/03/2024,0 x 0,10819,81,"R$13,69 ","8,214","R$1,27 ","96,74%"
Áudio (0x0),Jamildo,18/03/2024,0 x 0,4368,21,"R$10,32 ","6,192","R$2,36 ","88,07%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,10,0,"R$0,01 ","0,006","R$1,15 ","80,00%"
Áudio (0x0),JC Online,18/03/2024,0 x 0,2,0,"R$0,01 ","0,006","R$5,34 ","50,00%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,9,0,"R$0,03 ","0,018","R$3,41 ","66,67%"
Áudio (0x0),Social 1,18/03/2024,0 x 0,21872,1,"R$122,95 ","73,77","R$5,62 ","77,41%"
Áudio (0x0),Social 1,18/03/2024,0 x 0,61,0,"R$0,09 ","0,054","R$1,45 ","0,00%"
Áudio (0x0),Social 1,18/03/2024,0 x 0,13123,11,"R$24,64 ","14,784","R$1,88 ","97,05%"
Áudio (0x0),Social 1,18/03/2024,0 x 0,6250,34,"R$12,49 ","7,494","R$2,00 ","85,20%"
Áudio (0x0),Blog do Torcedor,18/03/2024,0 x 0,606,1,"R$4,51 ","2,706","R$7,44 ","53,72%"
Áudio (0x0),Blog do Torcedor,18/03/2024,0 x 0,1,0,"R$0,00 ","0,0","R$1,27 ","0,00%"
Áudio (0x0),Blog do Torcedor,18/03/2024,0 x 0,2390,3,"R$2,71 ","1,626","R$1,13 ","97,24%"
Áudio (0x0),Blog do Torcedor,18/03/2024,0 x 0,137,1,"R$1,04 ","0,624","R$7,60 ","90,65%"
Áudio (0x0),JC Online,18/03/2024,0 x 0,3,0,"R$0,00 ","0,0","R$0,25 ","66,67%"
Áudio (0x0),JC Online,18/03/2024,0 x 0,2482,7,"R$6,90 ","4,14","R$2,78 ","85,88%"
Áudio (0x0),JC Online,18/03/2024,0 x 0,18,0,"R$0,12 ","0,072","R$6,81 ","55,56%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,7,0,"R$0,06 ","0,036","R$8,94 ","42,86%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,366,9,"R$0,78 ","0,468","R$2,14 ","95,36%"
Áudio (0x0),Portal NE10,18/03/2024,0 x 0,25,0,"R$0,02 ","0,012","R$0,94 ","84,00%"
Áudio (0x0),Rádio Jornal,18/03/2024,0 x 0,642,0,"R$3,98 ","2,388","R$6,20 ","74,41%"
Áudio (0x0),Rádio Jornal,18/03/2024,0 x 0,130,0,"R$0,30 ","0,18","R$2,28 ","0,00%"
Áudio (0x0),Rádio Jornal,18/03/2024,0 x 0,7925,14,"R$19,61 ","11,766","R$2,47 ","99,41%"
Áudio (0x0),Rádio Jornal,18/03/2024,0 x 0,5,0,"R$0,00 ","0,0","R$0,95 ","100,00%"
Áudio (0x0),Rádio Jornal,18/03/2024,0 x 0,111,1,"R$0,25 ","0,15","R$2,23 ","79,25%"
Áudio (0x0),Rádio Jornal,18/03/2024,0 x 0,1,0,"R$0,01 ","0,006","R$13,70 ","100,00%"
Áudio (0x0),TV Jornal,18/03/2024,0 x 0,38,0,"R$0,56 ","0,336","R$14,62 ","67,65%"
Áudio (0x0),TV Jornal,18/03/2024,0 x 0,5,0,"R$0,01 ","0,006","R$1,10 ","0,00%"
