Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,25/03/2024,3,300 x 250,8080,0,"R$0,00 ","0,0","R$0,00 ","73,03%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,25/03/2024,3,970 x 250,2548,0,"R$0,00 ","0,0","R$0,00 ","64,36%"
"( Venda Direta SJCC) Ministério do Desenvolvimento e Assistência Social, Família e Combate e Fome",JC Online,25/03/2024,3,300 x 250,958,0,"R$0,00 ","0,0","R$0,00 ","56,26%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,25/03/2024,3,300 x 250,128,0,"R$0,00 ","0,0","R$0,00 ","60,63%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,25/03/2024,3,300 x 600,14,0,"R$0,00 ","0,0","R$0,00 ","85,71%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,25/03/2024,3,320 x 50,1867,0,"R$0,00 ","0,0","R$0,00 ","94,21%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,25/03/2024,3,320 x 50,2754,5,"R$0,00 ","0,0","R$0,00 ","99,13%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,25/03/2024,3,320 x 50,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) - SICREDI,Rádio Jornal,25/03/2024,3,300 x 250,13,0,"R$0,00 ","0,0","R$0,00 ","61,54%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,300 x 250,6,0,"R$0,00 ","0,0","R$0,00 ","83,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,320 x 50,3,0,"R$0,00 ","0,0","R$0,00 ","33,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,480 x 360v,3,0,"R$0,00 ","0,0","R$0,00 ","33,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,970 x 250,4,0,"R$0,00 ","0,0","R$0,00 ","50,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,300 x 250,426,0,"R$0,00 ","0,0","R$0,00 ","59,62%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,300 x 600,42,0,"R$0,00 ","0,0","R$0,00 ","58,54%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,320 x 50,813,0,"R$0,00 ","0,0","R$0,00 ","70,36%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,480 x 360v,361,0,"R$0,00 ","0,0","R$0,00 ","62,12%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,728 x 90,20,0,"R$0,00 ","0,0","R$0,00 ","60,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,970 x 250,24,0,"R$0,00 ","0,0","R$0,00 ","58,33%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,320 x 50,1027,0,"R$0,00 ","0,0","R$0,00 ","93,38%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,728 x 90,863,0,"R$0,00 ","0,0","R$0,00 ","92,35%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,480 x 360v,1095,8,"R$0,00 ","0,0","R$0,00 ","79,89%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,300 x 250,90,0,"R$0,00 ","0,0","R$0,00 ","28,89%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,480 x 360v,29,0,"R$0,00 ","0,0","R$0,00 ","75,86%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,320 x 50,1,0,"R$0,00 ","0,0","R$0,00 ","100,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,480 x 360v,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) Armazem coral,Portal NE10,25/03/2024,3,970 x 250,1,0,"R$0,00 ","0,0","R$0,00 ","0,00%"
(Venda Direta SJCC) Armazem coral,JC Online,25/03/2024,3,300 x 250,1688,3,"R$0,00 ","0,0","R$0,00 ","63,76%"
