Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,300 x 250,14,0,"0,00 ","0,0","R$0,00 ","28,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,320 x 50,5,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,Native,3,0,"0,00 ","0,0","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,300 x 100,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,320 x 100,14,0,"0,00 ","0,0","R$0,00 ","92,86%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,320 x 50,3,0,"0,00 ","0,0","R$0,00 ","133,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,728 x 90,109,0,"0,00 ","0,0","R$0,00 ","96,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,970 x 90,72,0,"0,00 ","0,0","R$0,00 ","95,83%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,Native,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,300 x 250,36,0,"0,00 ","0,0","R$0,00 ","47,22%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,320 x 50,186,0,"0,00 ","0,0","R$0,00 ","70,97%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,60 x 60,7214,0,"0,00 ","0,0","R$0,00 ","64,46%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,26/09/2024,9,970 x 250,1009,0,"0,00 ","0,0","R$0,00 ","71,36%"
