Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,300 x 250,6,0,"0,00 ","0,0","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,300 x 600,12,1,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,320 x 50,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,728 x 90,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,970 x 250,4,0,"0,00 ","0,0","R$0,00 ","25,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,Native,15,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,300 x 100,6,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,320 x 100,13,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,320 x 50,4,1,"0,00 ","0,0","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,728 x 90,60,0,"0,00 ","0,0","R$0,00 ","98,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,970 x 90,34,0,"0,00 ","0,0","R$0,00 ","88,24%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,Native,5,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,300 x 250,44,0,"0,00 ","0,0","R$0,00 ","61,36%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,300 x 600,283,1,"0,00 ","0,0","R$0,00 ","65,37%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,320 x 50,390,0,"0,00 ","0,0","R$0,00 ","73,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,970 x 250,1107,1,"0,00 ","0,0","R$0,00 ","73,17%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,Native,259,1,"0,00 ","0,0","R$0,00 ","55,21%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,320 x 50,5054,4,"0,00 ","0,0","R$0,00 ","85,18%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,728 x 90,2938,0,"0,00 ","0,0","R$0,00 ","90,81%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,970 x 90,1309,0,"0,00 ","0,0","R$0,00 ","89,15%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,12/09/2024,9,Native,18,0,"0,00 ","0,0","R$0,00 ","94,44%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,300 x 250,35,0,"0,00 ","0,0","R$0,00 ","65,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,300 x 600,52,0,"0,00 ","0,0","R$0,00 ","65,38%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,320 x 50,45,0,"0,00 ","0,0","R$0,00 ","55,56%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,728 x 90,45,0,"0,00 ","0,0","R$0,00 ","62,22%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,970 x 250,47,0,"0,00 ","0,0","R$0,00 ","53,19%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,970 x 90,15,0,"0,00 ","0,0","R$0,00 ","60,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,Native,90,0,"0,00 ","0,0","R$0,00 ","36,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,12/09/2024,9,300 x 100,11,0,"0,00 ","0,0","R$0,00 ","154,55%"
