Anunciante,Bloco de anúncios,Data,Mês,Tamanho do criativo,Total de impressões,Total de cliques,Receita Bruta (R$),Receita Líquida,eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,300 x 250,5,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,300 x 600,4,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,320 x 50,6,0,"0,00 ","0,0","R$0,00 ","16,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,970 x 250,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,Native,24,0,"0,00 ","0,0","R$0,00 ","29,17%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,300 x 100,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,320 x 100,9,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,320 x 50,2,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,728 x 90,53,0,"0,00 ","0,0","R$0,00 ","90,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,970 x 90,26,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,Native,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,300 x 250,113,0,"0,00 ","0,0","R$0,00 ","53,98%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,300 x 600,26,0,"0,00 ","0,0","R$0,00 ","57,69%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,320 x 50,243,0,"0,00 ","0,0","R$0,00 ","65,43%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,728 x 90,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,970 x 250,3343,1,"0,00 ","0,0","R$0,00 ","68,22%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,970 x 90,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,Native,426,0,"0,00 ","0,0","R$0,00 ","50,94%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,320 x 50,5268,1,"0,00 ","0,0","R$0,00 ","84,68%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,728 x 90,1167,1,"0,00 ","0,0","R$0,00 ","87,32%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,970 x 90,506,0,"0,00 ","0,0","R$0,00 ","88,74%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,Native,18,0,"0,00 ","0,0","R$0,00 ","88,89%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,300 x 250,132,0,"0,00 ","0,0","R$0,00 ","68,18%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,320 x 50,111,1,"0,00 ","0,0","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,970 x 250,7,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,970 x 90,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,Native,240,0,"0,00 ","0,0","R$0,00 ","29,58%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,300 x 100,8,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,320 x 100,45,0,"0,00 ","0,0","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,320 x 50,14,0,"0,00 ","0,0","R$0,00 ","71,43%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,728 x 90,699,0,"0,00 ","0,0","R$0,00 ","93,85%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,970 x 90,308,0,"0,00 ","0,0","R$0,00 ","95,78%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,Native,61,0,"0,00 ","0,0","R$0,00 ","83,61%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,300 x 250,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,320 x 50,8,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,Native,9,0,"0,00 ","0,0","R$0,00 ","55,56%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,300 x 100,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,320 x 100,6,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,320 x 50,5,1,"0,00 ","0,0","R$0,00 ","60,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,728 x 90,38,0,"0,00 ","0,0","R$0,00 ","94,74%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,970 x 90,26,0,"0,00 ","0,0","R$0,00 ","88,46%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior - Coluna Edicase,23/09/2024,9,Native,6,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,300 x 250,4,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Interior,23/09/2024,9,Native,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,300 x 250,20,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,1 x 1,5544,0,"0,00 ","0,0","R$0,00 ","69,43%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,300 x 250,1362,3,"0,00 ","0,0","R$0,00 ","62,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,300 x 600,46,0,"0,00 ","0,0","R$0,00 ","84,78%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,320 x 50,6341,3,"0,00 ","0,0","R$0,00 ","67,85%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,728 x 90,4,0,"0,00 ","0,0","R$0,00 ","25,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,970 x 250,2018,7,"0,00 ","0,0","R$0,00 ","89,69%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,970 x 90,4,0,"0,00 ","0,0","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,Native,6354,7,"0,00 ","0,0","R$0,00 ","36,08%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,1 x 1,80,0,"0,00 ","0,0","R$0,00 ","55,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,300 x 100,630,0,"0,00 ","0,0","R$0,00 ","98,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,320 x 100,1656,0,"0,00 ","0,0","R$0,00 ","98,55%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,320 x 50,3143,1,"0,00 ","0,0","R$0,00 ","97,84%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,728 x 90,36716,3,"0,00 ","0,0","R$0,00 ","96,15%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,970 x 90,17069,3,"0,00 ","0,0","R$0,00 ","96,21%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,JC Online,23/09/2024,9,Native,693,1,"0,00 ","0,0","R$0,00 ","96,68%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,300 x 250,1,0,"0,00 ","0,0","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,320 x 50,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Portal NE10,23/09/2024,9,Native,7,0,"0,00 ","0,0","R$0,00 ","28,57%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,300 x 250,42390,30,"0,00 ","0,0","R$0,00 ","49,95%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,300 x 600,55,0,"0,00 ","0,0","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,320 x 50,10683,5,"0,00 ","0,0","R$0,00 ","29,01%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,728 x 90,127,0,"0,00 ","0,0","R$0,00 ","60,63%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,970 x 250,218,0,"0,00 ","0,0","R$0,00 ","60,55%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,970 x 90,62,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,Native,10996,12,"0,00 ","0,0","R$0,00 ","36,93%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,300 x 100,8691,14,"0,00 ","0,0","R$0,00 ","74,74%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,320 x 100,34067,28,"0,00 ","0,0","R$0,00 ","75,07%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,320 x 50,14570,10,"0,00 ","0,0","R$0,00 ","74,32%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,728 x 90,7033,4,"0,00 ","0,0","R$0,00 ","84,06%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,970 x 90,3063,0,"0,00 ","0,0","R$0,00 ","82,86%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,Native,14665,25,"0,00 ","0,0","R$0,00 ","71,29%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Social 1,23/09/2024,9,300 x 250,49,0,"0,00 ","0,0","R$0,00 ","95,92%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,300 x 100,41,0,"0,00 ","0,0","R$0,00 ","70,73%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,300 x 250,9,0,"0,00 ","0,0","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,300 x 600,1,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,320 x 100,116,0,"0,00 ","0,0","R$0,00 ","83,62%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,320 x 50,273,0,"0,00 ","0,0","R$0,00 ","44,69%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,728 x 90,2274,0,"0,00 ","0,0","R$0,00 ","91,51%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,970 x 250,22,0,"0,00 ","0,0","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,970 x 90,1083,0,"0,00 ","0,0","R$0,00 ","91,23%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,Native,186,0,"0,00 ","0,0","R$0,00 ","37,10%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,300 x 100,3,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,320 x 100,16,0,"0,00 ","0,0","R$0,00 ","93,75%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,320 x 50,7,0,"0,00 ","0,0","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,728 x 90,15,0,"0,00 ","0,0","R$0,00 ","93,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,Blog do Torcedor,23/09/2024,9,970 x 90,10,0,"0,00 ","0,0","R$0,00 ","90,00%"
