Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),9/1/2024,300 x 250,4597768744,",10869286,11238766,",10,0,"R$0,00 ","R$0,00 ","40,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),9/1/2024,300 x 600,4597768744,",10869286,11238766,",8,0,"R$0,00 ","R$0,00 ","75,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),9/1/2024,320 x 50,4597768744,",10869286,11238766,",2,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),9/1/2024,970 x 250,4597768744,",10869286,11238766,",1,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),9/1/2024,Native,4597768744,",10869286,11238766,",17,0,"R$0,00 ","R$0,00 ","52,94%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),9/1/2024,300 x 100,4597768744,",10869286,11238766,22834406532,",3,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),9/1/2024,320 x 100,4597768744,",10869286,11238766,22834406532,",7,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),9/1/2024,320 x 50,4597768744,",10869286,11238766,22834406532,",1,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),9/1/2024,728 x 90,4597768744,",10869286,11238766,22834406532,",34,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),9/1/2024,970 x 90,4597768744,",10869286,11238766,22834406532,",7,0,"R$0,00 ","R$0,00 ","85,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),9/1/2024,Native,4597768744,",10869286,11238766,22834406532,",2,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),9/1/2024,300 x 250,4597768744,",10869286,11238766,21723566961,",99,0,"R$0,00 ","R$0,00 ","51,52%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),9/1/2024,300 x 600,4597768744,",10869286,11238766,21723566961,",75,0,"R$0,00 ","R$0,00 ","37,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),9/1/2024,320 x 50,4597768744,",10869286,11238766,21723566961,",474,0,"R$0,00 ","R$0,00 ","68,35%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),9/1/2024,728 x 90,4597768744,",10869286,11238766,21723566961,",137,0,"R$0,00 ","R$0,00 ","75,91%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),9/1/2024,970 x 250,4597768744,",10869286,11238766,21723566961,",443,4,"R$0,00 ","R$0,00 ","67,95%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),9/1/2024,970 x 90,4597768744,",10869286,11238766,21723566961,",27,0,"R$0,00 ","R$0,00 ","44,44%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961),9/1/2024,Native,4597768744,",10869286,11238766,21723566961,",49,1,"R$0,00 ","R$0,00 ","32,65%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),9/1/2024,300 x 100,4597768744,",10869286,11238766,21723566961,22835570053,",1,0,"R$0,00 ","R$0,00 ","100,00%"
