Advertiser,Ad unit,Date,Creative size,Advertiser ID,Ad unit ID,Total impressions,Total clicks,Total CPM and CPC revenue (R$),Total average eCPM (R$),Total Active View % viewable impressions
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,300 x 250,4599761447,",10869286,11238766,21737767482,",8837,23,"R$0,00 ","R$0,00 ","60,77%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,728 x 90,4599761447,",10869286,11238766,21737767482,",6,0,"R$0,00 ","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/1/2024,970 x 250,4599761447,",10869286,11238766,21737767482,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,300 x 250,4599761447,",10869286,11238766,21737767482,",9206,38,"R$0,00 ","R$0,00 ","62,21%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),10/2/2024,300 x 600,4599761447,",10869286,11238766,21737767482,",1,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),10/1/2024,728 x 90,4599761447,",10869286,11238766,21737767482,22834637125,",271,4,"R$0,00 ","R$0,00 ","98,52%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/1/2024,300 x 250,4599761447,",10869286,11238766,21737767482,23201951482,",579,1,"R$0,00 ","R$0,00 ","61,66%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482),10/2/2024,300 x 250,4599761447,",10869286,11238766,21737767482,23201951482,",364,1,"R$0,00 ","R$0,00 ","56,87%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/1/2024,728 x 90,4599761447,",10869286,11238766,21737767482,23201951482,23202852290,",60,0,"R$0,00 ","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » edicase (23201951482) » anchor (23202852290),10/2/2024,728 x 90,4599761447,",10869286,11238766,21737767482,23201951482,23202852290,",14,0,"R$0,00 ","R$0,00 ","85,71%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),10/1/2024,300 x 250,4599761447,",10869286,11238766,21737767482,21823750911,22691595915,",116,1,"R$0,00 ","R$0,00 ","67,24%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),10/2/2024,300 x 250,4599761447,",10869286,11238766,21737767482,21823750911,22691595915,",54,0,"R$0,00 ","R$0,00 ","74,07%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » interstitial (23202480619),10/1/2024,300 x 250,4599761447,",10869286,11238766,21737767482,23202480619,",97,7,"R$0,00 ","R$0,00 ","97,94%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » interstitial (23202480619),10/2/2024,300 x 250,4599761447,",10869286,11238766,21737767482,23202480619,",60,4,"R$0,00 ","R$0,00 ","95,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),10/1/2024,300 x 250,4597768744,",10869286,11238766,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),10/1/2024,320 x 50,4597768744,",10869286,11238766,",2,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),10/1/2024,970 x 250,4597768744,",10869286,11238766,",116,0,"R$0,00 ","R$0,00 ","60,34%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),10/1/2024,Native,4597768744,",10869286,11238766,",33,0,"R$0,00 ","R$0,00 ","75,76%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),10/2/2024,300 x 250,4597768744,",10869286,11238766,",6,0,"R$0,00 ","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),10/2/2024,970 x 250,4597768744,",10869286,11238766,",161,0,"R$0,00 ","R$0,00 ","76,40%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL RECIFE,parceiros (10869286) » ne_10 (11238766),10/2/2024,Native,4597768744,",10869286,11238766,",2,0,"R$0,00 ","R$0,00 ","50,00%"
