Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/1/2024,300 x 250,5614261589,",10869286,11238766,21737767482,",2032,2,"R$19,10 ","R$9,40 ","53,60%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482),4/1/2024,320 x 50,5614261589,",10869286,11238766,21737767482,",1479,3,"R$13,90 ","R$9,40 ","65,40%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),4/1/2024,320 x 50,5614261589,",10869286,11238766,21737767482,22834637125,",3205,8,"R$30,13 ","R$9,40 ","88,64%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » anchor (22834637125),4/1/2024,728 x 90,5614261589,",10869286,11238766,21737767482,22834637125,",778,0,"R$7,31 ","R$9,40 ","101,54%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),4/1/2024,300 x 250,5614261589,",10869286,11238766,21737767482,21823750911,22691595915,",193,1,"R$1,81 ","R$9,40 ","58,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » produtos (22024412677) » comidas_gigantes (22024442840),4/1/2024,320 x 50,5614261589,",10869286,11238766,21737767482,22024412677,22024442840,",5,0,"R$0,05 ","R$9,40 ","40,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),4/1/2024,300 x 250,5614269563,",10869286,11238766,17743246,",2591,7,"R$24,36 ","R$9,40 ","64,32%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246),4/1/2024,320 x 50,5614269563,",10869286,11238766,17743246,",1120,1,"R$10,53 ","R$9,40 ","80,84%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),4/1/2024,320 x 50,5614269563,",10869286,11238766,17743246,22834637230,",346,0,"R$3,25 ","R$9,40 ","96,82%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » anchor (22834637230),4/1/2024,728 x 90,5614269563,",10869286,11238766,17743246,22834637230,",193,0,"R$1,81 ","R$9,40 ","95,85%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » aovivo (21813304676),4/1/2024,320 x 50,5614269563,",10869286,11238766,17743246,21813304676,",1,0,"R$0,01 ","R$9,40 ","100,00%"
( Projeto SJCC ) - (SBT Nordeste - Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » tv_jornal (17743246) » story (22871016841),4/1/2024,320 x 50,5614269563,",10869286,11238766,17743246,22871016841,",164,0,"R$1,54 ","R$9,40 ","100,61%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961),4/1/2024,300 x 250,5614258754,",10869286,11238766,21723566961,",596,0,"R$2,23 ","R$3,74 ","61,58%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961),4/1/2024,320 x 50,5614258754,",10869286,11238766,21723566961,",388,0,"R$1,45 ","R$3,74 ","74,74%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),4/1/2024,320 x 50,5614258754,",10869286,11238766,21723566961,22835570053,",1469,1,"R$5,49 ","R$3,74 ","95,30%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),4/1/2024,300 x 250,5614258754,",10869286,11238766,21723566961,21814819361,22691595912,",350,0,"R$1,31 ","R$3,74 ","50,57%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),4/1/2024,300 x 250,5614258754,",10869286,11238766,21268726,",1702,4,"R$6,37 ","R$3,74 ","58,65%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),4/1/2024,320 x 50,5614258754,",10869286,11238766,21268726,",1564,3,"R$5,85 ","R$3,74 ","87,55%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),4/1/2024,320 x 50,5614258754,",10869286,11238766,21268726,22834992269,",1653,2,"R$6,18 ","R$3,74 ","97,46%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402) » outstream (22691595903),4/1/2024,300 x 250,5614258754,",10869286,11238766,21268726,21814348402,22691595903,",265,0,"R$0,99 ","R$3,74 ","60,00%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),4/1/2024,300 x 250,5614258754,",10869286,11238766,21722702436,",1351,5,"R$5,05 ","R$3,74 ","65,53%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436),4/1/2024,320 x 50,5614258754,",10869286,11238766,21722702436,",893,1,"R$3,34 ","R$3,74 ","82,51%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » anchor (22835337900),4/1/2024,320 x 50,5614258754,",10869286,11238766,21722702436,22835337900,",109,0,"R$0,41 ","R$3,74 ","98,17%"
( Projeto SJCC) -  (Marketing Recife Copa do Nordeste),parceiros (10869286) » ne_10 (11238766) » noticias (21722702436) » in-article (22521807661) » outstream (22691595927),4/1/2024,300 x 250,5614258754,",10869286,11238766,21722702436,22521807661,22691595927,",1,0,"R$0,00 ","R$3,74 ","100,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » home (21723566961),4/1/2024,300 x 250,5616166720,",10869286,11238766,21723566961,",65,0,"R$1,08 ","R$16,66 ","78,46%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » home (21723566961),4/1/2024,320 x 50,5616166720,",10869286,11238766,21723566961,",55,0,"R$0,92 ","R$16,66 ","85,45%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),4/1/2024,320 x 50,5616166720,",10869286,11238766,21723566961,22835570053,",88,1,"R$1,47 ","R$16,66 ","95,45%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » anchor (22835570053),4/1/2024,728 x 90,5616166720,",10869286,11238766,21723566961,22835570053,",3,0,"R$0,05 ","R$16,66 ","100,00%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » home (21723566961) » in-article (21814819361) » outstream (22691595912),4/1/2024,300 x 250,5616166720,",10869286,11238766,21723566961,21814819361,22691595912,",46,0,"R$0,77 ","R$16,66 ","63,04%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),4/1/2024,300 x 250,5616166720,",10869286,11238766,21268726,",3031,5,"R$50,50 ","R$16,66 ","68,68%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),4/1/2024,320 x 50,5616166720,",10869286,11238766,21268726,",1916,3,"R$31,92 ","R$16,66 ","82,43%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),4/1/2024,728 x 90,5616166720,",10869286,11238766,21268726,",32,0,"R$0,53 ","R$16,66 ","15,63%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),4/1/2024,970 x 250,5616166720,",10869286,11238766,21268726,",43,0,"R$0,72 ","R$16,66 ","9,30%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),4/1/2024,320 x 50,5616166720,",10869286,11238766,21268726,22834992269,",1778,2,"R$29,62 ","R$16,66 ","96,74%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » anchor (22834992269),4/1/2024,728 x 90,5616166720,",10869286,11238766,21268726,22834992269,",490,1,"R$8,16 ","R$16,66 ","92,65%"
( Venda Direta SJCC ) LUNI PRODUÇÕES,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » in-article (21814348402) » outstream (22691595903),4/1/2024,300 x 250,5616166720,",10869286,11238766,21268726,21814348402,22691595903,",159,0,"R$2,65 ","R$16,66 ","68,55%"
