Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766),8/1/2024,300 x 250,4599761447,",10869286,11238766,",63,1,"R$0,00 ","R$0,00 ","58,73%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766),8/1/2024,300 x 600,4599761447,",10869286,11238766,",5,0,"R$0,00 ","R$0,00 ","40,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766),8/1/2024,970 x 250,4599761447,",10869286,11238766,",36,1,"R$0,00 ","R$0,00 ","86,11%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766),8/4/2024,300 x 600,4599761447,",10869286,11238766,",1,1,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),8/4/2024,300 x 250,4599761447,",10869286,11238766,21723566961,",14,0,"R$0,00 ","R$0,00 ","57,14%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » home (21723566961),8/4/2024,970 x 250,4599761447,",10869286,11238766,21723566961,",3,0,"R$0,00 ","R$0,00 ","33,33%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),8/1/2024,300 x 250,4599761447,",10869286,11238766,21737767482,",379,0,"R$0,00 ","R$0,00 ","57,52%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),8/1/2024,970 x 250,4599761447,",10869286,11238766,21737767482,",41,0,"R$0,00 ","R$0,00 ","75,61%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),8/2/2024,300 x 250,4599761447,",10869286,11238766,21737767482,",5,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),8/3/2024,300 x 250,4599761447,",10869286,11238766,21737767482,",2,0,"R$0,00 ","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),8/4/2024,300 x 250,4599761447,",10869286,11238766,21737767482,",44,0,"R$0,00 ","R$0,00 ","63,64%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),8/4/2024,300 x 600,4599761447,",10869286,11238766,21737767482,",1,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482),8/4/2024,970 x 250,4599761447,",10869286,11238766,21737767482,",3,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),8/1/2024,300 x 250,4599761447,",10869286,11238766,21737767482,21823750911,22691595915,",35,0,"R$0,00 ","R$0,00 ","62,86%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),8/2/2024,300 x 250,4599761447,",10869286,11238766,21737767482,21823750911,22691595915,",5,0,"R$0,00 ","R$0,00 ","80,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),8/3/2024,300 x 250,4599761447,",10869286,11238766,21737767482,21823750911,22691595915,",2,0,"R$0,00 ","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » interior (21737767482) » in-article (21823750911) » outstream (22691595915),8/4/2024,300 x 250,4599761447,",10869286,11238766,21737767482,21823750911,22691595915,",22,0,"R$0,00 ","R$0,00 ","59,09%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),8/1/2024,300 x 250,4599761447,",10869286,11238766,21268726,",523,0,"R$0,00 ","R$0,00 ","68,64%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),8/1/2024,300 x 600,4599761447,",10869286,11238766,21268726,",17,0,"R$0,00 ","R$0,00 ","88,24%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),8/1/2024,970 x 250,4599761447,",10869286,11238766,21268726,",44,0,"R$0,00 ","R$0,00 ","72,73%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),8/2/2024,300 x 250,4599761447,",10869286,11238766,21268726,",14,0,"R$0,00 ","R$0,00 ","50,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),8/3/2024,300 x 250,4599761447,",10869286,11238766,21268726,",23,0,"R$0,00 ","R$0,00 ","65,22%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),8/4/2024,300 x 250,4599761447,",10869286,11238766,21268726,",100,1,"R$0,00 ","R$0,00 ","62,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726),8/4/2024,300 x 600,4599761447,",10869286,11238766,21268726,",73,0,"R$0,00 ","R$0,00 ","91,78%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/1/2024,300 x 250,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",2287,4,"R$0,00 ","R$0,00 ","62,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/1/2024,300 x 600,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/2/2024,300 x 250,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",24,0,"R$0,00 ","R$0,00 ","66,67%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/2/2024,970 x 250,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",1,0,"R$0,00 ","R$0,00 ","100,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/3/2024,300 x 250,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",87,0,"R$0,00 ","R$0,00 ","60,92%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/3/2024,300 x 600,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",1,0,"R$0,00 ","R$0,00 ","0,00%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/4/2024,300 x 250,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",513,0,"R$0,00 ","R$0,00 ","66,08%"
( Projeto SJCC) CAMPANHA INSTITUCIONAL CARUARU,parceiros (10869286) » ne_10 (11238766) » jornal_do_commercio (21268726) » blog (21725415585) » social1 (22503128490),8/4/2024,300 x 600,4599761447,",10869286,11238766,21268726,21725415585,22503128490,",3,0,"R$0,00 ","R$0,00 ","33,33%"
