Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/3/2024,300 x 250,5614261589,",10869286,11238766,",44,1,"R$0,41 ","R$9,40 ","54,55%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/3/2024,320 x 50,5614261589,",10869286,11238766,",35,1,"R$0,33 ","R$9,40 ","42,86%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/3/2024,728 x 90,5614261589,",10869286,11238766,",1,0,"R$0,01 ","R$9,40 ","0,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/4/2024,300 x 250,5614261589,",10869286,11238766,",85,0,"R$0,80 ","R$9,40 ","80,00%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/4/2024,320 x 50,5614261589,",10869286,11238766,",19,0,"R$0,18 ","R$9,40 ","47,37%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/5/2024,300 x 250,5614261589,",10869286,11238766,",31,0,"R$0,29 ","R$9,40 ","67,74%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/5/2024,320 x 50,5614261589,",10869286,11238766,",3,0,"R$0,03 ","R$9,40 ","66,67%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/6/2024,300 x 250,5614261589,",10869286,11238766,",36,0,"R$0,34 ","R$9,40 ","69,44%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/6/2024,320 x 50,5614261589,",10869286,11238766,",14,0,"R$0,13 ","R$9,40 ","35,71%"
( Projeto SJCC ) - (Marketing Interior Copa do Nordeste),parceiros (10869286) » ne_10 (11238766),6/7/2024,300 x 250,5614261589,",10869286,11238766,",45,0,"R$0,42 ","R$9,40 ","77,78%"
