Anunciante,Bloco de anúncios,Data,Tamanho do criativo,ID do anunciante,ID do bloco de anúncios,Total de impressões,Total de cliques,Receita total de CPM e de CPC (R$),eCPM médio total (R$),Porcentagem do total de impressões visíveis do Active View
-,parceiros (10869286) » ne_10 (11238766),3/1/2024,0 x 0,-1,",10869286,11238766,",150,0,"R$0,26 ","R$1,75 ","60,40%"
-,parceiros (10869286) » ne_10 (11238766),3/2/2024,0 x 0,-1,",10869286,11238766,",66,0,"R$0,08 ","R$1,24 ","66,67%"
-,parceiros (10869286) » ne_10 (11238766),3/3/2024,0 x 0,-1,",10869286,11238766,",132,0,"R$0,21 ","R$1,56 ","55,73%"
-,parceiros (10869286) » ne_10 (11238766),3/4/2024,0 x 0,-1,",10869286,11238766,",138,0,"R$0,24 ","R$1,75 ","59,71%"
-,parceiros (10869286) » ne_10 (11238766),3/5/2024,0 x 0,-1,",10869286,11238766,",128,0,"R$0,18 ","R$1,37 ","70,31%"
-,parceiros (10869286) » ne_10 (11238766),3/6/2024,0 x 0,-1,",10869286,11238766,",158,0,"R$0,25 ","R$1,58 ","66,46%"
-,parceiros (10869286) » ne_10 (11238766),3/7/2024,0 x 0,-1,",10869286,11238766,",166,0,"R$0,35 ","R$2,13 ","68,48%"
-,parceiros (10869286) » ne_10 (11238766),3/8/2024,0 x 0,-1,",10869286,11238766,",103,0,"R$0,29 ","R$2,79 ","60,19%"
-,parceiros (10869286) » ne_10 (11238766),3/9/2024,0 x 0,-1,",10869286,11238766,",52,0,"R$0,27 ","R$5,20 ","67,31%"
-,parceiros (10869286) » ne_10 (11238766),3/10/2024,0 x 0,-1,",10869286,11238766,",46,0,"R$0,21 ","R$4,61 ","52,17%"
-,parceiros (10869286) » ne_10 (11238766),3/11/2024,0 x 0,-1,",10869286,11238766,",84,0,"R$0,17 ","R$2,07 ","58,33%"
-,parceiros (10869286) » ne_10 (11238766),3/12/2024,0 x 0,-1,",10869286,11238766,",74,0,"R$0,67 ","R$9,08 ","64,86%"
-,parceiros (10869286) » ne_10 (11238766),3/13/2024,0 x 0,-1,",10869286,11238766,",81,0,"R$0,20 ","R$2,46 ","71,25%"
-,parceiros (10869286) » ne_10 (11238766),3/14/2024,0 x 0,-1,",10869286,11238766,",24,0,"R$0,20 ","R$8,29 ","66,67%"
-,parceiros (10869286) » ne_10 (11238766) » amp_stories (22722284121),3/11/2024,0 x 0,-1,",10869286,11238766,22722284121,",1,0,"R$0,00 ","R$0,10 ","0,00%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/1/2024,0 x 0,-1,",10869286,11238766,22834406532,",450,0,"R$0,40 ","R$0,88 ","96,67%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/2/2024,0 x 0,-1,",10869286,11238766,22834406532,",232,0,"R$0,27 ","R$1,15 ","98,28%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/3/2024,0 x 0,-1,",10869286,11238766,22834406532,",237,0,"R$0,13 ","R$0,56 ","95,36%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/4/2024,0 x 0,-1,",10869286,11238766,22834406532,",295,0,"R$0,28 ","R$0,96 ","95,93%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/5/2024,0 x 0,-1,",10869286,11238766,22834406532,",214,0,"R$0,16 ","R$0,74 ","99,07%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/6/2024,0 x 0,-1,",10869286,11238766,22834406532,",260,0,"R$0,20 ","R$0,78 ","98,46%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/7/2024,0 x 0,-1,",10869286,11238766,22834406532,",181,0,"R$0,13 ","R$0,70 ","98,34%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/8/2024,0 x 0,-1,",10869286,11238766,22834406532,",231,0,"R$0,16 ","R$0,71 ","80,95%"
-,parceiros (10869286) » ne_10 (11238766) » anchor (22834406532),3/9/2024,0 x 0,-1,",10869286,11238766,22834406532,",120,0,"R$0,09 ","R$0,73 ","99,17%"
